DATE,TOTRESNS
1959-01-01,18.9
1959-02-01,18.6
1959-03-01,18.4
1959-04-01,18.7
1959-05-01,18.6
1959-06-01,18.5
1959-07-01,18.7
1959-08-01,18.6
1959-09-01,18.6
1959-10-01,18.6
1959-11-01,18.6
1959-12-01,19.0
1960-01-01,18.8
1960-02-01,18.2
1960-03-01,18.0
1960-04-01,18.1
1960-05-01,18.2
1960-06-01,18.3
1960-07-01,18.5
1960-08-01,18.500
1960-09-01,18.6
1960-10-01,18.8
1960-11-01,19.0
1960-12-01,19.3
1961-01-01,19.3
1961-02-01,19.0
1961-03-01,18.8
1961-04-01,18.9
1961-05-01,18.9
1961-06-01,19.0
1961-07-01,19.1
1961-08-01,19.2
1961-09-01,19.4
1961-10-01,19.7
1961-11-01,19.8
1961-12-01,20.1
1962-01-01,20.1
1962-02-01,19.6
1962-03-01,19.5
1962-04-01,19.7
1962-05-01,19.8
1962-06-01,19.9
1962-07-01,20.1
1962-08-01,19.9
1962-09-01,20.1
1962-10-01,20.2
1962-11-01,19.6
1962-12-01,20.1
1963-01-01,20.0
1963-02-01,19.6
1963-03-01,19.5
1963-04-01,19.6
1963-05-01,19.6
1963-06-01,19.8
1963-07-01,20.0
1963-08-01,19.7
1963-09-01,20.0
1963-10-01,20.0
1963-11-01,20.1
1963-12-01,20.7
1964-01-01,20.7
1964-02-01,20.1
1964-03-01,20.2
1964-04-01,20.3
1964-05-01,20.2
1964-06-01,20.5
1964-07-01,20.6
1964-08-01,20.6
1964-09-01,20.9
1964-10-01,21.0
1964-11-01,21.2
1964-12-01,21.6
1965-01-01,21.6
1965-02-01,21.2
1965-03-01,21.3
1965-04-01,21.5
1965-05-01,21.5
1965-06-01,21.7
1965-07-01,21.9
1965-08-01,21.6
1965-09-01,21.8
1965-10-01,22.0
1965-11-01,21.9
1965-12-01,22.7
1966-01-01,22.8
1966-02-01,22.2
1966-03-01,22.2
1966-04-01,22.5
1966-05-01,22.5
1966-06-01,22.6
1966-07-01,23.1
1966-08-01,22.7
1966-09-01,23.2
1966-10-01,23.4
1966-11-01,23.2
1966-12-01,23.8
1967-01-01,24.1
1967-02-01,23.7
1967-03-01,23.4
1967-04-01,23.4
1967-05-01,23.3
1967-06-01,23.5
1967-07-01,24.0
1967-08-01,23.8
1967-09-01,24.2
1967-10-01,24.7
1967-11-01,24.7
1967-12-01,25.3
1968-01-01,25.8
1968-02-01,25.6
1968-03-01,25.6
1968-04-01,25.6
1968-05-01,25.4
1968-06-01,25.7
1968-07-01,26.0
1968-08-01,26.0
1968-09-01,26.1
1968-10-01,26.6
1968-11-01,26.8
1968-12-01,27.2
1969-01-01,28.1
1969-02-01,27.3
1969-03-01,26.8
1969-04-01,27.1
1969-05-01,27.9
1969-06-01,27.3
1969-07-01,27.1
1969-08-01,27.0
1969-09-01,27.0
1969-10-01,27.4
1969-11-01,27.7
1969-12-01,28.1
1970-01-01,28.9
1970-02-01,27.9
1970-03-01,27.5
1970-04-01,28.1
1970-05-01,27.9
1970-06-01,27.6
1970-07-01,28.1
1970-08-01,28.4
1970-09-01,28.8
1970-10-01,28.6
1970-11-01,28.7
1970-12-01,29.2
1971-01-01,30.4
1971-02-01,29.900
1971-03-01,29.7
1971-04-01,29.9
1971-05-01,30.3
1971-06-01,30.1
1971-07-01,30.6
1971-08-01,30.5
1971-09-01,30.8
1971-10-01,30.8
1971-11-01,30.9
1971-12-01,31.3
1972-01-01,32.9
1972-02-01,31.9
1972-03-01,31.9
1972-04-01,32.6
1972-05-01,32.8
1972-06-01,32.5
1972-07-01,33.1
1972-08-01,33.1
1972-09-01,33.0
1972-10-01,33.8
1972-11-01,31.8
1972-12-01,31.4
1973-01-01,32.9
1973-02-01,31.7
1973-03-01,31.9
1973-04-01,32.3
1973-05-01,32.4
1973-06-01,32.2
1973-07-01,33.5
1973-08-01,33.7
1973-09-01,34.0
1973-10-01,34.9
1973-11-01,34.8
1973-12-01,35.1
1974-01-01,36.6
1974-02-01,35.2
1974-03-01,34.9
1974-04-01,36.0
1974-05-01,36.5
1974-06-01,36.5
1974-07-01,37.3
1974-08-01,37.0
1974-09-01,37.1
1974-10-01,36.9
1974-11-01,36.8
1974-12-01,36.9
1975-01-01,37.700
1975-02-01,35.5
1975-03-01,34.7
1975-04-01,35.2
1975-05-01,34.7
1975-06-01,34.6
1975-07-01,34.9
1975-08-01,34.5
1975-09-01,34.6
1975-10-01,34.6
1975-11-01,34.6
1975-12-01,35.0
1976-01-01,35.6
1976-02-01,34.2
1976-03-01,33.8
1976-04-01,34.1
1976-05-01,34.1
1976-06-01,33.9
1976-07-01,34.3
1976-08-01,34.1
1976-09-01,33.9
1976-10-01,34.3
1976-11-01,34.7
1976-12-01,35.2
1977-01-01,36.1
1977-02-01,34.4
1977-03-01,34.1
1977-04-01,34.8
1977-05-01,34.7
1977-06-01,34.4
1977-07-01,35.3
1977-08-01,35.2
1977-09-01,35.2
1977-10-01,35.7
1977-11-01,35.9
1977-12-01,36.5
1978-01-01,38.1
1978-02-01,36.8
1978-03-01,36.1
1978-04-01,37.0
1978-05-01,37.1
1978-06-01,37.3
1978-07-01,38.2
1978-08-01,37.6
1978-09-01,37.8
1978-10-01,38.4
1978-11-01,39.6
1978-12-01,41.7
1979-01-01,43.1
1979-02-01,40.7
1979-03-01,40.2
1979-04-01,40.7
1979-05-01,40.2
1979-06-01,40.1
1979-07-01,40.9
1979-08-01,40.7
1979-09-01,41.1
1979-10-01,42.3
1979-11-01,43.0
1979-12-01,44.0
1980-01-01,45.2
1980-02-01,43.2
1980-03-01,43.1
1980-04-01,44.9
1980-05-01,44.0
1980-06-01,43.5
1980-07-01,42.9
1980-08-01,40.4
1980-09-01,41.2
1980-10-01,41.7
1980-11-01,41.2
1980-12-01,40.7
1981-01-01,41.6
1981-02-01,39.9
1981-03-01,39.7
1981-04-01,40.3
1981-05-01,40.5
1981-06-01,40.4
1981-07-01,41.0
1981-08-01,41.0
1981-09-01,40.6
1981-10-01,40.7
1981-11-01,40.9
1981-12-01,41.9
1982-01-01,43.2
1982-02-01,41.3
1982-03-01,39.2
1982-04-01,39.6
1982-05-01,39.5
1982-06-01,39.6
1982-07-01,40.0
1982-08-01,40.2
1982-09-01,40.0
1982-10-01,40.6
1982-11-01,41.200
1982-12-01,41.9
1983-01-01,41.9
1983-02-01,39.8
1983-03-01,38.0
1983-04-01,38.7
1983-05-01,38.3
1983-06-01,38.4
1983-07-01,38.9
1983-08-01,38.7
1983-09-01,37.9
1983-10-01,38.1
1983-11-01,38.1
1983-12-01,38.9
1984-01-01,40.1
1984-02-01,36.3
1984-03-01,36.2
1984-04-01,37.1
1984-05-01,36.5
1984-06-01,37.5
1984-07-01,37.5
1984-08-01,37.3
1984-09-01,38.0
1984-10-01,38.5
1984-11-01,39.2
1984-12-01,40.7
1985-01-01,41.1
1985-02-01,40.2
1985-03-01,40.4
1985-04-01,41.6
1985-05-01,41.0
1985-06-01,42.4
1985-07-01,42.8
1985-08-01,42.9
1985-09-01,44.5
1985-10-01,45.5
1985-11-01,46.4
1985-12-01,48.1
1986-01-01,48.0
1986-02-01,46.6
1986-03-01,47.3
1986-04-01,48.9
1986-05-01,48.5
1986-06-01,49.9
1986-07-01,51.0
1986-08-01,51.3
1986-09-01,53.2
1986-10-01,54.6
1986-11-01,56.3
1986-12-01,59.4
1987-01-01,59.6
1987-02-01,57.0
1987-03-01,57.1
1987-04-01,59.4
1987-05-01,58.3
1987-06-01,58.8
1987-07-01,58.9
1987-08-01,58.3
1987-09-01,59.8
1987-10-01,61.1
1987-11-01,61.2
1987-12-01,62.1
1988-01-01,62.6
1988-02-01,60.0
1988-03-01,60.0
1988-04-01,62.0
1988-05-01,60.6
1988-06-01,62.0
1988-07-01,62.6
1988-08-01,61.9
1988-09-01,62.2
1988-10-01,61.9
1988-11-01,62.4
1988-12-01,63.7
1989-01-01,63.4
1989-02-01,60.6
1989-03-01,60.1
1989-04-01,61.2
1989-05-01,58.9
1989-06-01,59.6
1989-07-01,60.3
1989-08-01,59.6
1989-09-01,60.1
1989-10-01,60.4
1989-11-01,60.9
1989-12-01,62.7
1990-01-01,62.9
1990-02-01,60.6
1990-03-01,60.6
1990-04-01,62.5
1990-05-01,60.2
1990-06-01,61.2
1990-07-01,60.9
1990-08-01,60.7
1990-09-01,61.4
1990-10-01,61.0
1990-11-01,62.0
1990-12-01,59.1
1991-01-01,50.9
1991-02-01,48.5
1991-03-01,48.6
1991-04-01,50.3
1991-05-01,49.1
1991-06-01,50.4
1991-07-01,50.7
1991-08-01,50.6
1991-09-01,51.1
1991-10-01,51.6
1991-11-01,53.1
