DATE,GDP,FGCCSAQ027S,BOGZ1FL892090005Q,FDHBATN
10/1/1945,.,0,732.955,
1/1/1946,.,.,.,
4/1/1946,.,.,.,
7/1/1946,.,.,.,
10/1/1946,.,0,804.807,
1/1/1947,243.164,.,.,
4/1/1947,245.968,.,.,
7/1/1947,249.585,.,.,
10/1/1947,259.745,0,916.913,
1/1/1948,265.742,.,.,
4/1/1948,272.567,.,.,
7/1/1948,279.196,.,.,
10/1/1948,280.366,0,969.614,
1/1/1949,275.034,.,.,
4/1/1949,271.351,.,.,
7/1/1949,272.889,.,.,
10/1/1949,270.627,0,995.905,
1/1/1950,280.828,.,.,
4/1/1950,290.383,.,.,
7/1/1950,308.153,.,.,
10/1/1950,319.945,0,1097.328,
1/1/1951,336,.,.,
4/1/1951,344.09,.,.,
7/1/1951,351.385,.,.,
10/1/1951,356.178,0,1220.466,
1/1/1952,359.82,0,1234.233,
4/1/1952,361.03,0,1261.377,
7/1/1952,367.701,0,1274.761,
10/1/1952,380.812,0,1274.75,
1/1/1953,387.98,0,1283.27,
4/1/1953,391.749,0,1284.941,
7/1/1953,391.171,0,1297.258,
10/1/1953,385.97,0,1310.785,
1/1/1954,385.345,0,1329.76,
4/1/1954,386.121,0,1357.993,
7/1/1954,390.996,0,1392.35,
10/1/1954,399.734,0,1412.482,
1/1/1955,413.073,0,1427.996,
4/1/1955,421.532,0,1472.962,
7/1/1955,430.221,0,1519.245,
10/1/1955,437.092,0,1546.14,
1/1/1956,439.746,0,1593.123,
4/1/1956,446.01,0,1611.394,
7/1/1956,451.191,0,1631.992,
10/1/1956,460.463,0,1671.168,
1/1/1957,469.779,0,1679.607,
4/1/1957,472.025,0,1722.229,
7/1/1957,479.49,0,1713.223,
10/1/1957,474.864,0,1722.519,
1/1/1958,467.54,0,1743.68,
4/1/1958,471.978,0,1780.582,
7/1/1958,485.841,0,1835.171,
10/1/1958,499.555,0,1867.185,
1/1/1959,510.33,0,1886.169,
4/1/1959,522.653,0,1917.211,
7/1/1959,525.034,0,1926.17,
10/1/1959,528.6,0,1961.126,
1/1/1960,542.648,0,1961.648,
4/1/1960,541.08,0,1983.678,
7/1/1960,545.604,0,1976.28,
10/1/1960,540.197,0,2031.461,
1/1/1961,545.018,0,2083.243,
4/1/1961,555.545,0,2108.705,
7/1/1961,567.664,0,2143.485,
10/1/1961,580.612,0,2206.61,
1/1/1962,594.013,0,2219.374,
4/1/1962,600.366,0,2122.901,
7/1/1962,609.027,0,2168.71,
10/1/1962,612.28,0,2282.116,
1/1/1963,621.672,0,2329.959,
4/1/1963,629.752,0,2371.481,
7/1/1963,644.444,0,2415.258,
10/1/1963,653.938,0,2413.231,
1/1/1964,669.822,0,2462.62,
4/1/1964,678.674,0,2514.036,
7/1/1964,692.031,0,2556.616,
10/1/1964,697.319,0,2599.961,
1/1/1965,717.79,0,2644.131,
4/1/1965,730.191,0,2648.535,
7/1/1965,749.323,0,2725.88,
10/1/1965,771.857,0,2816.156,
1/1/1966,795.734,0,2816.794,
4/1/1966,804.981,0,2859.455,
7/1/1966,819.638,0,2815.599,
10/1/1966,833.302,0,2907.495,
1/1/1967,844.17,0,3015.752,
4/1/1967,848.983,0,3060.394,
7/1/1967,865.233,0,3147.773,
10/1/1967,881.439,0,3228.001,
1/1/1968,909.387,0,3231.932,
4/1/1968,934.344,0,3387.425,
7/1/1968,950.825,0,3443.744,
10/1/1968,968.03,0,3629.531,
1/1/1969,993.337,0,3645.453,
4/1/1969,1009.02,0,3669.27,
7/1/1969,1029.956,0,3687.668,
10/1/1969,1038.147,0,3709.03,
1/1/1970,1051.2,0,3724.778,
4/1/1970,1067.375,0,3647.305,
7/1/1970,1086.059,0,3777.083,
10/1/1970,1088.608,0,3918.716,
1/1/1971,1135.156,0,4080.038,
4/1/1971,1156.271,0,4151.433,
7/1/1971,1177.675,0,4198.944,
10/1/1971,1190.297,0,4330.082,
1/1/1972,1230.609,0,4510.947,
4/1/1972,1266.369,0,4565.322,
7/1/1972,1290.566,0,4673.409,
10/1/1972,1328.904,0,4949.149,
1/1/1973,1377.49,0,4958.75,
4/1/1973,1413.887,0,5021.945,
7/1/1973,1433.838,0,5246.097,
10/1/1973,1476.289,0,5225.915,
1/1/1974,1491.209,0,5278.277,
4/1/1974,1530.056,0,5310.873,
7/1/1974,1560.026,0,5285.904,
10/1/1974,1599.679,0,5469.079,
1/1/1975,1616.116,0,5759.652,
