DATE,ECBASSETSW,GGGDTADEA188N,GGGDTAITA188N,CPMNACSCAB1GQIT,CPMNACSCAB1GQDE
1988-01-01,.,.,95.316,.,.
1989-01-01,.,.,97.983,.,.
1990-01-01,.,.,101.279,.,.
1991-01-01,.,38.985,104.862,.,410563.0
1992-01-01,.,41.454,112.488,.,430428.0
1993-01-01,.,45.095,123.580,.,442334.0
1994-01-01,.,47.537,130.276,.,465975.0
1995-01-01,.,54.902,119.362,255838.6,477497.0
1996-01-01,.,57.794,119.109,263394.2,486237.0
1997-01-01,.,58.867,116.782,279604.2,496815.0
1998-01-01,.,59.535,114.127,286923.7,504018.0
1999-01-01,803192.0,60.139,113.289,299775.9,518690.0
2000-01-01,835065.0,59.066,109.026,318376.3,527597.0
2001-01-01,814662.0,57.937,108.886,329716.8,548167.0
2002-01-01,832558.0,59.704,106.361,341114.8,554247.0
2003-01-01,835157.0,63.309,105.495,352573.7,558429.0
2004-01-01,884233.0,64.988,105.101,366780.4,563918.0
2005-01-01,1038152.0,67.347,106.558,381041.7,577226.0
2006-01-01,1150980.0,66.705,106.740,396429.6,610312.0
2007-01-01,1511244.0,63.994,103.889,410962.6,634953.0
2008-01-01,2043465.0,65.522,106.164,400686.6,628793.0
2009-01-01,1852463.0,72.990,116.610,396207.9,619560.0
2010-01-01,2004432.0,82.318,119.198,407259.6,652327.0
2011-01-01,2735628.0,79.742,119.692,411570.2,679099.0
2012-01-01,3018198.0,81.079,126.493,403948.6,691505.0
2013-01-01,2285399.0,78.660,132.455,404528.5,712465.0
2014-01-01,2150247.0,75.615,135.366,408665.7,742239.0
2015-01-01,2767815.0,72.316,135.280,417114.7,764098.0
2016-01-01,3662901,69.277,134.783,426885.5,789352.0
2017-01-01,4471563.0,65.102,134.134,439936.6,831174.0
2018-01-01,4669003,61.780,134.398,444240.3,850219.0
2019-01-01,4691998,59.644,134.561,447900.6,872335.0
2020-01-01,7014661.0,68.926,155.562,425207.8,849921.0
2021-01-01,.,.,.,.,.
