Date,BorrowSter,BorrowGDP,DebtSter,DebtGdp,BoEGDP,IntSter,IntGDP,IntAPFSter,IntAPFGDP
1/1/1900,,0.04,,0.38,0.0542,,,,
1/1/1901,,0.041,,0.41,0.0515,,,,
1/1/1902,,0.028,,0.43,0.054,,,,
1/1/1903,,0.014,,0.43,0.051,,,,
1/1/1904,,0.009,,0.42,0.0507,,,,
1/1/1905,,0.004,,0.4,0.0509,,,,
1/1/1906,,0,,0.38,0.0541,,,,
1/1/1907,,-0.002,,0.38,0.0492,,,,
1/1/1908,,0.001,,0.38,0.0488,,,,
1/1/1909,,0.002,,0.37,0.0498,,,,
1/1/1910,,-0.003,,0.34,0.0462,,,,
1/1/1911,,-0.004,,0.32,0.0461,,,,
1/1/1912,,-0.006,,0.3,0.0488,,,,
1/1/1913,,0.009,,0.29,0.0463,,,,
1/1/1914,,0.111,,0.42,0.0442,,,,
1/1/1915,,0.271,,0.68,0.084,,,,
1/1/1916,,0.278,,1.03,0.0659,,,,
1/1/1917,,0.273,,1.25,0.0776,,,,
1/1/1918,,0.214,,1.44,0.0536,,,,
1/1/1919,,0.056,,1.39,0.0453,,,,
1/1/1920,,0,,1.52,0.055,,,,
1/1/1921,,0.011,,1.75,0.0447,,,,
1/1/1922,,-0.003,,1.88,0.0578,,,,
1/1/1923,,-0.007,,1.84,0.0627,,,,
1/1/1924,,0.005,,1.77,0.0642,,,,
1/1/1925,,0.014,,1.8,0.062,,,,
1/1/1926,,0.019,,1.74,0.0638,,,,
1/1/1927,,0.005,,1.71,0.0637,,,,
1/1/1928,,0.003,,1.69,0.0583,,,,
1/1/1929,,0.009,,1.69,0.1063,,,,
1/1/1930,,0.017,,1.78,0.1011,,,,
1/1/1931,,0.019,,1.86,0.1051,,,,
1/1/1932,,0.003,,1.9,0.1134,,,,
1/1/1933,,-0.005,,1.86,0.1292,,,,
1/1/1934,,-0.003,,1.75,0.1297,,,,
1/1/1935,,0.004,,1.66,0.1247,,,,
1/1/1936,,0.01,,1.56,0.1231,,,,
1/1/1937,,0.021,,1.54,0.128,,,,
1/1/1938,,0.051,,1.48,0.1246,,,,
1/1/1939,,0.138,,1.37,0.1199,,,,
1/1/1940,,0.269,,1.44,0.1266,,,,
1/1/1941,,0.271,,1.58,0.1153,,,,
1/1/1942,,0.257,,1.77,0.1142,,,,
1/1/1943,,0.243,,2.01,0.1266,,,,
1/1/1944,,0.224,,2.33,0.1375,,,,
1/1/1945,,0.152,,2.47,0.1527,,,,
1/1/1946,0.6,0.064,,2.518,0.1697,0.5,,,
1/1/1947,0.1,0.007,,2.302,0.1806,0.5,,,
1/1/1948,-0.5,-0.043,,2.108,0.1561,0.5,,,
1/1/1949,-0.6,-0.048,,2.05,0.1434,0.5,,,
1/1/1950,-0.5,-0.037,,1.857,0.1469,0.5,,,
1/1/1951,-0.1,-0.005,,1.695,0.1325,0.6,,,
1/1/1952,0.2,0.013,,1.585,0.1215,0.6,,,
1/1/1953,0.4,0.025,,1.527,0.1204,0.7,,,
1/1/1954,0.3,0.015,,1.433,0.1142,0.7,,,
1/1/1955,0,-0.002,,1.325,0.1136,0.7,0.038,,0.038
1/1/1956,0.1,0.004,,1.239,0.1107,0.7,0.035,,0.035
