DATE,FGNETWQ027S
10/1/1945,-109488
1/1/1946,.
4/1/1946,.
7/1/1946,.
10/1/1946,-114732
1/1/1947,.
4/1/1947,.
7/1/1947,.
10/1/1947,-112080
1/1/1948,.
4/1/1948,.
7/1/1948,.
10/1/1948,-114620
1/1/1949,.
4/1/1949,.
7/1/1949,.
10/1/1949,-131334
1/1/1950,.
4/1/1950,.
7/1/1950,.
10/1/1950,-127698
1/1/1951,.
4/1/1951,.
7/1/1951,.
10/1/1951,-114023
1/1/1952,-108154
4/1/1952,-105977
7/1/1952,-119343
10/1/1952,-120938
1/1/1953,-114965
4/1/1953,-112462
7/1/1953,-123719
10/1/1953,-129007
1/1/1954,-122147
4/1/1954,-119839
7/1/1954,-128514
10/1/1954,-130410
1/1/1955,-125450
4/1/1955,-118059
7/1/1955,-126616
10/1/1955,-126121
1/1/1956,-115878
4/1/1956,-105994
7/1/1956,-111349
10/1/1956,-113434
1/1/1957,-107473
4/1/1957,-103007
7/1/1957,-113556
10/1/1957,-117896
1/1/1958,-117805
4/1/1958,-114498
7/1/1958,-123510
10/1/1958,-126426
1/1/1959,-127153
4/1/1959,-125233
7/1/1959,-130073
10/1/1959,-134882
1/1/1960,-134389
4/1/1960,-131820
7/1/1960,-130459
10/1/1960,-135299
1/1/1961,-138514
4/1/1961,-136892
7/1/1961,-138364
10/1/1961,-139950
1/1/1962,-141974
4/1/1962,-138785
7/1/1962,-136473
10/1/1962,-141647
1/1/1963,-143576
4/1/1963,-138372
7/1/1963,-139731
10/1/1963,-144410
1/1/1964,-144544
4/1/1964,-141081
7/1/1964,-144345
10/1/1964,-150725
1/1/1965,-150856
4/1/1965,-143520
7/1/1965,-147469
10/1/1965,-152753
1/1/1966,-153930
4/1/1966,-144262
7/1/1966,-148876
10/1/1966,-155106
1/1/1967,-156292
4/1/1967,-153905
7/1/1967,-151432
10/1/1967,-157438
1/1/1968,-159187
4/1/1968,-158595
7/1/1968,-160952
10/1/1968,-163209
1/1/1969,-157460
4/1/1969,-145332
7/1/1969,-148377
10/1/1969,-151836
1/1/1970,-150732
4/1/1970,-149983
7/1/1970,-157809
10/1/1970,-167483
1/1/1971,-170428
4/1/1971,-173394
7/1/1971,-182179
10/1/1971,-193950
1/1/1972,-167679
4/1/1972,-177692
7/1/1972,-188287
10/1/1972,-204092
1/1/1973,-201895
4/1/1973,-196380
7/1/1973,-191959
10/1/1973,-192104
1/1/1974,-188178
4/1/1974,-181797
7/1/1974,-165312
10/1/1974,-163782
1/1/1975,-180183
