DATE,OINT,FRBREMIT,GDP
6/30/1940,899,,
6/30/1941,943,,
6/30/1942,1052,,
6/30/1943,1529,,
6/30/1944,2219,,
6/30/1945,3112,,
6/30/1946,4111,,
6/30/1947,4204,15,259745
6/30/1948,4341,100,280366
6/30/1949,4523,187,270627
6/30/1950,4812,192,319945
6/30/1951,4665,189,356178
6/30/1952,4701,278,380812
6/30/1953,5156,298,385970
6/30/1954,4811,341,399734
6/30/1955,4850,251,437092
6/30/1956,5079,287,460463
6/30/1957,5354,434,474864
6/30/1958,5604,664,499555
6/30/1959,5762,491,528600
6/30/1960,6947,"1,093",540197
6/30/1961,6716,788,580612
6/30/1962,6889,718,612280
6/30/1963,7740,828,653938
6/30/1964,8199,947,697319
6/30/1965,8591,"1,372",771857
6/30/1966,9386,"1,713",833302
6/30/1967,10268,"1,805",881439
6/30/1968,11090,"2,091",968030
6/30/1969,12699,"2,662",1038147
6/30/1970,14380,"3,266",1088608
6/30/1971,14841,"3,533",1190297
6/30/1972,15478,"3,252",1328904
6/30/1973,17349,"3,495",1476289
6/30/1974,21449,"4,845",1599679
6/30/1975,23244,"5,777",1761831
6/30/1976,26727,"5,451",1934273
9/30/1977,29901,"5,908",2164270
9/30/1978,35458,"6,641",2476949
9/30/1979,42633,"8,327",2723883
9/30/1980,52533,"11,767",2985557
9/30/1981,68766,"12,834",3280818
9/30/1982,85032,"15,186",3402561
9/30/1983,89808,"14,492",3794706
9/30/1984,111102,"15,684",4148551
9/30/1985,129478,"17,059",4444094
9/30/1986,136017,"18,374",4657627
9/30/1987,138611,"16,817",5007994
9/30/1988,151803,"17,163",5399509
9/30/1989,168981,"19,604",5747237
9/30/1990,184347,"24,319",6004733
9/30/1991,194448,"19,158",6264540
9/30/1992,199344,"22,920",6680803
9/30/1993,198713,"14,908",7013738
9/30/1994,202932,"18,023",7455288
9/30/1995,232134,"23,378",7772586
9/30/1996,241053,"20,477",8259771
9/30/1997,243984,"19,636",8765907
9/30/1998,241118,"24,540",9293991
9/30/1999,229755,"25,917",9899378
9/30/2000,222949,"32,293",10439025
9/30/2001,206167,"26,124",10660294
9/30/2002,170949,"23,683",11071463
9/30/2003,153073,"21,878",11769275
9/30/2004,160245,"19,652",12522425
9/30/2005,183986,"19,297",13332316
9/30/2006,226603,"29,945",14037228
9/30/2007,237109,"32,043",14681501
9/30/2008,252757,"33,598",14559543
9/30/2009,186902,"34,318",14628021
9/30/2010,196194,"75,845",15240843
9/30/2011,229962,"82,546",15796460
9/30/2012,220408,"81,957",16358863
9/30/2013,220885,"75,767",17083137
9/30/2014,228956,"99,235",17849912
9/30/2015,223181,"96,468",18378803
9/30/2016,240033,"115,672",19032580
9/30/2017,262551,"81,287",19937963
9/30/2018,324975,"70,750",20909853
9/30/2019,375158,"52,793",21747394
9/30/2020,345470,"81,880",21494731
,,,.
