,BBNZ1.A.DE.N.G.0000.A,BBNZ1.A.DE.N.G.0000.A_FLAGS,
,Germany / National accounts / Overall economy / GDP / At current prices,Interest (nominal),Interest Remitted to the Treasury
unit,Euro,,
unit multiplier,billion,,
last update,5/25/2021 8:07,,
1991,1585.8,,
1992,1702.06,52620,6700
1993,1750.89,55596,9300
1994,1829.55,60627,5200
1995,1894.61,66426,5300
1996,1921.38,66721,4500
1997,1961.15,66695,12400
1998,2014.42,67615,8300
1999,2059.48,63871,3900
2000,2109.09,67102,8400
2001,2172.54,65709,11200
2002,2198.12,65625,5400
2003,2211.57,64602,248
2004,2262.52,63364,676
2005,2288.31,63006,2900
2006,2385.08,64589,4200
2007,2499.55,66918,4300
2008,2546.49,67769,6300
2009,2445.73,64547,4100
2010,2564.4,63059,2200
2011,2693.56,67180,643
2012,2745.31,63477,664
2013,2811.35,51469,4600
2014,2927.43,47139,3000
2015,3026.18,42206,3200
2016,3134.74,37277,399
2017,3259.86,33722,1900
2018,3356.41,31078,2400
2019,3449.05,27465,5900
2020,3336.18,22238,0
