DATE,FYOIGDA188S
1940-01-01,0.87367
1941-01-01,0.72926
1942-01-01,0.63392
1943-01-01,0.75289
1944-01-01,0.98865
1945-01-01,1.36487
1946-01-01,1.80676
1947-01-01,1.68419
1948-01-01,1.58161
1949-01-01,1.65997
1950-01-01,1.60493
1951-01-01,1.34471
1952-01-01,1.27974
1953-01-01,1.32471
1954-01-01,1.23186
1955-01-01,1.13989
1956-01-01,1.13029
1957-01-01,1.12944
1958-01-01,1.16452
1959-01-01,1.10456
1960-01-01,1.28083
1961-01-01,1.19457
1962-01-01,1.14071
1963-01-01,1.21421
1964-01-01,1.19788
1965-01-01,1.15737
1966-01-01,1.15390
1967-01-01,1.19401
1968-01-01,1.17897
1969-01-01,1.24792
1970-01-01,1.33979
1971-01-01,1.27407
1972-01-01,1.21006
1973-01-01,1.21715
1974-01-01,1.38807
1975-01-01,1.37954
1976-01-01,1.42665
1977-01-01,1.43629
1978-01-01,1.50783
1979-01-01,1.62267
1980-01-01,1.83855
1981-01-01,2.14422
1982-01-01,2.54298
1983-01-01,2.47130
1984-01-01,2.75168
1985-01-01,2.98407
1986-01-01,2.97004
1987-01-01,2.85489
1988-01-01,2.89897
1989-01-01,2.99528
1990-01-01,3.09144
1991-01-01,3.15758
1992-01-01,3.05727
1993-01-01,2.89730
1994-01-01,2.78476
1995-01-01,3.03850
1996-01-01,2.98587
1997-01-01,2.84445
1998-01-01,2.66052
1999-01-01,2.38566
2000-01-01,2.17461
2001-01-01,1.94831
2002-01-01,1.56312
2003-01-01,1.33592
2004-01-01,1.31201
2005-01-01,1.41130
2006-01-01,1.64031
2007-01-01,1.64068
2008-01-01,1.71793
2009-01-01,1.29354
2010-01-01,1.30865
2011-01-01,1.47956
2012-01-01,1.36079
2013-01-01,1.31598
2014-01-01,1.30629
2015-01-01,1.22369
2016-01-01,1.28051
2017-01-01,1.34345
2018-01-01,1.57664
2019-01-01,1.75036
2020-01-01,1.65008
