DATE,JPNNGDP
1994-01-01,510108.9
1994-04-01,508974.2
1994-07-01,513042.4
1994-10-01,511535.0
1995-01-01,514906.2
1995-04-01,518735.1
1995-07-01,525425.7
1995-10-01,526980.6
1996-01-01,529181.1
1996-04-01,535987.9
1996-07-01,536153.5
1996-10-01,541097.1
1997-01-01,542188.3
1997-04-01,544000.2
1997-07-01,544060.4
1997-10-01,544941.6
1998-01-01,537982.4
1998-04-01,534771.7
1998-07-01,533928.2
1998-10-01,539275.8
1999-01-01,529056.3
1999-04-01,529012.3
1999-07-01,528591.2
1999-10-01,527851.8
2000-01-01,535245.7
2000-04-01,535375.7
2000-07-01,534421.8
2000-10-01,537846.4
2001-01-01,542516.8
2001-04-01,534273.6
2001-07-01,526984.1
2001-10-01,523955.0
2002-01-01,525422.6
2002-04-01,524246.5
2002-07-01,524174.1
2002-10-01,524445.4
2003-01-01,521325.5
2003-04-01,524523.7
2003-07-01,524384.6
2003-10-01,526403.2
2004-01-01,529475.7
2004-04-01,527640.2
2004-07-01,530518.8
2004-10-01,529893.2
2005-01-01,529836.8
2005-04-01,531350.8
2005-07-01,534663.1
2005-10-01,534667.5
2006-01-01,534462.5
2006-04-01,534082.8
2006-07-01,532349.1
2006-10-01,539742.4
2007-01-01,541870.2
2007-04-01,542208.1
2007-07-01,536608.8
2007-10-01,536551.4
2008-01-01,537665.9
2008-04-01,533828.7
2008-07-01,523320.5
2008-10-01,516703.2
2009-01-01,492181.7
2009-04-01,498008.8
2009-07-01,493651.6
2009-10-01,496312.7
2010-01-01,501451.4
2010-04-01,505121.2
2010-07-01,510953.5
2010-10-01,505155.2
2011-01-01,498607.1
2011-04-01,490843.6
2011-07-01,501070.0
2011-10-01,500113.8
2012-01-01,507576.8
2012-04-01,500288.9
2012-07-01,497571.1
2012-10-01,497155.6
2013-01-01,502946.6
2013-04-01,507573.3
2013-07-01,512897.7
2013-10-01,512451.2
2014-01-01,516625.7
2014-04-01,517826.1
2014-07-01,518320.2
2014-10-01,522221.0
2015-01-01,534561.0
2015-04-01,538042.9
2015-07-01,540028.8
2015-10-01,539630.9
2016-01-01,545115.5
2016-04-01,543162.4
2016-07-01,543616.9
2016-10-01,545249.4
2017-01-01,547194.9
2017-04-01,550106.9
2017-07-01,556905.7
2017-10-01,558281.4
2018-01-01,557878.5
2018-04-01,557381.2
2018-07-01,553956.2
2018-10-01,555648.8
2019-01-01,559399.0
2019-04-01,561039.0
2019-07-01,562778.7
2019-10-01,556197.5
2020-01-01,553126.4
2020-04-01,510113.0
2020-07-01,538437.1
2020-10-01,551576.2
2021-01-01,544400.2
