Name of time-series,National Government Debt/Total,_By Holder and Lender/Bank of Japan
1980/01,,
1980/02,,
1980/03,,
1980/04,,
1980/05,,
1980/06,,
1980/07,,
1980/08,,
1980/09,,
1980/10,,
1980/11,,
1980/12,,
1981/01,,
1981/02,,
1981/03,,
1981/04,,
1981/05,,
1981/06,,
1981/07,,
1981/08,,
1981/09,,
1981/10,,
1981/11,,
1981/12,,
1982/01,,
1982/02,,
1982/03,,
1982/04,1148528,205674
1982/05,1158290,209004
1982/06,1163245,205100
1982/07,1141923,212514
1982/08,1145115,199923
1982/09,1161671,192128
1982/10,1170021,182258
1982/11,1195084,184675
1982/12,1221066,199675
1983/01,1204671,153111
1983/02,1204822,163505
1983/03,1234846,177106
1983/04,1277629,196240
1983/05,1279354,200057
1983/06,1309360,198035
1983/07,1312847,191998
1983/08,1313362,198368
1983/09,1335493,183152
1983/10,1352143,172539
1983/11,1379542,177464
1983/12,1401761,182487
1984/01,1383860,147707
1984/02,1385893,168523
1984/03,1395848,170793
1984/04,1458904,200202
1984/05,1449478,197151
1984/06,1453267,201669
1984/07,1453129,192112
1984/08,1465648,185195
1984/09,1479452,183357
1984/10,1499229,175385
1984/11,1517762,194024
1984/12,1532672,204439
1985/01,1514264,163954
1985/02,1512547,179016
1985/03,1548336,196605
1985/04,1585846,194277
1985/05,1595481,211054
1985/06,1591230,210718
1985/07,1595908,183540
1985/08,1584093,182884
1985/09,1607950,158761
1985/10,1612317,139913
1985/11,1616903,178707
1985/12,1653835,174438
1986/01,1633415,137618
1986/02,1631586,134104
1986/03,1669961,157731
1986/04,1724461,168333
1986/05,1706409,178961
1986/06,1711751,193819
1986/07,1733063,176601
1986/08,1739625,177366
1986/09,1758528,152592
1986/10,1773466,155095
1986/11,1771939,162490
1986/12,1774790,171675
1987/01,1779641,119584
1987/02,1789339,133025
1987/03,1873782,151625
1987/04,1920213,183568
1987/05,1907265,183153
1987/06,1900728,180409
1987/07,1905972,185528
1987/08,1894231,185305
1987/09,1936871,177334
1987/10,1937632,187446
1987/11,1967293,193140
1987/12,1973884,193892
1988/01,1978709,157924
1988/02,1971592,176922
1988/03,2011854,195870
1988/04,2043432,199753
1988/05,2046692,233611
1988/06,2034652,239090
1988/07,2040406,228699
1988/08,2023360,222498
1988/09,2045256,206617
1988/10,2066130,212837
1988/11,2056491,218312
1988/12,2050920,224255
1989/01,2038384,202509
1989/02,2043966,213629
1989/03,2102456,216547
1989/04,2129218,239783
1989/05,2117336,220325
1989/06,2096487,228134
1989/07,2103196,228298
1989/08,2083230,226084
1989/09,2098230,191438
1989/10,2111722,201788
1989/11,2120954,207333
1989/12,2110217,253939
1990/01,2104459,205924
1990/02,2082431,218098
1990/03,2172084,268930
1990/04,2210094,291934
1990/05,2178612,267032
1990/06,2168284,262557
1990/07,2173376,272344
1990/08,2159636,290316
1990/09,2183576,288248
1990/10,2198296,299879
1990/11,2204491,286626
1990/12,2216991,328735
1991/01,2199527,259316
1991/02,2179921,271509
1991/03,2237926,269253
1991/04,2274021,293101
1991/05,2253498,270561
1991/06,2250775,269254
1991/07,2238825,239418
1991/08,2215349,224506
1991/09,2222446,229916
1991/10,2265689,207632
1991/11,2271146,213090
1991/12,2263455,245643
1992/01,2261910,174640
1992/02,2267463,189311
1992/03,2312954,222592
1992/04,2355800,219734
1992/05,2327394,149466
1992/06,2352265,188658
1992/07,2326142,203259
1992/08,2324096,175358
1992/09,2353508,192680
1992/10,2371522,194240
1992/11,2395775,171282
1992/12,2410572,235161
1993/01,2373052,178878
1993/02,2398019,175530
1993/03,2467239,215813
1993/04,2550161,268953
1993/05,2540303,229386
1993/06,2552853,290141
1993/07,2503936,285294
1993/08,2505220,269989
1993/09,2520738,271344
1993/10,2541097,260808
1993/11,2557927,254451
1993/12,2583834,311486
1994/01,2555414,259224
1994/02,2574647,253028
1994/03,2679932,304512
1994/04,2733124,300645
1994/05,2723742,260427
1994/06,2727706,315990
1994/07,2754929,322445
1994/08,2749394,316572
1994/09,2760933,301489
1994/10,2793595,308164
1994/11,2820363,273435
1994/12,2855305,329842
1995/01,2829277,301834
1995/02,2863842,313126
1995/03,2921728,322679
1995/04,3043196,380755
1995/05,3012647,351833
1995/06,3008407,366705
1995/07,2983546,358069
1995/08,2985071,342095
1995/09,3058257,327813
1995/10,3068496,314854
1995/11,3107277,324917
1995/12,3127390,368181
1996/01,3111137,317022
1996/02,3148513,306487
1996/03,3263526,361286
1996/04,3326813,381752
1996/05,3329406,384299
1996/06,3341309,412624
1996/07,3320204,395124
1996/08,3320309,396689
1996/09,3356210,384020
1996/10,3396114,403897
1996/11,3412395,388934
1996/12,3436817,452746
1997/01,3427939,413189
1997/02,3461063,412018
1997/03,3551685,450489
1997/04,3660548,491981
1997/05,3634005,463558
1997/06,3625450,505965
1997/07,3620789,461771
1997/08,3605030,460344
1997/09,3626766,443652
1997/10,3649811,464876
1997/11,3674226,449271
1997/12,3685974,480827
1998/01,3697609,433599
1998/02,3830528,488677
1998/03,3947370,573967
1998/04,3996481,573417
1998/05,3992604,562245
1998/06,4001730,565454
1998/07,3980786,518854
1998/08,3990728,533775
1998/09,4011589,517552
1998/10,4185868,520126
1998/11,4212941,550839
1998/12,4269774,547406
1999/01,4271669,491110
1999/02,4285720,498005
1999/03,4375545,513341
1999/04,4544877,579072
1999/05,4545530,535210
1999/06,4606676,541739
1999/07,4618161,495983
1999/08,4622349,482941
1999/09,4656371,490265
1999/10,4681945,487207
1999/11,4739449,544074
1999/12,4777638,759280
2000/01,4828080,606976
2000/02,4857301,687034
2000/03,4929698,791802
2000/04,5020041,657934
2000/05,5057420,653327
2000/06,5023687,649899
2000/07,5107754,650744
2000/08,5088311,674473
2000/09,5110449,645663
2000/10,5130721,665854
2000/11,5217059,728387
2000/12,5220991,715028
2001/01,5280737,710341
2001/02,5328711,685796
2001/03,5383864,727264
2001/04,5478899,679827
2001/05,5551480,603666
2001/06,5571861,655669
2001/07,5618939,670494
2001/08,5646849,667367
2001/09,5655553,662773
2001/10,5683377,649045
2001/11,5761532,624695
2001/12,5824556,639365
2002/01,5883027,602821
2002/02,6002803,666403
2002/03,6073122,702461
2002/04,6191690,683406
2002/05,6257113,634149
2002/06,6273900,664236
2002/07,6340073,671992
2002/08,6347485,680013
2002/09,6315261,654228
2002/10,6372506,673199
2002/11,6440766,654263
2002/12,6431945,690634
2003/01,6480236,657350
2003/02,6611624,698219
2003/03,6687605,767095
2003/04,6364765,756570
2003/05,6467668,759780
2003/06,6437599,741851
