DATE,FGTNILQ027S
10/1/1945,.
1/1/1946,179978
4/1/1946,.
7/1/1946,.
10/1/1946,.
1/1/1947,154790
4/1/1947,.
7/1/1947,.
10/1/1947,.
1/1/1948,153780
4/1/1948,.
7/1/1948,.
10/1/1948,.
1/1/1949,149438
4/1/1949,.
7/1/1949,.
10/1/1949,.
1/1/1950,139266
4/1/1950,.
7/1/1950,.
10/1/1950,.
1/1/1951,147404
4/1/1951,.
7/1/1951,.
10/1/1951,168529
1/1/1952,174533
4/1/1952,177909
7/1/1952,169656
10/1/1952,174253
1/1/1953,179168
4/1/1953,183067
7/1/1953,180285
10/1/1953,180515
1/1/1954,185436
4/1/1954,188154
7/1/1954,182946
10/1/1954,188414
1/1/1955,190915
4/1/1955,198075
7/1/1955,192959
10/1/1955,199267
1/1/1956,207131
4/1/1956,213395
7/1/1956,210870
10/1/1956,214664
1/1/1957,222991
4/1/1957,225307
7/1/1957,222781
10/1/1957,224704
1/1/1958,226062
4/1/1958,233929
7/1/1958,228140
10/1/1958,235205
1/1/1959,236414
4/1/1959,241016
7/1/1959,242871
10/1/1959,243931
1/1/1960,243386
4/1/1960,246492
7/1/1960,251932
10/1/1960,252574
1/1/1961,250018
4/1/1961,254615
7/1/1961,261233
10/1/1961,266574
1/1/1962,267719
4/1/1962,274144
7/1/1962,280021
10/1/1962,284095
1/1/1963,285698
4/1/1963,293809
7/1/1963,295427
10/1/1963,298206
1/1/1964,301270
4/1/1964,306675
7/1/1964,309633
10/1/1964,311510
1/1/1965,314582
4/1/1965,322602
7/1/1965,321501
10/1/1965,326409
1/1/1966,329519
4/1/1966,339319
7/1/1966,340526
10/1/1966,345325
1/1/1967,350634
4/1/1967,350465
7/1/1967,365551
10/1/1967,374522
1/1/1968,382764
4/1/1968,384708
7/1/1968,394418
10/1/1968,399957
1/1/1969,409665
4/1/1969,414188
7/1/1969,420330
10/1/1969,427291
1/1/1970,438480
4/1/1970,441224
7/1/1970,448943
10/1/1970,456587
1/1/1971,462923
4/1/1971,468873
7/1/1971,475878
10/1/1971,483295
1/1/1972,521373
4/1/1972,513091
7/1/1972,515102
10/1/1972,519613
1/1/1973,537436
4/1/1973,544925
7/1/1973,556067
10/1/1973,571026
1/1/1974,585239
4/1/1974,594550
7/1/1974,623472
10/1/1974,645625
1/1/1975,661743
4/1/1975,668730
7/1/1975,682429
10/1/1975,696566
1/1/1976,717964
4/1/1976,727787
7/1/1976,748736
10/1/1976,761945
1/1/1977,776396
4/1/1977,784218
7/1/1977,799454
10/1/1977,808697
1/1/1978,828156
4/1/1978,851481
7/1/1978,886032
10/1/1978,902367
1/1/1979,925715
4/1/1979,950266
