date,percent
2026-01-18,0.182
2026-01-04,0.177
2025-12-21,0.178
2025-12-07,0.172
2025-11-23,0.173
2025-11-09,NA
2025-10-26,NA
2025-10-12,NA
2025-09-28,0.100
2025-09-14,0.099
2025-08-31,0.091
2025-08-17,0.097
2025-08-03,0.088
2025-07-20,0.094
2025-07-06,0.093
2025-06-22,0.093
2025-06-08,0.092
2025-05-25,0.092
2025-05-11,0.087
2025-04-27,0.087
2025-04-13,0.083
2025-03-30,0.080
2025-03-16,0.078
2025-03-02,0.074
2025-02-16,0.073
2025-02-02,0.068
2025-01-19,0.067
2025-01-05,0.060
2024-12-22,0.063
2024-12-08,0.061
2024-11-24,0.061
2024-11-10,0.061
2024-10-27,0.060
2024-10-13,0.060
2024-09-29,0.060
2024-09-15,0.059
2024-09-01,0.057
2024-08-18,0.055
2024-08-04,0.051
2024-07-21,0.051
2024-07-07,0.050
2024-06-23,0.047
2024-06-09,0.050
2024-05-26,0.046
2024-05-12,0.048
2024-04-28,0.047
2024-04-14,0.048
2024-03-31,0.042
2024-03-17,0.044
2024-03-03,0.043
2024-02-18,0.054
2024-02-04,0.050
2024-01-21,0.053
2024-01-07,0.046
2023-12-24,0.049
2023-12-10,0.049
2023-11-26,0.046
2023-11-12,0.044
2023-10-29,0.039
2023-10-15,0.038
2023-10-01,0.037
2023-09-17,0.037
