Date,Fisher,Annual_Growth
1964-01-01, 11.8 ,
1964-02-01, 11.7 ,
1964-03-01, 11.6 ,
1964-04-01, 11.8 ,
1964-05-01, 12.0 ,
1964-06-01, 12.0 ,
1964-07-01, 12.0 ,
1964-08-01, 12.0 ,
1964-09-01, 11.9 ,
1964-10-01, 12.1 ,
1964-11-01, 12.3 ,
1964-12-01, 12.3 ,
1965-01-01, 12.3 ,0.042372881
1965-02-01, 12.2 ,0.042735043
1965-03-01, 12.1 ,0.043103448
1965-04-01, 12.2 ,0.033898305
1965-05-01, 12.3 ,0.025
1965-06-01, 12.3 ,0.025
1965-07-01, 12.3 ,0.025
1965-08-01, 12.2 ,0.016666667
1965-09-01, 12.2 ,0.025210084
1965-10-01, 12.4 ,0.024793388
1965-11-01, 12.8 ,0.040650407
1965-12-01, 12.8 ,0.040650407
1966-01-01, 12.6 ,0.024390244
1966-02-01, 12.4 ,0.016393443
1966-03-01, 12.4 ,0.024793388
1966-04-01, 12.8 ,0.049180328
1966-05-01, 13.2 ,0.073170732
1966-06-01, 13.2 ,0.073170732
1966-07-01, 13.0 ,0.056910569
1966-08-01, 12.9 ,0.057377049
1966-09-01, 12.8 ,0.049180328
1966-10-01, 13.1 ,0.056451613
1966-11-01, 13.2 ,0.03125
1966-12-01, 13.4 ,0.046875
1967-01-01, 13.2 ,0.047619048
1967-02-01, 13.2 ,0.064516129
1967-03-01, 13.2 ,0.064516129
1967-04-01, 13.2 ,0.03125
1967-05-01, 13.2 ,0
1967-06-01, 13.2 ,0
1967-07-01, 13.3 ,0.023076923
1967-08-01, 13.3 ,0.031007752
1967-09-01, 13.4 ,0.046875
1967-10-01, 13.5 ,0.030534351
1967-11-01, 13.6 ,0.03030303
1967-12-01, 13.8 ,0.029850746
1968-01-01, 13.8 ,0.045454545
1968-02-01, 13.9 ,0.053030303
1968-03-01, 13.9 ,0.053030303
1968-04-01, 13.9 ,0.053030303
1968-05-01, 14.0 ,0.060606061
1968-06-01, 14.0 ,0.060606061
1968-07-01, 13.9 ,0.045112782
1968-08-01, 13.9 ,0.045112782
1968-09-01, 14.0 ,0.044776119
1968-10-01, 14.3 ,0.059259259
1968-11-01, 14.6 ,0.073529412
1968-12-01, 14.9 ,0.079710145
1969-01-01, 14.7 ,0.065217391
1969-02-01, 14.7 ,0.057553957
1969-03-01, 14.9 ,0.071942446
1969-04-01, 14.9 ,0.071942446
1969-05-01, 15.0 ,0.071428571
1969-06-01, 14.9 ,0.064285714
1969-07-01, 15.0 ,0.079136691
1969-08-01, 14.9 ,0.071942446
1969-09-01, 14.9 ,0.064285714
1969-10-01, 15.1 ,0.055944056
1969-11-01, 15.2 ,0.04109589
1969-12-01, 15.3 ,0.026845638
1970-01-01, 15.1 ,0.027210884
1970-02-01, 15.0 ,0.020408163
1970-03-01, 15.2 ,0.020134228
1970-04-01, 15.6 ,0.046979866
1970-05-01, 15.8 ,0.053333333
1970-06-01, 16.1 ,0.080536913
1970-07-01, 15.5 ,0.033333333
1970-08-01, 15.1 ,0.013422819
1970-09-01, 15.0 ,0.006711409
1970-10-01, 15.1 ,0
1970-11-01, 15.3 ,0.006578947
1970-12-01, 15.5 ,0.013071895
1971-01-01, 15.4 ,0.01986755
1971-02-01, 15.8 ,0.053333333
1971-03-01, 15.9 ,0.046052632
1971-04-01, 15.9 ,0.019230769
1971-05-01, 16.0 ,0.012658228
1971-06-01, 16.1 ,0
1971-07-01, 16.2 ,0.04516129
