Date,Originations
2003-04-01,969.0
2003-07-01,1014.6
2003-10-01,1063.7
2004-01-01,1028.1
2004-04-01,656.8
2004-07-01,710.9
2004-10-01,786.8
2005-01-01,671.4
2005-04-01,659.2
2005-07-01,632.5
2005-10-01,761.9
2006-01-01,800.0
2006-04-01,675.3
2006-07-01,729.0
2006-10-01,719.9
2007-01-01,641.9
2007-04-01,751.7
2007-07-01,648.1
2007-10-01,701.9
2008-01-01,514.6
2008-04-01,453.2
2008-07-01,557.9
2008-10-01,393.8
2009-01-01,302.0
2009-04-01,397.6
2009-07-01,516.2
2009-10-01,511.3
2010-01-01,392.7
2010-04-01,379.5
2010-07-01,365.8
2010-10-01,389.1
2011-01-01,463.0
2011-04-01,497.2
2011-07-01,351.9
2011-10-01,292.3
2012-01-01,404.1
2012-04-01,411.8
2012-07-01,461.8
2012-10-01,520.6
2013-01-01,552.8
2013-04-01,576.8
2013-07-01,578.9
2013-10-01,548.8
2014-01-01,451.4
2014-04-01,331.9
2014-07-01,285.7
2014-10-01,337.0
2015-01-01,354.2
2015-04-01,368.5
2015-07-01,465.7
2015-10-01,489.1
2016-01-01,436.9
2016-04-01,388.60
2016-07-01,426.57
2016-10-01,477.06
2017-01-01,616.79
2017-04-01,491.37
2017-07-01,421.45
2017-10-01,479.35
2018-01-01,451.50
2018-04-01,427.89
2018-07-01,437.46
2018-10-01,445.26
2019-01-01,401.48
2019-04-01,344.02
2019-07-01,474.05
2019-10-01,528.25
2020-01-01,751.97
2020-04-01,661.67
2020-07-01,846.41
2020-10-01,1049.25
2021-01-01,1174.56
2021-04-01,1138.39
2021-07-01,1217.80
2021-10-01,1114.65
2022-01-01,1035.11
2022-04-01,858.95
2022-07-01,758.12
2022-10-01,632.50
2023-01-01,497.57
2023-04-01,323.53
