date,purchase,refinance
2000-03-01,240,50.43
2000-06-01,191.2,33.99
2000-09-01,229.6,54.22
2000-12-01,268.2,46.74
2001-03-01,259.7,64.89
2001-06-01,221.9,104
2001-09-01,304.3,188
2001-12-01,287.3,188.7
2002-03-01,353.1,320.6
2002-06-01,261.3,257.8
2002-09-01,348.9,238.5
2002-12-01,318.2,346.5
2003-03-01,338.2,590.7
2003-06-01,299.1,675.3
2003-09-01,352.4,664.1
2003-12-01,388.5,583.1
2004-03-01,319.5,296.5
2004-06-01,340.2,327.4
2004-09-01,412.3,342.3
2004-12-01,396.4,240.4
2005-03-01,318,313.6
2005-06-01,347.7,249.8
2005-09-01,431.1,291.1
2005-12-01,443.2,308.1
2006-03-01,365.1,261.6
2006-06-01,408.9,257.5
2006-09-01,433.7,218.2
2006-12-01,381.3,200.5
2007-03-01,420.9,276.5
2007-06-01,351.9,242.1
2007-09-01,387.6,257.6
2007-12-01,305.8,178.9
2008-03-01,252.8,180
2008-06-01,254.3,284.2
2008-09-01,223.1,145
2008-12-01,196.5,94.04
2009-03-01,214.8,172.7
2009-06-01,170,333.8
2009-09-01,193.8,306
2009-12-01,178.6,199.2
2010-03-01,171.9,200.5
2010-06-01,169.3,188.4
2010-09-01,178.5,196.7
2010-12-01,160,293.2
2011-03-01,167.2,320.7
2011-06-01,142.7,199.4
2011-09-01,141.5,142.5
2011-12-01,166,227.4
2012-03-01,144,258.4
2012-06-01,158.5,290.2
2012-09-01,200.8,309.6
2012-12-01,206.5,333.3
2013-03-01,189.7,377.6
2013-06-01,198.2,361.3
2013-09-01,218.8,317.5
2013-12-01,230.9,207.9
2014-03-01,198.3,122.7
2014-06-01,163.2,112.9
2014-09-01,219.5,107.2
2014-12-01,217.6,126.6
2015-03-01,200.8,158.9
2015-06-01,209.7,246
2015-09-01,270.6,217.4
2015-12-01,260.8,166
2016-03-01,211.2,167.9
2016-06-01,236.5,179.1
2016-09-01,274.9,191.5
2016-12-01,301,302
2017-03-01,249.9,231.5
2017-06-01,255,153.6
2017-09-01,316.7,147.8
2017-12-01,293.7,143.2
2018-03-01,260,154
2018-06-01,294.6,129.3
2018-09-01,327.4,103.5
2018-12-01,296,92.66
2019-03-01,239.5,91.65
2019-06-01,321.8,138.6
2019-09-01,304.3,208.6
2019-12-01,373.4,363.1
2020-03-01,305.8,343.3
2020-06-01,332.5,500.1
2020-09-01,419.1,615.9
2020-12-01,465.5,689.7
2021-03-01,419.9,704.1
2021-06-01,477.8,721.2
2021-09-01,515,578.7
2021-12-01,519.4,494.8
2022-03-01,427.9,412.6
2022-06-01,470.6,260.3
2022-09-01,462.7,145.7
2022-12-01,388.3,83.48
2023-03-01,256,46.91
