Date,Good Time<br>Prices Low,Good Time<br>Prices will increase,Good Time<br>Interest Rates Low,Good Time<br>Rising Interest Rates,Good Time<br>Good Investment,Good Time<br>Times Good,Bad Time<Br>Prices are High,Bad Time<br>Interest Rates High,Bad Time<br>Can't Afford,Bad Time<br>Uncertain Future,Bad Time<br>Bad Investment,Relative: prices,Relative: interest rates,Relative: time,Relative: investment
1978-01-01,,,,,,,,,,,,,,,
1978-02-01,3,36,2,5,11,1,27,9,4,1,0,-24,-7,-4,11
1978-03-01,,,,,,,,,,,,,,,
1978-04-01,,,,,,,,,,,,,,,
1978-05-01,3,37,2,7,10,1,28,11,4,2,0,-25,-9,-5,10
1978-06-01,,,,,,,,,,,,,,,
1978-07-01,,,,,,,,,,,,,,,
1978-08-01,2,35,1,8,14,1,34,20,2,2,0,-32,-19,-3,14
1978-09-01,,,,,,,,,,,,,,,
1978-10-01,,,,,,,,,,,,,,,
1978-11-01,2,34,1,8,9,1,29,26,4,2,0,-27,-25,-5,9
1978-12-01,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,
1979-02-01,2,32,2,9,12,1,25,28,4,2,0,-23,-26,-5,12
1979-03-01,,,,,,,,,,,,,,,
1979-04-01,,,,,,,,,,,,,,,
1979-05-01,2,35,1,10,14,1,29,28,6,3,0,-27,-27,-8,14
1979-06-01,,,,,,,,,,,,,,,
1979-07-01,,,,,,,,,,,,,,,
1979-08-01,3,30,1,8,12,1,31,31,5,4,1,-28,-30,-8,11
1979-09-01,,,,,,,,,,,,,,,
1979-10-01,,,,,,,,,,,,,,,
1979-11-01,3,17,1,7,8,1,31,68,6,3,1,-28,-67,-8,7
1979-12-01,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,
1980-02-01,4,20,2,7,12,0,30,56,5,3,0,-26,-54,-8,12
1980-03-01,,,,,,,,,,,,,,,
1980-04-01,4,8,1,3,9,0,31,76,6,2,1,-27,-75,-8,8
1980-05-01,3,8,3,3,7,1,30,75,5,4,1,-27,-72,-8,6
1980-06-01,6,11,13,2,5,0,27,66,5,5,0,-21,-53,-10,5
1980-07-01,9,12,17,6,6,1,30,53,9,6,0,-21,-36,-14,6
1980-08-01,9,14,19,9,10,1,26,41,8,4,1,-17,-22,-11,9
1980-09-01,7,17,11,11,9,0,29,50,9,2,1,-22,-39,-11,8
1980-10-01,4,17,8,9,8,0,27,56,9,3,1,-23,-48,-12,7
1980-11-01,4,16,2,8,7,0,28,66,8,3,0,-24,-64,-11,7
1980-12-01,4,10,1,5,6,0,28,76,8,4,0,-24,-75,-12,6
1981-01-01,3,12,2,3,7,0,32,76,7,3,1,-29,-74,-10,6
1981-02-01,5,10,2,5,10,0,31,73,10,4,0,-26,-71,-14,10
1981-03-01,4,9,2,2,7,1,32,76,8,5,1,-28,-74,-12,6
1981-04-01,5,12,4,5,8,0,30,66,9,4,1,-25,-62,-13,7
1981-05-01,5,10,3,4,6,1,28,71,9,3,0,-23,-68,-11,6
1981-06-01,5,10,2,4,6,0,30,71,12,2,1,-25,-69,-14,5
1981-07-01,5,10,2,4,7,0,30,71,8,3,0,-25,-69,-11,7
1981-08-01,6,10,2,5,5,0,23,76,10,2,0,-17,-74,-12,5
1981-09-01,5,7,3,3,4,1,30,80,12,3,0,-25,-77,-14,4
1981-10-01,7,8,1,3,3,1,27,78,8,3,1,-20,-77,-10,2
1981-11-01,7,7,2,2,5,0,24,83,13,4,0,-17,-81,-17,5
1981-12-01,12,7,4,1,3,1,27,81,15,6,0,-15,-77,-20,3
1982-01-01,13,5,5,3,5,0,28,72,17,5,0,-15,-67,-22,5
1982-02-01,11,5,4,3,6,1,24,76,13,5,1,-13,-72,-17,5
1982-03-01,13,7,2,2,4,0,25,78,15,8,1,-12,-76,-23,3
1982-04-01,15,4,4,2,5,0,24,74,16,6,1,-9,-70,-22,4
1982-05-01,16,4,5,2,5,1,27,72,13,5,1,-11,-67,-17,4
1982-06-01,15,4,5,2,4,1,27,75,15,8,1,-12,-70,-22,3
1982-07-01,12,4,2,2,3,0,21,82,18,9,1,-9,-80,-27,2
1982-08-01,12,5,5,2,4,1,23,71,14,6,1,-11,-66,-19,3
1982-09-01,15,5,16,4,3,0,25,64,17,4,0,-10,-48,-21,3
