date,FMP
10/1/1995,0.0302
11/1/1995,0.0310
12/1/1995,0.0210
1/1/1996,0.0269
2/1/1996,0.0272
3/1/1996,0.0260
4/1/1996,0.0242
5/1/1996,0.0301
6/1/1996,0.0304
7/1/1996,0.0304
8/1/1996,0.0326
9/1/1996,0.0317
10/1/1996,0.0270
11/1/1996,0.0286
12/1/1996,0.0204
1/1/1997,0.0285
2/1/1997,0.0262
3/1/1997,0.0264
4/1/1997,0.0230
5/1/1997,0.0281
6/1/1997,0.0294
7/1/1997,0.0302
8/1/1997,0.0321
9/1/1997,0.0328
10/1/1997,0.0317
11/1/1997,0.0272
12/1/1997,0.0237
1/1/1998,0.0262
2/1/1998,0.0264
3/1/1998,0.0254
4/1/1998,0.0281
5/1/1998,0.0256
6/1/1998,0.0295
7/1/1998,0.0328
8/1/1998,0.0296
9/1/1998,0.0306
10/1/1998,0.0301
11/1/1998,0.0245
12/1/1998,0.0231
1/1/1999,0.0254
2/1/1999,0.0255
3/1/1999,0.0246
4/1/1999,0.0277
5/1/1999,0.0250
6/1/1999,0.0289
7/1/1999,0.0317
8/1/1999,0.0285
9/1/1999,0.0366
10/1/1999,0.0278
11/1/1999,0.0263
12/1/1999,0.0262
1/1/2000,0.0277
2/1/2000,0.0269
3/1/2000,0.0282
4/1/2000,0.0250
5/1/2000,0.0280
6/1/2000,0.0339
7/1/2000,0.0302
8/1/2000,0.0290
9/1/2000,0.0350
10/1/2000,0.0286
11/1/2000,0.0277
12/1/2000,0.0203
1/1/2001,0.0278
2/1/2001,0.0293
3/1/2001,0.0247
4/1/2001,0.0231
5/1/2001,0.0230
6/1/2001,0.0303
7/1/2001,0.0294
8/1/2001,0.0318
9/1/2001,0.0293
10/1/2001,0.0252
11/1/2001,0.0252
12/1/2001,0.0194
1/1/2002,0.0233
2/1/2002,0.0255
3/1/2002,0.0226
4/1/2002,0.0206
5/1/2002,0.0258
6/1/2002,0.0274
7/1/2002,0.0271
8/1/2002,0.0272
9/1/2002,0.0274
10/1/2002,0.0252
11/1/2002,0.0238
12/1/2002,0.0172
1/1/2003,0.0243
2/1/2003,0.0214
3/1/2003,0.0212
4/1/2003,0.0191
5/1/2003,0.0234
6/1/2003,0.0243
7/1/2003,0.0245
8/1/2003,0.0253
9/1/2003,0.0267
10/1/2003,0.0235
11/1/2003,0.0198
12/1/2003,0.0188
1/1/2004,0.0228
2/1/2004,0.0213
3/1/2004,0.0211
4/1/2004,0.0234
5/1/2004,0.0218
6/1/2004,0.0244
7/1/2004,0.0274
8/1/2004,0.0250
9/1/2004,0.0282
10/1/2004,0.0257
11/1/2004,0.0218
12/1/2004,0.0205
1/1/2005,0.0237
2/1/2005,0.0241
3/1/2005,0.0227
4/1/2005,0.0227
5/1/2005,0.0213
6/1/2005,0.0278
7/1/2005,0.0242
8/1/2005,0.0260
9/1/2005,0.0299
10/1/2005,0.0245
11/1/2005,0.0237
12/1/2005,0.0196
1/1/2006,0.0226
2/1/2006,0.0238
3/1/2006,0.0228
4/1/2006,0.0206
5/1/2006,0.0221
6/1/2006,0.0280
7/1/2006,0.0268
8/1/2006,0.0258
9/1/2006,0.0288
10/1/2006,0.0225
11/1/2006,0.0220
12/1/2006,0.0207
1/1/2007,0.0218
2/1/2007,0.0217
3/1/2007,0.0248
4/1/2007,0.0226
5/1/2007,0.0243
6/1/2007,0.0259
7/1/2007,0.0284
8/1/2007,0.0266
9/1/2007,0.0289
10/1/2007,0.0237
11/1/2007,0.0236
12/1/2007,0.0187
1/1/2008,0.0230
2/1/2008,0.0235
3/1/2008,0.0225
4/1/2008,0.0212
5/1/2008,0.0249
