date,1st,2nd,3rd,4th,Overall
1/1/1997,.,.,.,.,.
2/1/1997,.,.,.,.,.
3/1/1997,.,.,.,.,.
4/1/1997,.,.,.,.,.
5/1/1997,.,.,.,.,.
6/1/1997,.,.,.,.,.
7/1/1997,.,.,.,.,.
8/1/1997,.,.,.,.,.
9/1/1997,.,.,.,.,.
10/1/1997,.,.,.,.,.
11/1/1997,.,.,.,.,.
12/1/1997,6.3,4.7,4.1,4.1,4.7
1/1/1998,6.4,4.8,4.1,4.1,4.7
2/1/1998,6.5,4.8,4.1,4.1,4.7
3/1/1998,6.7,4.7,4,4.1,4.7
4/1/1998,6.8,4.8,4,4.2,4.8
5/1/1998,6.9,4.8,4.1,4.3,4.9
6/1/1998,7,4.8,4.1,4.5,4.9
7/1/1998,6.9,4.9,4.1,4.5,5
8/1/1998,7,5,4.1,4.5,5
9/1/1998,6.8,5,4.2,4.6,5
10/1/1998,6.8,4.9,4.2,4.6,5
11/1/1998,6.6,5,4.3,4.7,5
12/1/1998,6.5,5.1,4.3,4.7,5
1/1/1999,6.4,5.1,4.3,4.8,5.1
2/1/1999,6.5,5.1,4.3,4.8,5.1
3/1/1999,6.5,5.3,4.3,4.9,5.2
4/1/1999,6.4,5.3,4.3,4.8,5.1
5/1/1999,6.4,5.2,4.5,4.8,5.1
6/1/1999,6.1,5.2,4.5,4.8,5.1
7/1/1999,6,5.2,4.5,4.8,5
8/1/1999,5.8,5.1,4.6,4.8,5
9/1/1999,5.9,5.1,4.6,4.9,5
10/1/1999,5.9,5.2,4.6,4.9,5.1
11/1/1999,5.9,5.2,4.6,4.9,5.1
12/1/1999,5.8,5.2,4.8,4.9,5
1/1/2000,5.7,5.1,4.8,4.9,5
2/1/2000,5.6,5.1,4.9,4.8,5
3/1/2000,5.6,5,4.9,4.7,4.9
4/1/2000,5.5,5,4.9,4.8,4.9
5/1/2000,5.5,5.1,4.7,4.7,4.9
6/1/2000,5.6,5,4.8,4.7,5
7/1/2000,5.6,4.9,4.9,4.8,5
8/1/2000,5.6,5,4.9,4.7,5
9/1/2000,5.6,5.1,4.9,4.7,5
10/1/2000,5.6,5.1,4.9,4.7,5
11/1/2000,5.7,5,5,4.7,5.1
12/1/2000,5.9,5,4.9,4.8,5.1
1/1/2001,5.9,5.1,5,4.8,5.1
2/1/2001,5.9,5.1,5,4.9,5.2
3/1/2001,5.9,5.1,4.9,4.9,5.2
4/1/2001,6,5.1,5,4.9,5.2
5/1/2001,5.9,5,5.1,5,5.2
6/1/2001,5.9,5,5,5,5.3
7/1/2001,5.9,5,5.1,5,5.2
8/1/2001,6,4.9,5.1,5,5.2
9/1/2001,6,4.8,5.1,5,5.2
10/1/2001,5.9,4.9,5.2,4.9,5.2
11/1/2001,5.8,4.9,5.1,4.9,5.1
12/1/2001,5.7,4.9,5.1,4.9,5.1
1/1/2002,5.7,4.8,5,4.9,5.1
2/1/2002,5.6,4.7,5,4.9,5
