date,Applied,Rejected
2014-02-01,8.601622,20.483662
2014-06-01,10.788901,23.575729
2014-10-01,8.691425,28.099930
2015-02-01,11.555430,27.718189
2015-06-01,12.908007,26.541805
2015-10-01,10.448675,27.051304
2016-02-01,12.251401,22.782984
2016-06-01,12.122546,24.098736
2016-10-01,12.207623,25.013796
2017-02-01,12.227931,27.711615
2017-06-01,10.897183,23.908554
2017-10-01,11.641265,21.536821
2018-02-01,9.806401,22.536755
2018-06-01,11.271805,24.779068
2018-10-01,10.498192,22.684120
2019-02-01,11.697088,22.815790
2019-06-01,11.992842,25.632935
2019-10-01,10.880038,23.267960
2020-02-01,10.756496,24.785114
2020-06-01,9.268381,26.022488
2020-10-01,9.967349,25.383783
2021-02-01,11.516252,22.823908
2021-06-01,11.613825,23.155403
2021-10-01,11.501755,27.097725
2022-02-01,11.719962,25.679777
2022-06-01,11.449363,23.337469
2022-10-01,10.896069,23.102152
2023-02-01,12.470127,23.463394
2023-06-01,11.210906,30.709558
2023-10-01,10.212697,30.605175
