Year,Quarter,Sector,Measure,Value,SE,Lower CI,Upper CI
2022,2,All,Building capital expenditures,3.8 ,0.7 ,,
2022,2,311,Building capital expenditures,3.4 ,2.3 ,,
2022,2,312,Building capital expenditures,9.3 ,6.4 ,,
2022,2,313,Building capital expenditures,0.0 ,0.0 ,,
2022,2,314,Building capital expenditures,0.0 ,0.0 ,,
2022,2,315,Building capital expenditures,0.0 ,0.0 ,,
2022,2,316,Building capital expenditures,D,D,,
2022,2,321,Building capital expenditures,9.3 ,4.8 ,,
2022,2,322,Building capital expenditures,D,D,,
2022,2,323,Building capital expenditures,D,D,,
2022,2,324,Building capital expenditures,D,D,,
2022,2,325,Building capital expenditures,1.1 ,0.5 ,,
2022,2,326,Building capital expenditures,D,D,,
2022,2,327,Building capital expenditures,0.0 ,0.0 ,,
2022,2,331,Building capital expenditures,2.6 ,1.5 ,,
2022,2,332,Building capital expenditures,3.4 ,1.6 ,,
2022,2,333,Building capital expenditures,2.4 ,1.7 ,,
2022,2,334,Building capital expenditures,1.9 ,0.9 ,,
2022,2,335,Building capital expenditures,11.6 ,7.9 ,,
2022,2,336,Building capital expenditures,9.0 ,4.5 ,,
2022,2,337,Building capital expenditures,D,D,,
2022,2,339,Building capital expenditures,6.7 ,4.0 ,,
2022,2,All,"Price changed, product mix same",34.0 ,1.7 ,,
2022,2,311,"Price changed, product mix same",44.6 ,5.7 ,,
2022,2,312,"Price changed, product mix same",13.2 ,6.9 ,,
2022,2,313,"Price changed, product mix same",70.2 ,16.1 ,,
2022,2,314,"Price changed, product mix same",32.9 ,17.7 ,,
2022,2,315,"Price changed, product mix same",22.9 ,13.3 ,,
2022,2,316,"Price changed, product mix same",40.9 ,36.2 ,,
2022,2,321,"Price changed, product mix same",48.6 ,7.3 ,,
2022,2,322,"Price changed, product mix same",60.9 ,10.4 ,,
2022,2,323,"Price changed, product mix same",17.8 ,7.8 ,,
2022,2,324,"Price changed, product mix same",27.4 ,15.0 ,,
2022,2,325,"Price changed, product mix same",50.5 ,6.1 ,,
2022,2,326,"Price changed, product mix same",32.6 ,7.3 ,,
2022,2,327,"Price changed, product mix same",28.8 ,6.6 ,,
