dates,Diffusion_Index
2011-11-18,40
2012-02-17,42
2012-05-18,38
2012-08-17,42
2012-11-16,43
2013-02-08,42
2013-05-10,42
2013-08-09,40
2013-11-08,34
2014-02-07,34
2014-05-09,40
2014-11-07,33
2015-02-13,21
2015-05-08,31
2015-08-07,30
2015-11-13,26
2016-02-12,23
2016-05-13,29
2016-08-12,29
2016-11-11,32
2017-02-06,36
2017-05-05,39
2017-08-11,37
2017-11-10,32
2018-02-09,38
2018-05-11,40
2018-08-10,40
2018-11-09,41
2019-02-08,39
2019-05-10,32
2019-08-09,33
2019-11-08,32
2020-02-07,31
2020-05-08,34
2020-08-07,27
2020-11-06,36
2021-02-05,41
2021-05-07,56
2021-08-06,55
2021-11-05,56
2022-02-11,63
2022-05-06,71
2022-08-03,60
