date,GSPI
1998-01-01,-0.93
1998-02-01,-0.46
1998-03-01,-0.10
1998-04-01,-0.14
1998-05-01,-0.50
1998-06-01,-0.80
1998-07-01,-0.93
1998-08-01,-0.95
1998-09-01,-0.95
1998-10-01,-0.79
1998-11-01,-0.87
1998-12-01,-0.62
1999-01-01,-0.31
1999-02-01,-0.09
1999-03-01,-0.35
1999-04-01,-0.35
1999-05-01,-0.38
1999-06-01,-0.42
1999-07-01,-0.61
1999-08-01,-0.48
1999-09-01,-0.32
1999-10-01,-0.11
1999-11-01,-0.08
1999-12-01,-0.03
2000-01-01,-0.47
2000-02-01,-0.33
2000-03-01,-0.26
2000-04-01,0.09
2000-05-01,0.18
2000-06-01,-0.09
2000-07-01,-0.11
2000-08-01,-0.08
2000-09-01,-0.20
2000-10-01,-0.66
2000-11-01,-0.92
2000-12-01,-1.12
2001-01-01,-1.14
2001-02-01,-0.96
2001-03-01,-0.97
2001-04-01,-1.19
2001-05-01,-1.28
2001-06-01,-0.84
2001-07-01,-0.87
2001-08-01,-0.75
2001-09-01,-0.67
2001-10-01,-1.15
2001-11-01,-1.24
2001-12-01,-1.04
2002-01-01,-0.88
2002-02-01,-0.41
2002-03-01,-0.43
2002-04-01,-0.47
2002-05-01,-0.26
2002-06-01,-0.48
2002-07-01,-0.87
2002-08-01,-0.96
2002-09-01,-0.95
2002-10-01,-1.12
2002-11-01,-0.79
2002-12-01,-0.57
2003-01-01,-0.50
2003-02-01,-0.39
2003-03-01,-0.27
2003-04-01,-0.51
2003-05-01,-0.24
2003-06-01,-0.23
2003-07-01,-0.13
2003-08-01,-0.17
2003-09-01,-0.07
2003-10-01,-0.31
2003-11-01,-0.31
2003-12-01,-0.26
2004-01-01,-0.37
2004-02-01,-0.26
2004-03-01,0.08
2004-04-01,0.48
2004-05-01,0.50
2004-06-01,0.43
2004-07-01,-0.34
2004-08-01,0.20
2004-09-01,-0.05
2004-10-01,-0.59
2004-11-01,-0.03
2004-12-01,0.15
2005-01-01,-0.15
2005-02-01,-0.25
2005-03-01,-0.34
2005-04-01,-1.38
2005-05-01,-1.12
2005-06-01,-0.96
2005-07-01,-1.00
2005-08-01,-0.75
2005-09-01,-0.03
2005-10-01,-0.07
2005-11-01,-0.66
2005-12-01,-0.69
2006-01-01,-0.40
2006-02-01,-0.65
2006-03-01,-0.43
2006-04-01,0.04
2006-05-01,0.09
2006-06-01,0.09
2006-07-01,-0.13
2006-08-01,0.08
2006-09-01,-0.53
2006-10-01,-0.40
2006-11-01,-0.19
2006-12-01,-0.43
2007-01-01,-0.82
2007-02-01,-0.71
2007-03-01,-0.50
2007-04-01,-0.75
2007-05-01,-0.30
2007-06-01,-0.36
2007-07-01,-0.40
2007-08-01,-0.05
2007-09-01,-0.09
2007-10-01,-0.66
2007-11-01,-0.47
2007-12-01,-0.17
2008-01-01,-0.36
2008-02-01,0.37
2008-03-01,0.14
2008-04-01,0.10
2008-05-01,-0.12
2008-06-01,0.21
2008-07-01,0.95
2008-08-01,0.24
2008-09-01,-0.59
2008-10-01,-1.07
2008-11-01,-1.58
2008-12-01,-0.73
2009-01-01,-0.53
2009-02-01,-0.64
2009-03-01,-0.04
2009-04-01,0.64
2009-05-01,0.16
2009-06-01,-0.66
2009-07-01,-0.87
2009-08-01,-1.18
2009-09-01,-0.52
2009-10-01,-0.46
2009-11-01,-0.76
2009-12-01,-0.63
2010-01-01,-0.26
2010-02-01,-0.12
2010-03-01,0.41
2010-04-01,0.27
2010-05-01,0.40
2010-06-01,-0.04
2010-07-01,0.01
2010-08-01,0.35
2010-09-01,0.37
2010-10-01,0.69
2010-11-01,0.42
2010-12-01,0.71
2011-01-01,0.81
2011-02-01,0.40
2011-03-01,0.72
2011-04-01,1.54
2011-05-01,0.94
2011-06-01,0.21
2011-07-01,0.25
2011-08-01,-0.09
2011-09-01,-0.58
2011-10-01,-0.40
2011-11-01,0.10
2011-12-01,-0.07
2012-01-01,0.33
2012-02-01,-0.05
2012-03-01,-0.39
2012-04-01,-0.31
2012-05-01,-0.72
2012-06-01,-0.68
2012-07-01,-0.70
2012-08-01,-0.15
2012-09-01,-0.26
2012-10-01,-0.02
2012-11-01,-0.37
2012-12-01,-0.17
2013-01-01,-0.05
2013-02-01,-0.40
2013-03-01,-0.54
2013-04-01,-0.74
2013-05-01,-0.84
2013-06-01,-0.63
2013-07-01,-0.66
2013-08-01,-0.54
2013-09-01,-0.28
2013-10-01,-0.16
2013-11-01,-0.64
2013-12-01,-0.46
2014-01-01,-0.60
2014-02-01,-0.25
2014-03-01,-0.57
2014-04-01,-0.81
2014-05-01,-0.77
2014-06-01,-0.64
2014-07-01,-0.79
2014-08-01,-0.62
2014-09-01,-0.79
2014-10-01,-0.57
2014-11-01,-0.95
2014-12-01,-0.38
2015-01-01,-0.52
2015-02-01,-0.31
2015-03-01,-0.39
2015-04-01,-0.29
2015-05-01,-0.52
2015-06-01,-0.83
2015-07-01,-0.38
2015-08-01,-0.66
2015-09-01,-0.41
2015-10-01,-0.23
2015-11-01,-0.63
2015-12-01,-0.59
2016-01-01,-0.74
2016-02-01,-0.71
2016-03-01,-0.62
2016-04-01,-0.24
2016-05-01,-0.71
2016-06-01,-0.28
2016-07-01,-0.18
2016-08-01,0.09
2016-09-01,-0.29
2016-10-01,-0.04
2016-11-01,-0.29
2016-12-01,-0.22
2017-01-01,0.20
2017-02-01,0.22
2017-03-01,0.11
2017-04-01,0.05
2017-05-01,-0.08
2017-06-01,0.14
2017-07-01,0.15
2017-08-01,0.44
2017-09-01,0.55
2017-10-01,0.80
2017-11-01,0.86
2017-12-01,0.71
2018-01-01,0.60
2018-02-01,0.12
2018-03-01,0.47
2018-04-01,0.56
2018-05-01,0.37
2018-06-01,0.41
2018-07-01,0.43
2018-08-01,0.53
2018-09-01,0.47
2018-10-01,0.53
2018-11-01,0.44
2018-12-01,0.45
2019-01-01,0.52
2019-02-01,0.12
2019-03-01,0.20
2019-04-01,0.02
2019-05-01,-0.65
2019-06-01,-0.49
2019-07-01,-0.46
2019-08-01,-0.33
2019-09-01,0.11
2019-10-01,0.03
2019-11-01,0.10
2019-12-01,0.01
2020-01-01,0.04
2020-02-01,1.10
2020-03-01,2.46
2020-04-01,3.10
2020-05-01,2.55
2020-06-01,2.30
2020-07-01,2.80
2020-08-01,1.33
2020-09-01,0.60
2020-10-01,0.11
2020-11-01,0.70
2020-12-01,1.64
2021-01-01,1.42
2021-02-01,1.90
2021-03-01,2.18
2021-04-01,2.52
2021-05-01,2.97
2021-06-01,2.70
2021-07-01,2.94
2021-08-01,3.23
2021-09-01,3.24
2021-10-01,3.79
2021-11-01,4.22
2021-12-01,4.30
2022-01-01,3.64
2022-02-01,2.76
2022-03-01,2.78
2022-04-01,3.42
2022-05-01,2.62
2022-06-01,2.32
2022-07-01,1.75
2022-08-01,1.51
2022-09-01,1.05
