TPEB_date,TPEB,FEWB_date,FEWB
2019-04-04,45.09060775,2019-04-03,57.88883857
2019-04-09,44.19620351,2019-04-07,56.504223
2019-04-08,43.62430982,2019-04-10,55.33875522
2019-04-17,45.12755498,2019-04-14,54.1832487
2019-04-26,45.51151639,2019-04-24,53.97833128
2019-05-05,44.85031143,2019-05-03,53.99199245
2019-05-14,45.29780202,2019-05-13,54.40903733
2019-05-23,45.79984968,2019-05-20,55.03991732
2019-05-27,46.40733348,2019-05-27,55.28562848
2019-06-02,45.15502391,2019-05-28,54.22309375
2019-06-11,44.62043613,2019-06-01,57.83903225
2019-06-20,44.61319157,2019-05-31,56.45441668
2019-06-29,44.866751,2019-06-02,60.08031645
2019-07-08,45.04545002,2019-06-13,58.93809161
2019-07-15,43.7865361,2019-06-10,57.5302331
2019-07-22,43.02663403,2019-06-19,59.6659279
2019-07-24,42.05327632,2019-06-26,58.3669792
2019-07-28,41.00986138,2019-06-25,59.92093624
2019-07-31,40.75546605,2019-06-27,56.87943057
2019-08-07,41.55900794,2019-06-30,54.48872743
2019-08-12,42.61007212,2019-07-01,55.69736069
2019-08-16,43.4472207,2019-07-04,51.93864408
2019-08-20,44.34948977,2019-07-05,53.22696744
2019-08-24,45.36662529,2019-07-08,50.19874346
2019-08-31,46.36999615,2019-07-07,48.88385673
2019-09-08,47.25419409,2019-07-09,50.95579945
2019-09-17,47.91670864,2019-07-11,46.45330854
2019-09-26,48.09782252,2019-07-12,47.88773042
2019-10-05,48.04711063,2019-07-15,42.94694393
2019-10-14,48.55115054,2019-07-20,44.69016497
2019-10-22,48.29724902,2019-07-27,43.98291529
2019-10-25,49.54414617,2019-07-31,45.86891444
2019-10-29,50.48490338,2019-08-01,44.93919655
2019-11-07,50.08319281,2019-08-06,47.52912495
2019-11-15,49.22797309,2019-08-09,46.7322239
2019-11-25,49.23392398,2019-08-15,48.08695568
2019-12-02,49.93532339,2019-08-18,49.29226852
2019-12-09,48.72163045,2019-08-27,50.57727146
2019-12-15,48.74041454,2019-08-28,52.04489755
2019-12-22,49.39097558,2019-08-31,54.35591059
2019-12-30,50.28728802,2019-09-01,53.18712239
2020-01-07,50.81453063,2019-09-05,55.88064793
2020-01-14,50.76019647,2019-09-18,55.91650847
2020-01-19,52.03161587,2019-09-23,55.16941374
2020-01-29,51.80848358,2019-09-28,56.42453289
2020-02-06,52.91617603,2019-10-07,56.125695
2020-02-12,53.72684173,2019-10-07,54.51339342
2020-02-15,54.83670756,2019-10-16,56.15557879
2020-02-17,55.82828014,2019-10-13,55.57782553
2020-02-19,57.02995633,2019-10-28,55.33875522
2020-02-20,58.10134551,2019-11-04,56.48856958
2020-02-22,59.20734757,2019-11-09,57.6099232
2020-02-23,60.43892192,2019-11-17,57.01224742
2020-02-27,61.37196023,2019-11-17,55.98766035
2020-03-04,61.98925668,2019-11-27,56.55402931
2020-03-10,60.95292309,2019-12-06,56.43050965
2020-03-12,59.52647022,2019-12-15,55.89215872
2020-03-13,58.4125164,2019-12-22,56.00366953
2020-03-16,57.11584455,2019-12-26,57.34428952
2020-03-17,56.02181326,2019-12-28,58.14119057
2020-03-19,54.86504182,2020-01-01,58.92480993
2020-03-22,53.76487565,2020-01-07,57.5871546
2020-03-25,52.70234092,2020-01-12,58.73886635
2020-03-31,52.05697181,2020-01-19,59.62494442
2020-04-09,52.18375152,2020-01-27,59.88678334
2020-04-19,51.87792781,2020-02-02,60.9569076
2020-04-27,52.50785911,2020-02-07,62.27976334
2020-05-03,51.06446778,2020-02-09,63.24135727
2020-05-09,50.19874346,2020-02-10,64.16443432
2020-05-15,50.63371861,2020-02-16,64.99719591
2020-05-23,51.52087474,2020-02-23,65.77815894
2020-06-01,51.03548956,2020-02-25,67.01335556
2020-06-10,50.97391084,2020-02-26,68.30167892
2020-06-19,50.68050637,2020-03-01,70.46659343
2020-06-28,50.60081626,2020-03-02,69.4040587
2020-07-07,50.75350919,2020-03-05,71.57162955
2020-07-11,51.94395675,2020-03-10,72.85563636
2020-07-19,52.56952408,2020-03-13,70.55956522
2020-07-27,53.51119548,2020-03-15,69.17827007
2020-08-05,53.81377639,2020-03-18,66.57505998
2020-08-14,54.70847893,2020-03-19,67.88994671
2020-08-24,55.01430265,2020-03-24,63.94528653
2020-08-30,56.01612111,2020-03-23,62.94916022
2020-09-06,56.95791325,2020-03-22,65.30001831
2020-09-15,57.51936626,2020-04-05,64.37694126
2020-09-24,57.56283359,2020-04-13,62.84954759
2020-09-30,58.41678551,2020-04-12,63.82575137
2020-10-04,59.30555154,2020-04-22,62.64368148
2020-10-11,60.12680234,2020-04-23,61.83349875
2020-10-16,61.17320931,2020-04-27,60.28618255
2020-10-19,62.13233664,2020-05-01,63.22807559
2020-10-26,62.9527825,2020-05-07,62.1761662
2020-11-04,63.5794365,2020-05-06,64.12458926
2020-11-13,64.29302517,2020-05-13,60.69393025
2020-11-20,64.73605757,2020-05-19,61.51473833
2020-11-27,65.95524806,2020-06-02,61.81357623
2020-12-03,65.93355464,2020-06-09,61.70257929
2020-12-08,65.38767742,2020-06-15,60.5783796
2020-12-13,66.68131346,2020-06-26,60.05640942
2020-12-20,67.40818381,2020-07-05,60.3891156
2020-12-24,68.46271934,2020-07-02,61.27566802
