Date,CPI,CPIgrowth
1993-01-01,42.78239,
1993-02-01,43.09489,
1993-03-01,43.4189,
1993-04-01,43.87277,
1993-05-01,44.43722,
1993-06-01,44.75686,
1993-07-01,44.90084,
1993-08-01,44.90804,
1993-09-01,45.27812,
1993-10-01,45.53407,
1993-11-01,45.5601,
1993-12-01,45.55412,
1994-01-01,45.59999,0.0659
1994-02-01,45.59838,0.0581
1994-03-01,45.66194,0.0517
1994-04-01,45.77309,0.0433
1994-05-01,45.93174,0.0336
1994-06-01,46.10949,0.0302
1994-07-01,46.53519,0.0364
1994-08-01,46.6312,0.0384
1994-09-01,46.95035,0.0369
1994-10-01,47.1008,0.0344
1994-11-01,47.20729,0.0362
1994-12-01,47.30995,0.0385
1995-01-01,47.89942,0.0504
1995-02-01,47.89811,0.0504
1995-03-01,47.68291,0.0443
1995-04-01,47.90098,0.0465
1995-05-01,47.91105,0.0431
1995-06-01,47.81238,0.0369
1995-07-01,48.00636,0.0316
1995-08-01,47.89002,0.027
1995-09-01,47.96877,0.0217
1995-10-01,48.13185,0.0219
1995-11-01,48.02191,0.0173
1995-12-01,48.07058,0.0161
1996-01-01,48.21469,0.0066
1996-02-01,48.05801,0.0033
1996-03-01,47.79874,0.0024
1996-04-01,47.79947,-0.0021
1996-05-01,47.75684,-0.0032
1996-06-01,47.75808,-0.0011
1996-07-01,48.01702,0.0002
1996-08-01,47.97983,0.0019
1996-09-01,48.06695,0.002
1996-10-01,48.30925,0.0037
1996-11-01,48.23422,0.0044
1996-12-01,48.09669,0.0005
1997-01-01,48.32133,0.0022
1997-02-01,48.50713,0.0093
1997-03-01,48.26801,0.0098
1997-04-01,48.10848,0.0065
1997-05-01,48.06856,0.0065
1997-06-01,48.17801,0.0088
1997-07-01,48.28507,0.0056
1997-08-01,48.36453,0.008
1997-09-01,48.34137,0.0057
1997-10-01,48.26564,-0.0009
1997-11-01,48.17236,-0.0013
1997-12-01,48.25444,0.0033
1998-01-01,48.55776,0.0049
1998-02-01,48.72707,0.0045
1998-03-01,48.66586,0.0082
1998-04-01,48.67135,0.0117
1998-05-01,48.6362,0.0118
1998-06-01,48.72905,0.0114
1998-07-01,48.88135,0.0123
1998-08-01,48.89122,0.0109
1998-09-01,48.8761,0.0111
1998-10-01,48.69729,0.0089
1998-11-01,48.58166,0.0085
1998-12-01,48.57508,0.0066
1999-01-01,48.80407,0.0051
1999-02-01,48.72567,0
1999-03-01,48.35983,-0.0063
1999-04-01,48.31247,-0.0074
1999-05-01,48.0746,-0.0115
1999-06-01,48.07168,-0.0135
1999-07-01,48.16103,-0.0147
1999-08-01,47.97974,-0.0186
1999-09-01,47.88415,-0.0203
1999-10-01,47.87666,-0.0169
1999-11-01,47.72533,-0.0176
1999-12-01,47.69565,-0.0181
2000-01-01,48.09879,-0.0145
2000-02-01,48.10076,-0.0128
2000-03-01,47.84662,-0.0106
2000-04-01,47.79282,-0.0108
2000-05-01,47.60705,-0.0097
2000-06-01,47.51903,-0.0115
2000-07-01,47.72541,-0.009
2000-08-01,47.62273,-0.0074
2000-09-01,47.5496,-0.007
2000-10-01,47.63481,-0.0051
2000-11-01,47.40065,-0.0068
2000-12-01,47.34766,-0.0073
2022-01-01,47.38574,-0.0148
2022-02-01,47.2778,-0.0171
2022-03-01,47.36788,-0.01
2022-04-01,47.68451,-0.0023
2022-05-01,47.71537,0.0023
2022-06-01,47.37121,-0.0031
2022-07-01,47.21627,-0.0107
2022-08-01,47.0474,-0.0121
2022-09-01,47.01178,-0.0113
2022-10-01,46.80438,-0.0174
2022-11-01,46.65088,-0.0158
2022-12-01,46.61541,-0.0155
