Date,RER,RER_LatAm,RER_Eurozone,RER_USA
1997-01-01,86.3,96.1,88.9,70.3
1997-01-02,86.3,96.2,88.9,70.3
1997-01-03,86.1,96.2,87.9,70.3
1997-01-04,86.1,96.2,87.9,70.3
1997-01-05,86.1,96.2,87.9,70.3
1997-01-06,85.9,96.2,87.5,70.3
1997-01-07,86,96.2,87.7,70.2
1997-01-08,85.9,96.1,87.2,70.2
1997-01-09,85.8,96,87.1,70.2
1997-01-10,85.7,96,86.8,70.2
1997-01-11,85.7,96,86.7,70.2
1997-01-12,85.7,96,86.7,70.2
1997-01-13,85.6,96,86.5,70.2
1997-01-14,85.5,96.1,86.2,70.2
1997-01-15,85.6,96,86.4,70.2
1997-01-16,85.5,96.1,86.3,70.2
1997-01-17,85.2,96,85.3,70.2
1997-01-18,85.2,96,85.3,70.2
1997-01-19,85.2,96,85.3,70.2
1997-01-20,85,95.9,84.7,70.2
1997-01-21,85.1,96.4,84.6,70.2
1997-01-22,84.8,96.4,83.7,70.2
1997-01-23,84.7,96.4,83.7,70.2
1997-01-24,84.9,96.5,84.3,70.2
1997-01-25,84.9,96.5,84.3,70.2
1997-01-26,84.9,96.5,84.3,70.1
1997-01-27,84.8,96.6,83.8,70.1
1997-01-28,84.5,96.6,83,70.1
1997-01-29,84.5,96.6,83.3,70.1
1997-01-30,84.6,96.6,83.5,70.1
1997-01-31,84.6,96.6,83.5,70.1
1997-02-01,84.6,96.6,83.5,70.1
1997-02-02,84.6,96.6,83.5,70.1
1997-02-03,84.5,96.7,83.1,70.1
1997-02-04,84.5,96.7,83.2,70.1
1997-02-05,84.4,96.7,82.9,70.1
1997-02-06,84.4,96.8,82.9,70.1
1997-02-07,84.1,96.7,81.9,70.1
1997-02-08,84.1,96.8,81.9,70.1
1997-02-09,84.1,96.8,81.9,70.1
1997-02-10,84.4,96.7,82.6,70.1
1997-02-11,84.2,96.8,81.8,70.1
1997-02-12,84,96.9,81.3,70.1
1997-02-13,83.8,96.8,81,70.1
1997-02-14,83.8,96.8,81,70.1
1997-02-15,83.8,96.8,81,70.1
1997-02-16,83.8,96.8,81,70.1
1997-02-17,83.6,96.8,80.4,70.1
1997-02-18,83.7,96.9,80.6,70.1
1997-02-19,83.6,97,80.4,70
1997-02-20,83.8,97.1,80.7,70
1997-02-21,83.9,96.9,81.1,70
1997-02-22,83.9,96.9,81.1,70
1997-02-23,83.9,96.9,81.1,70
1997-02-24,84.1,97,81.7,70
1997-02-25,84,97,81.3,70
1997-02-26,83.8,97.1,80.7,70
1997-02-27,83.8,97.1,80.7,70
1997-02-28,83.7,97,80.6,70
1997-03-01,83.8,97.1,80.6,70
1997-03-02,83.8,97.1,80.6,70
1997-03-03,83.7,97,80.4,70
1997-03-04,83.5,97,79.8,70
1997-03-05,83.4,97,79.7,70
1997-03-06,83.4,97,79.4,70.1
1997-03-07,83.4,97,79.5,70.1
1997-03-08,83.4,97.1,79.5,70.1
1997-03-09,83.4,97.1,79.5,70.1
1997-03-10,83.7,97.1,80.2,70.1
1997-03-11,83.6,97.1,80,70.1
1997-03-12,83.7,97.2,80.2,70.1
1997-03-13,83.7,97.2,80.3,70.1
1997-03-14,83.7,97.2,80.4,70.2
1997-03-15,83.7,97.2,80.4,70.2
1997-03-16,83.7,97.2,80.4,70.2
1997-03-17,83.7,97.1,80.7,70.2
1997-03-18,83.9,97.1,81.2,70.2
1997-03-19,83.9,97.1,81.2,70.2
1997-03-20,83.8,97.1,80.9,70.2
1997-03-21,83.9,97,81.1,70.2
1997-03-22,83.9,97,81.2,70.3
1997-03-23,83.9,97,81.2,70.3
1997-03-24,83.9,97,81,70.3
1997-03-25,83.9,97.1,80.9,70.3
1997-03-26,83.9,97.2,80.9,70.3
1997-03-27,84.2,97.3,81.6,70.3
1997-03-28,84.3,97.3,81.7,70.3
1997-03-29,84.3,97.4,81.7,70.3
1997-03-30,84.3,97.4,81.7,70.3
1997-03-31,84.4,97.4,82.1,70.4
1997-04-01,84.5,97.3,82.1,70.4
1997-04-02,84.5,97.3,82.1,70.4
1997-04-03,84.6,97.4,82.3,70.4
1997-04-04,84.5,97.3,82,70.4
1997-04-05,84.5,97.3,82,70.4
1997-04-06,84.5,97.3,82,70.4
1997-04-07,84,97.3,80.4,70.4
1997-04-08,84,97.3,80.4,70.4
1997-04-09,83.8,97.3,80,70.4
1997-04-10,83.9,97.2,80.1,70.5
1997-04-11,83.8,97.2,79.9,70.5
1997-04-12,83.8,97.2,79.9,70.5
1997-04-13,83.9,97.3,79.9,70.5
1997-04-14,83.9,97.4,80,70.5
1997-04-15,83.8,97.4,79.5,70.5
1997-04-16,83.8,97.4,79.7,70.5
1997-04-17,83.9,97.4,79.8,70.5
1997-04-18,84,97.5,80.2,70.5
1997-04-19,84,97.5,80.2,70.5
1997-04-20,84.1,97.6,80.2,70.6
1997-04-21,84.2,97.6,80.7,70.6
1997-04-22,84.1,97.5,80.3,70.6
1997-04-23,84.1,97.5,80.3,70.6
1997-04-24,84,97.6,80.1,70.6
1997-04-25,83.9,97.6,79.7,70.6
1997-04-26,84,97.6,79.7,70.6
1997-04-27,84,97.7,79.8,70.6
1997-04-28,84,97.7,79.7,70.6
1997-04-29,84,97.6,79.8,70.6
1997-04-30,83.9,97.6,79.5,70.7
1997-05-01,84.1,97.6,80,70.7
1997-05-02,84,97.7,79.6,70.7
1997-05-03,84,97.7,79.6,70.7
1997-05-04,84,97.7,79.6,70.7
1997-05-05,83.9,97.7,79.5,70.7
1997-05-06,84.1,97.7,79.9,70.7
1997-05-07,84.2,97.7,80.1,70.7
1997-05-08,84.3,97.7,80.7,70.7
1997-05-09,84.6,97.7,81.3,70.7
1997-05-10,84.6,97.7,81.3,70.7
1997-05-11,84.6,97.7,81.3,70.7
1997-05-12,84.5,97.7,81,70.7
1997-05-13,84.6,97.6,81.2,70.7
1997-05-14,84.6,97.5,81.2,70.7
1997-05-15,84.7,97.6,81.2,70.7
1997-05-16,84.8,97.6,81.5,70.7
1997-05-17,84.8,97.7,81.5,70.7
1997-05-18,84.8,97.7,81.5,70.7
1997-05-19,84.6,97.7,81,70.7
1997-05-20,84.8,97.6,81.5,70.7
1997-05-21,84.8,97.6,81.5,70.7
1997-05-22,84.8,97.6,81.6,70.7
1997-05-23,84.8,97.5,81.7,70.7
1997-05-24,84.8,97.6,81.7,70.7
1997-05-25,84.8,97.6,81.7,70.7
1997-05-26,84.8,97.5,81.7,70.7
1997-05-27,84.6,97.5,81.2,70.7
1997-05-28,84.6,97.5,81.3,70.7
1997-05-29,84.6,97.5,81.3,70.7
1997-05-30,84.5,97.6,80.9,70.7
1997-05-31,84.6,97.6,80.9,70.7
1997-06-01,84.6,97.6,80.9,70.7
1997-06-02,84.3,97.6,80.1,70.7
1997-06-03,84.3,97.6,80.1,70.7
