Date,Original,Desest
1993-01-01,87.4,98
1993-02-01,85.1,95.3
1993-03-01,101.9,97.4
1993-04-01,101.9,98.7
1993-05-01,103.7,99.9
1993-06-01,101.2,99.9
1993-07-01,102.5,100.5
1993-08-01,102,101.6
1993-09-01,103.3,102.3
1993-10-01,100.7,101.8
1993-11-01,105.2,102.3
1993-12-01,105,102.2
1994-01-01,95,106.1
1994-02-01,91.8,102
1994-03-01,108.8,104.1
1994-04-01,108.6,106.1
1994-05-01,111,105.9
1994-06-01,107,105.5
1994-07-01,106.2,105
1994-08-01,107.5,105.9
1994-09-01,107.8,106.8
1994-10-01,105.7,106.6
1994-11-01,110.6,107.5
1994-12-01,110.1,108.4
1995-01-01,94.7,105.3
1995-02-01,96.7,106.7
1995-03-01,110.5,105.1
1995-04-01,102.3,100.6
1995-05-01,108.2,102
1995-06-01,104.2,102.6
1995-07-01,103.7,102.2
1995-08-01,102.5,100.9
1995-09-01,101.1,101.3
1995-10-01,102.1,102.1
1995-11-01,105.2,102.5
1995-12-01,102.7,102.5
1996-01-01,93.6,103.7
1996-02-01,97.3,106.3
1996-03-01,109.1,106.2
1996-04-01,109.5,106.2
1996-05-01,113.4,107.5
1996-06-01,107.8,108.3
1996-07-01,113.6,110
1996-08-01,111.3,110.7
1996-09-01,107.7,108.1
1996-10-01,112.4,111.5
1996-11-01,113.2,111.6
1996-12-01,113.2,111.9
1997-01-01,104.6,115.3
1997-02-01,105,115.2
1997-03-01,115.7,113.4
1997-04-01,121.5,117
1997-05-01,120.2,115.3
1997-06-01,115.7,114.9
1997-07-01,121.2,117.6
1997-08-01,117.9,118.2
1997-09-01,121.2,120.2
1997-10-01,121.7,120.7
1997-11-01,120.8,120.3
1997-12-01,122.2,119.6
1998-01-01,108.3,120.7
1998-02-01,109.7,120.4
1998-03-01,126.7,122.3
1998-04-01,126.7,122.8
1998-05-01,128.1,123.2
1998-06-01,127.3,124.7
1998-07-01,126.6,123.2
1998-08-01,122.4,122.8
1998-09-01,123.1,122.2
1998-10-01,120.8,121.4
1998-11-01,121.7,120.3
1998-12-01,120.6,117.8
1999-01-01,104.6,118.4
1999-02-01,107.7,119
1999-03-01,123.9,118.5
1999-04-01,121,116.8
1999-05-01,122.2,117.2
1999-06-01,120.1,116.9
1999-07-01,117.6,115.3
1999-08-01,117.7,117
1999-09-01,117.9,117.2
1999-10-01,115.7,117.7
1999-11-01,120.5,118.1
1999-12-01,123.5,120.2
2000-01-01,103.8,118
2000-02-01,108.6,118.6
2000-03-01,123.2,118
2000-04-01,119.2,117.2
2000-05-01,123.2,115.7
2000-06-01,119.5,115.7
2000-07-01,118.2,116.7
2000-08-01,117.5,115.7
2000-09-01,115.3,115.6
2000-10-01,114.6,115.6
2000-11-01,117.2,114.8
2000-12-01,120.9,119.5
2022-01-01,104.3,116.6
2022-02-01,105.4,116.4
2022-03-01,119.1,115.6
2022-04-01,119,116.1
2022-05-01,123.9,115.8
2022-06-01,118.4,115.3
2022-07-01,114.9,112.2
2022-08-01,112.3,110.7
2022-09-01,106.6,108.3
2022-10-01,105.9,106
2022-11-01,107,104.8
2022-12-01,102.8,101.7
