date,NY,TX,WA,OR
2017-01-01,-3,20,40,23
2017-04-01,7,-7,17,34
2017-07-01,-17,25,52,8
2017-10-01,31,42,36,8
2018-01-01,-37,18,72,15
2018-04-01,33,33,30,19
2018-07-01,-27,52,95,20
2018-10-01,-40,17,1,27
2019-01-01,8,47,60,12
2019-04-01,68,60,98,14
2019-07-01,123,52,122,29
2019-10-01,32,60,52,31
2020-01-01,106,53,115,36
2020-04-01,-8,69,96,39
2020-07-01,-102,109,127,70
2020-10-01,-641,180,77,39
2021-01-01,-19,205,114,95
2021-04-01,183,203,168,89
2021-07-01,329,197,173,87
2021-10-01,522,150,250,112
2022-01-01,315,359,284,96
2022-04-01,370,102,167,88
2022-07-01,325,69,52,52
2022-10-01,76,53,84,37
2023-01-01,202,26,37,46
