Date,Core_Inflation,Import_Contrib,FX_Contrib
2013-01-01,1.581772539,0.029579528,-0.007581526
2013-02-01,1.562764005,0.009850315,-0.031586388
2013-03-01,1.484978025,-0.039382288,-0.07275148
2013-04-01,1.410614526,-0.07876487,-0.084468398
2013-05-01,1.417091814,-0.11837657,-0.076271768
2013-06-01,1.477769938,-0.11872103,-0.068896651
2013-07-01,1.501855533,-0.11918344,-0.062738155
2013-08-01,1.55502848,-0.129304511,-0.071505021
2013-09-01,1.543301511,-0.139183446,-0.098146583
2013-10-01,1.514126786,-0.168762974,-0.124350386
2013-11-01,1.581015073,-0.148907754,-0.145805657
2013-12-01,1.644397158,-0.159067551,-0.180213734
2014-01-01,1.5298139,-0.148762967,-0.223960251
2014-02-01,1.471410506,-0.148762967,-0.253991895
2014-03-01,1.569461213,-0.1190675,-0.272657895
2014-04-01,1.682050761,-0.089343637,-0.283790282
2014-05-01,1.751109883,-0.039766132,-0.284530269
2014-06-01,1.702724294,-0.009956077,-0.273442196
2014-07-01,1.758651209,0.029926672,-0.257245816
2014-08-01,1.680260713,0.039960874,-0.249901339
2014-09-01,1.69190547,0.029985323,-0.262229308
2014-10-01,1.569728439,0.010004905,-0.293184047
2014-11-01,1.501487709,-0.020019634,-0.322157075
2014-12-01,1.459022288,-0.020059004,-0.338854849
2015-01-01,1.347950119,-0.110488525,-0.345137718
2015-02-01,1.386598492,-0.130706569,-0.34123427
2015-03-01,1.350344504,-0.181248599,-0.338079908
2015-04-01,1.329579778,-0.221747864,-0.345072551
2015-05-01,1.276498682,-0.231713668,-0.35191251
2015-06-01,1.281727966,-0.252113675,-0.369359082
2015-07-01,1.18671122,-0.272554564,-0.416187326
2015-08-01,1.221617655,-0.303593839,-0.473702994
2015-09-01,1.226798613,-0.314182812,-0.516258601
2015-10-01,1.151325388,-0.325127127,-0.53009083
2015-11-01,1.150100476,-0.325776194,-0.526335892
2015-12-01,1.122367517,-0.336798982,-0.521070685
2016-01-01,1.328119838,-0.297158133,-0.51630089
2016-02-01,1.38470899,-0.276940088,-0.508346225
2016-03-01,1.375019317,-0.246786232,-0.480001168
2016-04-01,1.456877253,-0.216262518,-0.437354622
2016-05-01,1.48623911,-0.185085724,-0.420693517
2016-06-01,1.487299221,-0.185459655,-0.411938051
2016-07-01,1.568839365,-0.144244828,-0.368301311
2016-08-01,1.683319181,-0.103239748,-0.300231633
2016-09-01,1.669914098,-0.093056905,-0.232201444
2016-10-01,1.803743769,-0.062132172,-0.181993221
2016-11-01,1.746609889,-0.051855729,-0.153816022
2016-12-01,1.81189908,-0.020773938,-0.129162807
2017-01-01,1.883223488,0.010392258,-0.091633189
2017-02-01,1.869119466,0.041505652,-0.042895678
2017-03-01,1.678390373,0.072598171,-0.021967745
2017-04-01,1.688170998,0.093245952,-0.036382715
2017-05-01,1.639191478,0.062069157,-0.038176111
2017-06-01,1.681714704,0.082843095,-0.027302431
2017-07-01,1.575188646,0.062069157,-0.021015932
2017-08-01,1.493642524,0.082675225,-0.014937396
2017-09-01,1.571390849,0.113621428,-0.001854765
2017-10-01,1.68062005,0.134144574,0.00958889
2017-11-01,1.682572372,0.15478294,0.012924407
2017-12-01,1.706128677,0.144536831,0.029184694
2018-01-01,1.716459411,0.175067397,0.053994118
2018-02-01,1.768966824,0.184713297,0.056758153
2018-03-01,2.061414602,0.184342367,0.051726688
2018-04-01,1.992339598,0.173838794,0.057914343
2018-05-01,2.085818382,0.194096993,0.061393126
2018-06-01,2.046109038,0.183972923,0.043913406
2018-07-01,2.102908624,0.173838794,0.018052679
2018-08-01,2.005514633,0.122769787,-0.003986563
2018-09-01,2.01888138,0.102205264,-0.034748651
2018-10-01,1.911666112,0.071507554,-0.06290827
2018-11-01,2.038906306,0.051076722,-0.067531777
2018-12-01,2.035789014,0.06132283,-0.074647772
2019-01-01,1.817248966,-0.010215324,-0.10874345
2019-02-01,1.65453477,-0.040759295,-0.139292641
2019-03-01,1.55078615,-0.071293351,-0.162135423
2019-04-01,1.676054569,-0.112145058,-0.194814166
2019-05-01,1.601207472,-0.152926403,-0.22300188
2019-06-01,1.70285814,-0.153079411,-0.221009527
2019-07-01,1.719563684,-0.142945282,-0.197803515
2019-08-01,1.835261,-0.122769787,-0.183785472
2019-09-01,1.698108789,-0.122769787,-0.176709595
2019-10-01,1.701797151,-0.13320129,-0.159184782
2019-11-01,1.555883871,-0.133335232,-0.149443375
2019-12-01,1.624488649,-0.133335232,-0.15226725
2020-01-01,1.767113622,-0.082092998,-0.139361628
2020-02-01,1.88939746,-0.082010492,-0.133383583
2020-03-01,1.68984665,-0.071795168,-0.153579659
2020-04-01,0.91065844,-0.082341517,-0.173248964
2020-05-01,0.997302099,-0.061818371,-0.170519327
2020-06-01,1.125808977,-0.020585274,-0.148779742
2020-07-01,1.293430565,0,-0.135037933
2020-08-01,1.486810317,0.082010492,-0.120025861
2020-09-01,1.557660479,0.132934212,-0.091422351
2020-10-01,1.409080188,0.163694586,-0.081985727
2020-11-01,1.374468342,0.163858946,-0.084891882
2020-12-01,1.469326398,0.214529691,-0.063642855
2021-01-01,1.497924823,0.27445602,-0.039789069
2021-02-01,1.476480237,0.304197495,-0.027686573
2021-03-01,1.954264334,0.383807655,0.010870976
2021-04-01,3.036153429,0.494214311,0.076670286
2021-05-01,3.398836951,0.601944549,0.125525311
2021-06-01,3.523470816,0.619583192,0.14321225
2021-07-01,3.540144182,0.608689129,0.140041836
2021-08-01,3.535905625,0.527274869,0.120648108
2021-09-01,3.635860403,0.476351149,0.104220612
2021-10-01,4.100943476,0.514561087,0.101148138
2021-11-01,4.580087826,0.582451397,0.096267138
2021-12-01,4.773572714,0.579645591,0.072675561
2022-01-01,5.005669615,0.6225001,0.040149071
2022-02-01,5.175360087,0.667030602,0.021132009
2022-03-01,5.089975609,0.717595408,0.002206136
2022-04-01,4.803513087,0.676122401,-0.037877245
2022-05-01,4.578984145,0.540712363,-0.095892829
2022-06-01,4.679663602,0.436531733,-0.16201628
