date,demand,materials,genlabor
1987-04-01,26,42.6,22.2
1987-07-01,27.4,46.7,23.7
1987-10-01,21.3,50.4,24.1
1988-01-01,24.1,41.8,15.8
1988-04-01,28,50,15.7
1988-07-01,28.3,44.1,24.7
1988-10-01,27.3,64,23
1989-01-01,30.7,38.5,19.3
1989-04-01,38,37.6,21.5
1989-07-01,40.1,28.7,22
1989-10-01,40.4,27.5,21.9
1990-01-01,51.2,21.4,13.4
1990-04-01,51.3,13.8,12.1
1990-07-01,56.1,13,13.9
1990-10-01,51,15.3,10.3
1991-01-01,54.5,11.3,4.3
1991-04-01,60.6,9.4,4.3
1991-07-01,70.1,7.1,4
1991-10-01,66.8,6.2,3.3
1992-01-01,65.9,7.2,3
1992-04-01,65.1,5.8,3.3
1992-07-01,62.2,5.9,7.4
1992-10-01,56.1,10.6,4.4
1993-01-01,54.5,8.7,4.8
1993-04-01,57.7,6.1,2.2
1993-07-01,68.8,8,3
1993-10-01,67.9,7.5,3.7
1994-01-01,62.5,9.4,4.3
1994-04-01,59,9.5,4.3
1994-07-01,59.5,7.1,6.7
1994-10-01,58.2,11.1,6.5
1995-01-01,55,10.1,7.8
1995-04-01,55,13.5,4.3
1995-07-01,60.2,10.2,7.4
1995-10-01,54.2,12.9,8.5
1996-01-01,56.2,9.4,4.1
1996-04-01,65.3,8,5.1
1996-07-01,65.7,5.5,4.6
1996-10-01,58,7.4,6
1997-01-01,61.6,7.1,3.6
1997-04-01,61,7.9,3.7
1997-07-01,63,5.3,4.4
1997-10-01,56.1,7.1,6.6
1998-01-01,53.3,8.1,5.5
1998-04-01,49.5,8,5.2
1998-07-01,58.9,4,5.1
1998-10-01,57.4,3.6,8.9
1999-01-01,58.4,3.3,7
1999-04-01,70.6,4.5,4.9
1999-07-01,71.4,3.8,5
1999-10-01,65.7,5.2,6.3
2000-01-01,60.6,3.5,4.4
2000-04-01,63.1,3.7,6.1
2000-07-01,55.1,6.8,7.4
2000-10-01,49.6,8.6,9.4
2001-01-01,53.6,7.1,7.9
2001-04-01,55.8,3.5,6.2
2001-07-01,61.7,3.9,6.6
2001-10-01,64.3,6.3,5.5
2002-01-01,67,2.6,3.5
2002-04-01,64.8,4,3
2002-07-01,67.9,3.8,6.3
2002-10-01,66.1,4,4
2003-01-01,68.3,3.6,3.6
2003-04-01,70.3,4.3,3.2
2003-07-01,66.9,4.2,4.9
2003-10-01,59.9,7.2,7.8
2004-01-01,64,5,5.4
2004-04-01,58,7.9,6.1
2004-07-01,54,11.2,7.1
2004-10-01,59.8,9.2,7
2005-01-01,59.6,7.2,7.7
2005-04-01,65.4,4.6,3.2
2005-07-01,69.7,6.6,3.8
2005-10-01,61.7,6.6,7.1
2006-01-01,60.9,4.3,3.3
2006-04-01,56.5,4.7,6.8
2006-07-01,53.2,4.9,8.3
2006-10-01,52,9.4,10.4
2007-01-01,47.8,8.4,10.1
2007-04-01,50.3,6,11.9
2007-07-01,47.6,7.8,9.8
2007-10-01,56,5.2,7.5
2008-01-01,56.8,8.5,9
2008-04-01,50.6,7.4,8.4
2008-07-01,49.7,5.1,10.8
2008-10-01,69.4,4.2,4.5
2009-01-01,75,4.2,2.3
2009-04-01,78.6,4.3,0.9
2009-07-01,76.3,4.7,1.4
2009-10-01,76.8,2.3,2.3
2010-01-01,79.1,2,1
2010-04-01,78.4,3.3,2.7
2010-07-01,69,8.1,2
2010-10-01,66,9,3
2011-01-01,72,6,2
2011-04-01,75,4,0
2011-07-01,70,3,1
2011-10-01,71,6,0
2012-01-01,79,4,1
2012-04-01,76,4,0
,,,
