Date of data,Commodity code,Commodity,Trading partner code,Trading partner,US dollar
201801,8703,-,112,Indonesia,"2,201,436"
201801,8703,-,113,Iran,"40,884"
201801,8703,-,116,Japan,"708,559,858"
201801,8703,-,122,Malaysia,"10,886"
201801,8703,-,133,Republic of Korea,"4,052,481"
201801,8703,-,136,Thailand,"55,956,660"
201801,8703,-,143,"Taiwan,China","18,708"
201801,8703,-,145,Kazakhstan,"1,350,480"
201801,8703,-,301,Belgium,"8,126,602"
201801,8703,-,303,United Kingdom,"880,186,333"
201801,8703,-,304,Germany,"1,000,961,035"
201801,8703,-,305,France,"10,633,780"
201801,8703,-,307,Italy,"67,664,688"
201801,8703,-,309,Netherlands,"18,034,352"
201801,8703,-,311,Portugal,"14,710,100"
201801,8703,-,312,Spain,"14,687,619"
201801,8703,-,315,Austria,"43,393,020"
201801,8703,-,318,Finland,"151,286"
201801,8703,-,321,Hungary,"97,673,211"
201801,8703,-,330,Sweden,"45,510,444"
201801,8703,-,350,Slovenia,"3,439,534"
201801,8703,-,353,Slovakia,"102,802,186"
201801,8703,-,429,Mexico,"23,631,096"
201801,8703,-,501,Canada,"33,094,759"
201801,8703,-,502,United States,"1,080,025,865"
201802,8703,-,111,India,"32,582"
201802,8703,-,112,Indonesia,"1,660,093"
201802,8703,-,113,Iran,"15,000"
201802,8703,-,116,Japan,"539,226,571"
201802,8703,-,133,Republic of Korea,"988,842"
201802,8703,-,136,Thailand,"45,767,957"
201802,8703,-,143,"Taiwan,China","44,453"
201802,8703,-,145,Kazakhstan,"68,652"
201802,8703,-,301,Belgium,"9,304,246"
201802,8703,-,303,United Kingdom,"550,898,591"
201802,8703,-,304,Germany,"1,365,148,500"
201802,8703,-,305,France,"14,768,864"
201802,8703,-,307,Italy,"73,961,977"
201802,8703,-,309,Netherlands,"21,550,198"
201802,8703,-,311,Portugal,"14,165,178"
201802,8703,-,312,Spain,"6,101,554"
201802,8703,-,315,Austria,"28,770,291"
201802,8703,-,318,Finland,"97,176"
201802,8703,-,321,Hungary,"78,608,845"
201802,8703,-,330,Sweden,"29,685,543"
201802,8703,-,350,Slovenia,"4,313,220"
201802,8703,-,353,Slovakia,"50,759,736"
201802,8703,-,429,Mexico,"36,992,253"
201802,8703,-,501,Canada,"56,368,237"
201802,8703,-,502,United States,"810,890,470"
201803,8703,-,111,India,"46,337"
201803,8703,-,112,Indonesia,"9,655,465"
201803,8703,-,116,Japan,"977,120,319"
201803,8703,-,133,Republic of Korea,"5,187,179"
201803,8703,-,136,Thailand,"45,496,818"
201803,8703,-,142,China,"17,981"
201803,8703,-,143,"Taiwan,China","34,296"
201803,8703,-,145,Kazakhstan,"61,048"
201803,8703,-,301,Belgium,"28,098,029"
201803,8703,-,303,United Kingdom,"547,293,578"
201803,8703,-,304,Germany,"1,162,467,619"
201803,8703,-,305,France,"23,204,226"
201803,8703,-,307,Italy,"95,994,109"
201803,8703,-,309,Netherlands,"21,350,535"
201803,8703,-,311,Portugal,"31,920,876"
201803,8703,-,312,Spain,"9,511,200"
201803,8703,-,315,Austria,"41,809,044"
201803,8703,-,318,Finland,"39,233"
201803,8703,-,321,Hungary,"111,632,537"
201803,8703,-,330,Sweden,"167,256,333"
201803,8703,-,344,Russia,"801,240"
201803,8703,-,350,Slovenia,"2,655,412"
201803,8703,-,352,"Czechia(Czech Republic)","28,212"
201803,8703,-,353,Slovakia,"178,072,463"
201803,8703,-,410,Brazil,"30,644"
201803,8703,-,429,Mexico,"22,968,022"
201803,8703,-,501,Canada,"41,592,454"
201803,8703,-,502,United States,"912,229,364"
201804,8703,-,112,Indonesia,"5,187,497"
201804,8703,-,116,Japan,"651,609,230"
201804,8703,-,133,Republic of Korea,"2,764,428"
201804,8703,-,136,Thailand,"26,018,752"
201804,8703,-,142,China,"17,023"
201804,8703,-,143,"Taiwan,China","12,168"
201804,8703,-,301,Belgium,"20,191,989"
201804,8703,-,303,United Kingdom,"553,944,590"
201804,8703,-,304,Germany,"1,026,772,176"
201804,8703,-,305,France,"12,353,663"
201804,8703,-,307,Italy,"89,222,970"
201804,8703,-,309,Netherlands,"4,523,739"
201804,8703,-,311,Portugal,"22,026,042"
201804,8703,-,312,Spain,"8,500,817"
201804,8703,-,315,Austria,"24,970,920"
201804,8703,-,318,Finland,"373,384"
201804,8703,-,321,Hungary,"60,524,366"
201804,8703,-,330,Sweden,"137,375,508"
201804,8703,-,350,Slovenia,"1,172,184"
201804,8703,-,353,Slovakia,"286,817,976"
201804,8703,-,410,Brazil,"27,978"
201804,8703,-,429,Mexico,"28,633,763"
201804,8703,-,501,Canada,"26,513,702"
201804,8703,-,502,United States,"976,714,828"
201805,8703,-,111,India,"24,249"
201805,8703,-,112,Indonesia,"1,727,968"
201805,8703,-,116,Japan,"864,166,734"
201805,8703,-,133,Republic of Korea,"1,357,405"
201805,8703,-,136,Thailand,"24,978,393"
201805,8703,-,142,China,"1,260"
201805,8703,-,143,"Taiwan,China","134,490"
201805,8703,-,301,Belgium,"10,196,417"
201805,8703,-,303,United Kingdom,"479,633,910"
201805,8703,-,304,Germany,"1,040,830,217"
201805,8703,-,305,France,"14,514,268"
201805,8703,-,307,Italy,"46,541,004"
201805,8703,-,309,Netherlands,"12,231,011"
201805,8703,-,311,Portugal,"12,091,163"
201805,8703,-,312,Spain,"7,544,832"
201805,8703,-,315,Austria,"26,543,853"
201805,8703,-,318,Finland,"482,371"
201805,8703,-,321,Hungary,"112,006,082"
201805,8703,-,327,Poland,"99,749"
