Date of data,Commodity code,Commodity,Trading partner code,Trading partner,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
201801,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",110,"Hong Kong,China",2,Number of item,0,Kilogram,"139,979"
201801,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",232,Morocco,1,Number of item,0,Kilogram,"30,877"
201801,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",301,Belgium,130,Number of item,0,Kilogram,"5,265,458"
201801,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",304,Germany,4,Number of item,0,Kilogram,"112,172"
201801,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",434,Peru,1,Number of item,0,Kilogram,"28,313"
201801,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",435,Puerto Rico,2,Number of item,0,Kilogram,"71,791"
201801,87036000,"Motor vehicles designed mainly for transport of persons, with both spark-ignition internal combustion piston engine and electric motors for propulsion, capable of being charged by plugging to external source of power",502,United States,31,Number of item,0,Kilogram,"1,855,158"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",103,Bangladesh,6575,Number of item,0,Kilogram,"5,532,728"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",106,Myanmar,1,Number of item,0,Kilogram,"12,243"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",111,India,390,Number of item,0,Kilogram,"198,546"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",113,Iran,2,Number of item,0,Kilogram,"66,649"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",114,Iraq,46,Number of item,0,Kilogram,"42,320"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",115,Israel,44,Number of item,0,Kilogram,"103,716"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",116,Japan,1,Number of item,0,Kilogram,"2,000"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",117,Jordan,3,Number of item,0,Kilogram,"53,000"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",118,Kuwait,1,Number of item,0,Kilogram,"3,500"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",121,"Macao,China",1,Number of item,0,Kilogram,"35,820"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",122,Malaysia,4,Number of item,0,Kilogram,"3,168"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",125,Nepal,36,Number of item,0,Kilogram,"53,342"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",127,Pakistan,11,Number of item,0,Kilogram,"28,105"
201801,87038000,"Motor vehicles designed mainly for transport of persons, with only electric motors for propulsion",129,Philippines,16,Number of item,0,Kilogram,"23,040"
