Date of data,Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,US dollar
202401,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",169,Number of item,815476,Kilogram,184403216
202401,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,178,Number of item,1008901,Kilogram,524241859
202401,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,80,Number of item,553907,Kilogram,254147543
202401,84862031,Step and repeat alignersw,24,Number of item,167119,Kilogram,53785063
202401,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,53,Number of item,586418,Kilogram,723758566
202401,84862041,Dry plasma etching for the manufacture of semiconductor or IC,132,Number of item,520375,Kilogram,295250218
202401,84862050,Ion implanters,80,Number of item,1412610,Kilogram,237043777
202402,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",111,Number of item,555270,Kilogram,159960792
202402,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,103,Number of item,639216,Kilogram,391065238
202402,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,40,Number of item,331281,Kilogram,151549203
202402,84862031,Step and repeat alignersw,7,Number of item,36423,Kilogram,17673881
202402,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,37,Number of item,358995,Kilogram,426864049
202402,84862041,Dry plasma etching for the manufacture of semiconductor or IC,54,Number of item,367568,Kilogram,261075737
202402,84862050,Ion implanters,23,Number of item,341037,Kilogram,55488035
202403,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",155,Number of item,777535,Kilogram,184374525
202403,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,149,Number of item,942425,Kilogram,533233254
202403,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,42,Number of item,298334,Kilogram,115466437
202403,84862031,Step and repeat alignersw,21,Number of item,169289,Kilogram,69301209
202403,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,54,Number of item,587170,Kilogram,1146299213
202403,84862041,Dry plasma etching for the manufacture of semiconductor or IC,148,Number of item,925148,Kilogram,568477034
202403,84862050,Ion implanters,56,Number of item,980905,Kilogram,162928048
202404,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",166,Number of item,851013,Kilogram,226258543
202404,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,151,Number of item,813659,Kilogram,454957312
202404,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,56,Number of item,453759,Kilogram,223654797
202404,84862031,Step and repeat alignersw,24,Number of item,277959,Kilogram,76549349
202404,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,68,Number of item,549097,Kilogram,529761858
202404,84862041,Dry plasma etching for the manufacture of semiconductor or IC,130,Number of item,652732,Kilogram,382286415
202404,84862050,Ion implanters,63,Number of item,1150324,Kilogram,207918159
202405,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",145,Number of item,664062,Kilogram,148576304
202405,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,102,Number of item,577198,Kilogram,277004347
202405,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,34,Number of item,129231,Kilogram,46258227
202405,84862031,Step and repeat alignersw,11,Number of item,71744,Kilogram,17273312
202405,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,50,Number of item,557515,Kilogram,742233659
202405,84862041,Dry plasma etching for the manufacture of semiconductor or IC,162,Number of item,614586,Kilogram,338333926
202405,84862050,Ion implanters,45,Number of item,783869,Kilogram,128919675
202406,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",164,Number of item,606320,Kilogram,171780938
202406,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,169,Number of item,1321677,Kilogram,519921126
202406,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,60,Number of item,303196,Kilogram,155866139
202406,84862031,Step and repeat alignersw,16,Number of item,213493,Kilogram,168029815
202406,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,56,Number of item,466561,Kilogram,578616255
202406,84862041,Dry plasma etching for the manufacture of semiconductor or IC,100,Number of item,578813,Kilogram,311729827
202406,84862050,Ion implanters,56,Number of item,1030405,Kilogram,183634368
202301,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",112,Number of item,577464,Kilogram,149283986
202301,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,111,Number of item,752951,Kilogram,304171074
202301,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,33,Number of item,149728,Kilogram,65878127
202301,84862031,Step and repeat alignersw,14,Number of item,118297,Kilogram,33413717
202301,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,47,Number of item,342599,Kilogram,146841302
202301,84862041,Dry plasma etching for the manufacture of semiconductor or IC,87,Number of item,461994,Kilogram,197865888
202301,84862050,Ion implanters,16,Number of item,312017,Kilogram,56604074
202302,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",107,Number of item,469057,Kilogram,133002345
202302,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,89,Number of item,705127,Kilogram,287696884
202302,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,49,Number of item,232533,Kilogram,48376848
202302,84862031,Step and repeat alignersw,22,Number of item,236059,Kilogram,122308842
202302,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,61,Number of item,504979,Kilogram,183626105
202302,84862041,Dry plasma etching for the manufacture of semiconductor or IC,80,Number of item,472119,Kilogram,240340374
202302,84862050,Ion implanters,29,Number of item,557836,Kilogram,94057585
202303,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",166,Number of item,799094,Kilogram,228998822
202303,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,131,Number of item,755599,Kilogram,336968824
202303,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,43,Number of item,287227,Kilogram,122155470
202303,84862031,Step and repeat alignersw,25,Number of item,266750,Kilogram,83008165
202303,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,96,Number of item,508918,Kilogram,290581765
202303,84862041,Dry plasma etching for the manufacture of semiconductor or IC,68,Number of item,346497,Kilogram,174945271
202303,84862050,Ion implanters,27,Number of item,526700,Kilogram,77856920
202304,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",108,Number of item,456939,Kilogram,120438317
202304,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,116,Number of item,801075,Kilogram,315447901
202304,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,41,Number of item,238392,Kilogram,81491076
202304,84862031,Step and repeat alignersw,22,Number of item,203320,Kilogram,134779494
202304,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,65,Number of item,430847,Kilogram,149362859
202304,84862041,Dry plasma etching for the manufacture of semiconductor or IC,116,Number of item,574872,Kilogram,318338139
202304,84862050,Ion implanters,35,Number of item,632605,Kilogram,88417944
202305,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",77,Number of item,318193,Kilogram,83467286
202305,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,86,Number of item,603339,Kilogram,273938891
202305,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,49,Number of item,222861,Kilogram,85673269
202305,84862031,Step and repeat alignersw,21,Number of item,176129,Kilogram,125975090
202305,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,60,Number of item,477434,Kilogram,364506218
202305,84862041,Dry plasma etching for the manufacture of semiconductor or IC,83,Number of item,316608,Kilogram,171293340
202305,84862050,Ion implanters,26,Number of item,477191,Kilogram,84466466
202306,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",153,Number of item,454074,Kilogram,101720339
202306,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,158,Number of item,786648,Kilogram,339272745
202306,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,58,Number of item,291132,Kilogram,88245731
202306,84862031,Step and repeat alignersw,44,Number of item,391050,Kilogram,489532685
202306,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,110,Number of item,785326,Kilogram,607890976
202306,84862041,Dry plasma etching for the manufacture of semiconductor or IC,114,Number of item,518449,Kilogram,258000539
202306,84862050,Ion implanters,34,Number of item,669981,Kilogram,122805343
202307,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",209,Number of item,724215,Kilogram,117392459
202307,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,201,Number of item,1175613,Kilogram,562110113
202307,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,61,Number of item,1033245,Kilogram,131796797
202307,84862031,Step and repeat alignersw,43,Number of item,318518,Kilogram,414694325
202307,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,85,Number of item,914334,Kilogram,480483618
202307,84862041,Dry plasma etching for the manufacture of semiconductor or IC,142,Number of item,765830,Kilogram,370553878
202307,84862050,Ion implanters,45,Number of item,879607,Kilogram,127686741
202308,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",163,Number of item,670855,Kilogram,162211118
202308,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,155,Number of item,773418,Kilogram,368826288
202308,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,56,Number of item,827502,Kilogram,91357924
202308,84862031,Step and repeat alignersw,29,Number of item,208643,Kilogram,51469102
202308,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,48,Number of item,417048,Kilogram,745373383
202308,84862041,Dry plasma etching for the manufacture of semiconductor or IC,106,Number of item,503778,Kilogram,331316984
202308,84862050,Ion implanters,37,Number of item,658028,Kilogram,108201876
202309,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",168,Number of item,718785,Kilogram,182235265
202309,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,206,Number of item,1377462,Kilogram,557264843
202309,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,52,Number of item,320692,Kilogram,149974880
202309,84862031,Step and repeat alignersw,12,Number of item,133479,Kilogram,46884640
202309,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,59,Number of item,789571,Kilogram,1376150646
202309,84862041,Dry plasma etching for the manufacture of semiconductor or IC,163,Number of item,1003051,Kilogram,643348386
202309,84862050,Ion implanters,44,Number of item,804285,Kilogram,143885325
202310,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",142,Number of item,586462,Kilogram,166921978
202310,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,182,Number of item,1188661,Kilogram,621357562
202310,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,76,Number of item,648018,Kilogram,256733729
202310,84862031,Step and repeat alignersw,18,Number of item,145000,Kilogram,60327274
202310,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,52,Number of item,581834,Kilogram,719786482
202310,84862041,Dry plasma etching for the manufacture of semiconductor or IC,171,Number of item,873905,Kilogram,665519840
202310,84862050,Ion implanters,36,Number of item,717381,Kilogram,130339552
202311,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",133,Number of item,631895,Kilogram,165981667
202311,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,169,Number of item,939926,Kilogram,452049283
