Date,Exports_China
2016-01-01,79629487.00
2016-02-01,28276071.00
2016-03-01,194614017.00
2016-04-01,53998134.00
2016-05-01,96876516.00
2016-06-01,57098861.00
2016-07-01,85664543.00
2016-08-01,25180753.00
2016-09-01,23162877.00
2016-10-01,25245719.00
2016-11-01,24883467.00
2016-12-01,23755449.00
2017-01-01,16024187.00
2017-02-01,189862738.00
2017-03-01,78019576.00
2017-04-01,21139657.00
2017-05-01,35167357.00
2017-06-01,75881556.00
2017-07-01,129335208.00
2017-08-01,14261761.00
2017-09-01,193029635.00
2017-10-01,104923093.00
2017-11-01,87293618.00
2017-12-01,121831716.00
2018-01-01,208530197.00
2018-02-01,145291518.00
2018-03-01,248098689.00
2018-04-01,50474299.00
2018-05-01,203647675.00
2018-06-01,226361960.00
2018-07-01,86465334.00
2018-08-01,157825271.00
2018-09-01,287964251.00
2018-10-01,25109239.00
2018-11-01,190577289.00
2018-12-01,351242862.00
2019-01-01,7742478.00
2019-02-01,34137130.00
2019-03-01,207422529.00
2019-04-01,98783214.00
2019-05-01,113885661.00
2019-06-01,68332121.00
2019-07-01,41325858.00
2019-08-01,57989213.00
2019-09-01,180844399.00
2019-10-01,137725864.00
2019-11-01,104381914.00
2019-12-01,251726215.00
2020-01-01,128053483.00
2020-02-01,208444319.00
2020-03-01,59513613.00
2020-04-01,191711904.00
2020-05-01,154209596.00
2020-06-01,313510718.00
2020-07-01,279686728.00
2020-08-01,283050740.00
2020-09-01,220791938.00
2020-10-01,45118055.00
2020-11-01,209553577.00
2020-12-01,140112356.00
2021-01-01,222448350.00
2021-02-01,113732074.00
2021-03-01,184699581.00
2021-04-01,55530042.00
2021-05-01,268709974.00
2021-06-01,232602258.00
2021-07-01,140841066.00
2021-08-01,81491498.00
2021-09-01,128388885.00
2021-10-01,134214326.00
2021-11-01,194024549.00
2021-12-01,385636131.00
2022-01-01,108965945.00
2022-02-01,304665245.00
2022-03-01,397295080.00
2022-04-01,140363703.00
2022-05-01,116020238.00
2022-06-01,158445446.00
2022-07-01,126858563.00
2022-08-01,205407673.00
2022-09-01,263351243.00
2022-10-01,161821378.00
2022-11-01,71991766.00
2022-12-01,210946114.00
2023-01-01,86297456.00
2023-02-01,231828804.00
2023-03-01,154659163.00
2023-04-01,145000413.00
2023-05-01,430472285.00
