Year,Month,Trade Type,Origin,HKHS 4-digit,Statistics,Value,Unit
2016,Jan,Imports,JAPAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,323,654",HK$ '000
2016,Jan,Imports,KOREA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"9,294,146",HK$ '000
2016,Jan,Imports,MALAYSIA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"5,873,231",HK$ '000
2016,Jan,Imports,TAIWAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"20,406,299",HK$ '000
2016,Jan,Imports,USA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,018,812",HK$ '000
2016,Jan,Imports,VIET NAM,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,308,979",HK$ '000
2016,Feb,Imports,JAPAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,156,972",HK$ '000
2016,Feb,Imports,KOREA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"7,896,835",HK$ '000
2016,Feb,Imports,MALAYSIA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"4,752,052",HK$ '000
2016,Feb,Imports,TAIWAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"15,985,163",HK$ '000
2016,Feb,Imports,USA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,454,901",HK$ '000
2016,Feb,Imports,VIET NAM,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,494,475",HK$ '000
2016,Mar,Imports,JAPAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,751,168",HK$ '000
2016,Mar,Imports,KOREA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"9,812,631",HK$ '000
2016,Mar,Imports,MALAYSIA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"6,718,458",HK$ '000
2016,Mar,Imports,TAIWAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"21,722,842",HK$ '000
2016,Mar,Imports,USA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,553,969",HK$ '000
2016,Mar,Imports,VIET NAM,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,140,014",HK$ '000
2016,Apr,Imports,JAPAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,875,238",HK$ '000
2016,Apr,Imports,KOREA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"11,605,777",HK$ '000
2016,Apr,Imports,MALAYSIA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"6,305,377",HK$ '000
2016,Apr,Imports,TAIWAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"21,475,171",HK$ '000
2016,Apr,Imports,USA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,805,755",HK$ '000
2016,Apr,Imports,VIET NAM,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,846,141",HK$ '000
2016,May,Imports,JAPAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,794,586",HK$ '000
2016,May,Imports,KOREA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"12,972,409",HK$ '000
2016,May,Imports,MALAYSIA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"6,505,119",HK$ '000
2016,May,Imports,TAIWAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"22,726,253",HK$ '000
2016,May,Imports,USA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,725,205",HK$ '000
2016,May,Imports,VIET NAM,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,091,357",HK$ '000
2016,Jun,Imports,JAPAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"3,597,150",HK$ '000
2016,Jun,Imports,KOREA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"13,643,155",HK$ '000
2016,Jun,Imports,MALAYSIA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"7,132,206",HK$ '000
2016,Jun,Imports,TAIWAN,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"24,228,505",HK$ '000
2016,Jun,Imports,USA,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"1,280,639",HK$ '000
2016,Jun,Imports,VIET NAM,8542 - ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES,Value (Monthly) (HK$ '000),"2,199,910",HK$ '000
