Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2016/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,50042
Exports,2016/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,955
Exports,2016/1,8542, Electronic integrated circuits,China,1311859
Exports,2016/1,8542, Electronic integrated circuits,Hong Kong,1708502
Exports,2016/1,8542, Electronic integrated circuits,Macao,2036
Exports,2016/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,32239
Exports,2016/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1981
Exports,2016/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,24
Exports,2016/2,8542, Electronic integrated circuits,China,990799
Exports,2016/2,8542, Electronic integrated circuits,Hong Kong,1248501
Exports,2016/2,8542, Electronic integrated circuits,Macao,752
Exports,2016/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,67467
Exports,2016/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1239
Exports,2016/3,8542, Electronic integrated circuits,China,1352599
Exports,2016/3,8542, Electronic integrated circuits,Hong Kong,1793030
Exports,2016/3,8542, Electronic integrated circuits,Macao,1976
Exports,2016/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,41675
Exports,2016/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,520
Exports,2016/4,8542, Electronic integrated circuits,China,1306710
Exports,2016/4,8542, Electronic integrated circuits,Hong Kong,1801791
Exports,2016/4,8542, Electronic integrated circuits,Macao,2545
Exports,2016/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,51210
Exports,2016/5,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,714
Exports,2016/5,8542, Electronic integrated circuits,China,1301352
Exports,2016/5,8542, Electronic integrated circuits,Hong Kong,1962081
Exports,2016/5,8542, Electronic integrated circuits,Macao,1140
Exports,2016/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,60252
Exports,2016/6,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,534
Exports,2016/6,8542, Electronic integrated circuits,China,1303981
Exports,2016/6,8542, Electronic integrated circuits,Hong Kong,1926976
Exports,2016/6,8542, Electronic integrated circuits,Macao,1524
Exports,2016/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,47556
Exports,2016/7,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1778
Exports,2016/7,8542, Electronic integrated circuits,China,1473043
Exports,2016/7,8542, Electronic integrated circuits,Hong Kong,2065615
Exports,2016/7,8542, Electronic integrated circuits,Macao,787
Exports,2016/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,34146
