date,Chemicals,Plastics and Articles Thereof; Rubber and Articles Thereof,Textile Products,Basic Metals and Articles Thereof,Electronic Products,Machineries,Electrical Machinery Products,Information & Communication Products,Transport Equipments,"Optical, Photographic,Cinematographic Apparatus",Mineral Products,Others
1/1/2016,486,542,157,329,"3,236",314,446,960,46,"1,052",93,594
2/1/2016,459,403,136,273,"2,362",292,318,641,37,807,78,399
3/1/2016,600,640,210,355,"3,401",460,490,991,44,"1,038",83,653
4/1/2016,583,536,188,342,"3,076",411,410,930,49,"1,057",40,552
5/1/2016,573,568,173,354,"3,182",399,427,996,52,"1,101",60,520
6/1/2016,552,637,166,371,"3,343",386,472,"1,079",51,"1,173",41,551
7/1/2016,619,595,165,374,"3,351",378,477,941,57,"1,175",90,568
8/1/2016,626,624,184,392,"3,683",475,561,"1,238",58,"1,260",62,608
9/1/2016,560,567,182,375,"3,630",400,564,"1,325",50,"1,346",109,622
10/1/2016,558,668,175,416,"3,458",453,547,"1,220",49,"1,345",82,601
11/1/2016,696,728,180,457,"3,665",460,571,"1,338",47,"1,391",82,640
12/1/2016,666,770,177,460,"3,550",462,518,"1,369",51,"1,398",103,643
1/1/2017,736,670,148,383,"3,066",473,393,969,31,"1,199",117,524
2/1/2017,616,645,154,387,"3,022",451,373,992,34,"1,407",115,525
3/1/2017,801,700,214,445,"3,906",606,477,"1,170",41,"1,614",109,669
4/1/2017,572,672,177,410,"3,382",594,431,995,36,"1,387",79,563
5/1/2017,548,738,163,416,"3,401",588,454,973,45,"1,598",124,581
6/1/2017,644,721,170,402,"3,934",569,502,"1,090",46,"1,569",70,632
7/1/2017,699,718,168,420,"3,560",489,478,937,44,"1,539",71,610
8/1/2017,700,861,184,492,"3,909",550,545,"1,113",48,"1,737",104,658
9/1/2017,766,767,193,471,"4,140",494,562,"1,281",46,"1,600",127,706
10/1/2017,663,762,184,479,"4,007",478,508,"1,386",41,"1,536",76,713
11/1/2017,723,874,176,475,"4,134",579,586,"1,466",49,"1,645",73,783
12/1/2017,815,807,172,480,"3,935",649,567,"1,169",44,"1,552",53,725
1/1/2018,844,964,183,513,"4,123",582,554,"1,220",44,"1,501",170,715
2/1/2018,735,596,119,378,"2,944",473,367,"1,042",28,"1,231",118,528
3/1/2018,853,796,216,473,"4,322",737,552,"1,151",46,"1,490",92,749
4/1/2018,743,832,173,410,"3,980",807,487,898,50,"1,348",123,710
5/1/2018,743,927,193,447,"4,425",662,544,"1,124",46,"1,474",111,784
6/1/2018,791,767,164,428,"4,219",648,514,"1,052",45,"1,418",155,745
7/1/2018,732,859,178,458,"4,217",584,541,"1,018",44,"1,490",62,765
8/1/2018,819,790,186,448,"4,591",643,570,"1,222",42,"1,503",130,753
9/1/2018,894,751,167,428,"4,498",387,541,"1,303",36,"1,442",74,777
10/1/2018,922,809,178,454,"4,256",446,555,"1,380",36,"1,611",75,755
11/1/2018,805,706,171,437,"3,857",408,516,"1,217",37,"1,486",130,766
12/1/2018,705,756,157,376,"3,606",322,475,"1,217",32,"1,394",91,706
1/1/2019,779,763,171,356,"3,936",368,466,938,28,"1,272",70,654
2/1/2019,722,514,124,287,"2,592",299,306,798,29,"1,085",88,493
3/1/2019,729,725,161,369,"3,635",471,477,"1,169",40,"1,380",81,666
4/1/2019,610,692,158,385,"3,726",479,465,955,37,"1,180",114,711
5/1/2019,536,667,160,394,"3,980",544,478,978,42,"1,278",125,707
6/1/2019,555,657,137,367,"3,678",417,439,989,44,"1,257",103,702
7/1/2019,729,737,167,399,"4,104",415,509,978,41,"1,303",115,762
8/1/2019,577,644,172,411,"4,326",413,500,"1,137",37,"1,457",146,830
9/1/2019,579,639,158,384,"4,648",339,502,"1,387",30,"1,345",127,819
10/1/2019,611,680,162,427,"4,462",355,489,"1,119",37,"1,345",110,837
11/1/2019,607,702,131,408,"4,308",431,502,"1,140",32,"1,287",64,796
12/1/2019,599,726,156,431,"4,281",447,472,"1,087",33,"1,263",103,792
1/1/2020,563,604,109,361,"3,693",384,352,779,37,"1,049",186,592
2/1/2020,557,431,114,314,"3,387",311,273,518,25,879,79,455
3/1/2020,473,581,137,388,"4,902",547,458,"1,149",32,"1,215",65,696
4/1/2020,519,639,89,373,"4,455",541,506,"1,111",30,"1,320",36,768
5/1/2020,461,641,83,350,"4,373",486,467,"1,157",39,"1,314",41,745
6/1/2020,461,635,101,459,"4,687",466,455,"1,075",38,"1,312",75,791
7/1/2020,544,687,127,584,"5,538",473,522,"1,096",50,"1,481",41,841
8/1/2020,469,733,126,580,"6,217",495,531,"1,070",52,"1,577",57,977
9/1/2020,522,778,147,534,"7,334",500,614,"1,282",50,"1,645",67,883
10/1/2020,493,815,136,522,"5,010",526,542,"1,227",69,"1,557",37,843
11/1/2020,509,857,130,490,"5,633",498,589,"1,494",53,"1,637",37,904
12/1/2020,677,897,154,565,"8,290",655,616,"1,347",57,"1,723",49,"1,001"
1/1/2021,589,858,124,474,"6,846",643,630,"1,222",57,"1,716",46,887
2/1/2021,546,767,100,413,"5,064",493,434,836,43,"1,495",30,689
3/1/2021,804,"1,015",148,565,"6,305",596,618,"1,200",60,"1,835",56,"1,075"
4/1/2021,676,912,141,570,"7,160",621,582,"1,239",59,"1,711",73,854
5/1/2021,697,995,159,566,"6,433",631,579,"1,208",45,"1,859",94,953
6/1/2021,628,945,143,542,"6,712",571,587,"1,344",66,"1,939",90,869
7/1/2021,773,"1,043",153,572,"6,412",544,603,"1,324",76,"1,972",55,869
8/1/2021,739,"1,068",145,616,"6,857",546,614,"1,416",78,"1,942",63,848
9/1/2021,767,"1,014",132,554,"7,705",487,623,"1,714",76,"1,988",25,930
10/1/2021,793,"1,024",164,545,"6,403",499,611,"1,468",64,"1,804",124,837
11/1/2021,757,983,141,555,"8,058",483,669,"1,492",72,"1,895",97,878
12/1/2021,766,977,150,581,"8,736",536,603,"1,397",77,"1,866",133,937
1/1/2022,695,916,132,481,"7,948",623,589,"1,117",82,"1,732",127,905
2/1/2022,689,737,111,417,"6,678",455,455,974,70,"1,515",124,608
3/1/2022,848,961,159,514,"7,990",554,589,"1,343",80,"1,700",113,728
4/1/2022,673,847,139,426,"6,144",513,511,867,55,"1,216",75,668
5/1/2022,643,790,133,489,"6,085",497,587,"1,071",68,"1,255",76,616
6/1/2022,723,750,130,447,"5,824",480,507,"1,255",89,"1,363",58,709
7/1/2022,613,605,137,366,"5,335",440,505,"1,175",94,"1,134",60,674
8/1/2022,627,655,141,380,"5,445",399,517,"1,030",70,"1,106",94,659
9/1/2022,649,629,141,323,"5,798",453,486,"1,208",71,"1,081",60,647
10/1/2022,526,571,114,300,"5,561",327,418,"1,023",59,933,66,604
11/1/2022,608,571,103,311,"4,957",385,458,887,66,957,99,674
12/1/2022,621,641,92,322,"5,144",366,399,891,73,"1,036",78,778
1/1/2023,549,394,72,236,"4,350",289,338,710,47,759,62,500
2/1/2023,509,491,98,271,"4,029",306,395,719,63,779,49,568
3/1/2023,578,534,108,299,"5,071",404,457,"1,027",63,923,114,744
4/1/2023,532,467,85,294,"4,547",331,403,903,61,907,47,617
5/1/2023,471,468,92,300,"4,800",281,404,"1,047",57,"1,054",96,665
