date,USA,Japan,China_HK,ASEAN,Europe,Others, 
2016-01-01,"$2,742.64",$413.41,"$3,401.49",$980.74,"$1,451.44",$588.39, 
2016-02-01,"$2,638.19",$433.22,"$3,076.00",$871.32,"$1,244.24",$463.42, 
2016-03-01,"$2,705.76",$447.58,"$3,182.38",$893.20,"$1,183.40",$483.81, 
2016-04-01,"$2,922.76",$464.50,"$3,343.33",$830.75,"$1,189.68",$525.63, 
2016-05-01,"$2,883.09",$526.30,"$3,351.49",$865.88,"$1,252.72",$464.48, 
2016-06-01,"$3,415.95",$568.07,"$3,683.02",$965.91,"$1,177.30",$634.19, 
2016-07-01,"$3,679.26",$576.98,"$3,629.93",$945.94,"$2,150.77",$612.45, 
2016-08-01,"$3,760.22",$528.65,"$3,458.19",$971.20,"$2,263.90",$471.08, 
2016-09-01,"$3,862.89",$535.83,"$3,665.15",$913.94,"$2,290.94",$484.31, 
2016-10-01,"$3,412.63",$513.10,"$3,549.53",$796.72,"$1,940.64",$470.28, 
2016-11-01,"$2,984.08",$510.75,"$3,066.26",$701.35,"$1,749.84",$450.73, 
2016-12-01,"$2,672.99",$507.70,"$3,021.58",$668.05,"$1,393.61",$468.16, 
2017-01-01,"$3,242.79",$545.71,"$3,906.34",$748.67,"$1,510.55",$761.15, 
2017-02-01,"$2,515.63",$500.89,"$3,381.75",$713.94,"$1,520.45",$453.00, 
2017-03-01,"$2,770.35",$513.22,"$3,400.97",$773.86,"$1,330.82",$502.81, 
2017-04-01,"$3,082.26",$575.32,"$3,933.81",$902.63,"$1,330.34",$570.33, 
2017-05-01,"$2,766.71",$598.76,"$3,560.41",$818.24,"$1,480.58",$512.94, 
2017-06-01,"$3,045.00",$607.02,"$3,908.52",$937.69,"$1,476.17",$578.50, 
2017-07-01,"$3,558.56",$607.28,"$4,140.43",$905.43,"$1,903.58",$613.84, 
2017-08-01,"$3,869.70",$573.30,"$4,006.53",$771.27,"$2,219.93",$533.47, 
2017-09-01,"$3,908.99",$555.50,"$4,133.82",$848.82,"$2,647.84",$551.04, 
2017-10-01,"$3,986.75",$480.61,"$3,935.15",$817.72,"$2,716.07",$713.40, 
