date,USA,Japan,China_HK,ASEAN,Europe,Others,
1/1/2016,3357.6487,431.2934,960.0467,1158.7133,3228.8734,750.5323, 
2/1/2016,2555.5953,315.1351,640.5242,944.1331,2654.7917,731.5, 
3/1/2016,3287.3106,396.7009,991.4744,1377.5026,3204.2932,1040.1813, 
4/1/2016,3316.564,385.3123,929.5309,1249.3559,2400.9153,754.9912, 
5/1/2016,3329.1772,422.7883,996.4753,1189.9275,2522.7961,902.0009, 
6/1/2016,3657.7051,469.1611,1078.7319,1168.2329,2976.8979,987.1846, 
7/1/2016,3573.0376,462.5871,940.8863,1158.8674,2566.168,854.3818, 
8/1/2016,3718.7609,551.5283,1238.1458,1212.1779,2606.3847,1190.2225, 
9/1/2016,5315.1115,554.2815,1324.8663,1242.3421,5049.899,1145.337, 
10/1/2016,5440.5229,506.4799,1219.8256,1496.923,4935.3015,853.2291, 
11/1/2016,5328.0346,522.7246,1337.822,1391.4214,4966.0373,1036.3859, 
12/1/2016,4634.4948,534.8116,1368.6548,1132.9671,4210.1999,1116.3861, 
1/1/2017,3757.2088,480.3055,969.0948,880.7544,3598.2607,863.2763, 
2/1/2017,3354.0303,406.7062,991.6628,851.665,3195.878,913.4749, 
3/1/2017,4063.1477,471.6485,1169.7383,995.1966,3288.2061,1381.2531, 
4/1/2017,3879.092524,426.589272,995.401495,865.968331,3240.060735,817.048021, 
5/1/2017,3942.015284,495.230472,973.327471,862.94004,2992.983424,865.438507, 
6/1/2017,4342.370633,571.418214,1089.957162,921.329152,3357.310317,1186.369261, 
7/1/2017,4101.490649,556.667053,937.177867,943.514335,3352.667157,995.024538, 
8/1/2017,3583.658897,519.3995,1112.54411,1018.801991,3106.752098,1195.971775, 
9/1/2017,5324.02293,694.076872,1281.26591,1077.65061,5181.102104,1110.885818, 
10/1/2017,5881.09332,596.820627,1385.800184,1129.398345,5851.052884,1030.149337, 
11/1/2017,5473.047765,508.767449,1466.240341,1176.239012,6406.941403,1218.067119, 
12/1/2017,5027.005318,510.149,1168.729912,1151.471659,6497.612438,1541.299904, 
1/1/2018,4600.905464,421.049302,1220.003939,814.448373,4343.651371,994.939583, 
2/1/2018,2928.641763,330.876693,1042.494872,598.034568,3182.067086,797.685087, 
3/1/2018,3909.92419,450.506173,1151.494223,812.976969,3419.205666,1059.418822, 
4/1/2018,3871.848019,381.321317,898.447022,742.632597,3464.964511,834.540819, 
5/1/2018,4066.676744,415.918888,1124.102239,769.872107,3170.151458,1009.970972, 
6/1/2018,4097.187197,444.406233,1052.128728,796.125134,3218.127875,991.429203, 
7/1/2018,4554.657574,514.422558,1017.94109,808.332012,3567.248845,1011.304067, 
8/1/2018,4419.10631,627.560826,1221.703518,861.747437,3216.513152,1244.978398, 
9/1/2018,5689.719051,534.931923,1303.011468,920.264098,5928.345447,1198.62198, 
10/1/2018,6364.632891,567.941861,1379.765203,868.744824,6023.122148,1149.121917, 
11/1/2018,5931.928286,621.328948,1217.421987,931.859349,6323.70564,1224.412545, 
12/1/2018,5500.108447,821.753562,1216.534433,816.316731,4325.091603,1156.449143, 
1/1/2019,4127.694894,501.15273,938.280329,786.881174,4300.685631,1025.404576, 
2/1/2019,2668.058498,612.577671,797.772945,544.425079,2486.001881,787.075827, 
3/1/2019,3805.530797,497.407231,1168.864539,751.943912,3491.418675,1079.581061, 
4/1/2019,3654.12953,466.243907,955.010141,659.917185,3781.532441,1014.863856, 
5/1/2019,4083.674214,491.708042,977.611723,668.554465,3263.706365,1172.758466, 
6/1/2019,4603.43465,488.303033,989.452248,746.911548,3185.746248,1080.436367, 
7/1/2019,4320.28127,508.815112,978.016268,785.030435,3439.647136,1079.108308, 
8/1/2019,3855.971173,512.957446,1136.510765,792.111819,3018.228801,1155.175802, 
9/1/2019,5664.602736,561.402233,1387.120988,921.773617,5632.720216,1249.140599, 
10/1/2019,6232.459031,452.430778,1119.462804,910.863709,6480.470519,1118.881906, 
11/1/2019,5894.902817,555.058539,1140.341789,876.877782,5196.533422,1278.4035, 
12/1/2019,4958.234112,635.446332,1087.329563,751.156096,5348.565177,1112.70811, 
1/1/2020,3617.614935,343.770265,779.342905,532.448697,3614.250681,812.52929, 
2/1/2020,2355.645694,227.24317,518.300698,360.016313,2024.806547,560.015093, 
3/1/2020,4168.555859,460.146033,1148.800352,656.335749,3948.782275,1154.664216, 
4/1/2020,4447.773071,492.837979,1111.000044,755.66266,4532.519136,1145.85893, 
5/1/2020,5058.542563,541.257961,1157.326258,755.574306,4337.417521,1169.705568, 
6/1/2020,5390.640382,533.679333,1075.020235,847.260716,3921.401609,1224.166294, 
7/1/2020,5796.208573,609.084483,1096.093875,978.406965,4594.759096,1361.813079, 
8/1/2020,5218.55331,726.711059,1069.699932,1028.66263,3891.983548,1297.268909, 
9/1/2020,5227.201955,799.625209,1282.030018,1015.641941,4133.320478,1477.095135, 
10/1/2020,6745.201033,776.837057,1226.656969,887.271864,6089.409585,1301.895456, 
11/1/2020,7422.593614,894.903042,1493.885118,1095.918463,8398.348704,1517.461897, 
12/1/2020,6906.859017,923.64063,1347.47382,1100.932787,7394.007045,1533.396128, 
1/1/2021,5138.207935,846.487475,1221.761227,860.96702,5717.187314,1308.484223, 
2/1/2021,4017.96895,635.162115,835.85366,754.560718,4061.093556,1088.61064, 
3/1/2021,5105.633145,775.335407,1200.416249,1155.680905,4427.688807,1359.431929, 
4/1/2021,5662.553949,747.969766,1239.354218,951.288611,5614.695314,1239.564808, 
5/1/2021,5213.162342,743.858176,1207.551149,950.925219,4235.002125,1215.453584, 
6/1/2021,5294.438483,719.50547,1343.804296,1187.969503,4070.803921,1273.929886, 
