Item,Manufacture of Electronic and Semi-conductors Production Equipment,Manufacture of Integrated Circuits,Manufacture of Discrete Devices,Packaging and Testing of Semi-conductors,Manufacture of Printed Circuit Assembly,Manufacture of Other Electronic Parts and Components Not Elsewhere Classified,Manufacture of Computers, 
2016-01-01,36.08,43.35,82.54,60.82,64.62,47.77,31.41, 
2016-02-01,36.64,39.74,71.05,57.4,43.2,38.33,25.99, 
2016-03-01,47.28,49.74,95.93,65.15,64.28,53.32,35.02, 
2016-04-01,45.99,45.96,89.01,64.4,50.25,47.18,32.22, 
2016-05-01,44.6,49.59,91.09,68.82,53.92,50.56,32.57, 
2016-06-01,48.87,53.3,89.76,70.54,54.86,50.82,37.62, 
2016-07-01,47.61,52.35,90.88,71.94,52.86,51.02,34.25, 
2016-08-01,45.72,55.17,94.29,74.12,61.36,52.99,40.15, 
2016-09-01,42.51,65.41,91.78,73.95,59.8,50.05,37.36, 
2016-10-01,46.86,57.96,92.79,73.77,58.85,46.66,38.07, 
2016-11-01,46.3,60.77,93.02,71.78,59.05,51.77,40.72, 
2016-12-01,59.66,57.16,88.06,71.88,54.54,50.85,40.26, 
2017-01-01,49.19,54.71,81.18,65.9,42.3,41.22,31.25, 
2017-02-01,42.92,50.43,79.28,62.92,45.74,37.26,32.07, 
2017-03-01,62.2,57.74,99.03,70.19,58.4,52.19,46.75, 
2017-04-01,56.38,45.32,90.49,67.54,49.66,46.58,36.45, 
2017-05-01,56.63,51.94,94.9,69.75,50.53,51.12,38.01, 
2017-06-01,71.06,56.64,100.76,71.07,59.6,50.74,42.04, 
2017-07-01,55.61,52.74,99.37,72.79,57.14,48.26,42.27, 
2017-08-01,61.1,58.42,91.42,74.97,61.51,52.22,52.07, 
2017-09-01,63.37,61.38,98.14,75.82,62.48,49.37,52.22, 
2017-10-01,62.56,61.62,92.3,76.76,54.87,45.97,60.28, 
2017-11-01,80.92,62.03,99.2,73.71,54.15,46.12,60.7, 
2017-12-01,70.65,66.11,95.62,75.45,53.36,44.29,44.48, 
2018-01-01,63.76,56.42,102.74,70.8,51.51,47.87,45.66, 
2018-02-01,56.25,49.93,77.75,62.14,38.81,37.55,31.05, 
2018-03-01,80.25,68.59,106.73,72.58,55.96,48.99,45.77, 
2018-04-01,74.94,57.78,95.07,70.43,46.48,43.31,39.08, 
2018-05-01,91.69,59.69,99.28,74.91,59.79,44.95,47.4, 
2018-06-01,98.19,56.74,103.25,75.32,54.19,44.2,47.12, 
2018-07-01,73.79,54.67,106.73,78.93,51.17,45.74,44.7, 
2018-08-01,73.05,59.19,100.43,80.06,53.66,50.67,50.44, 
2018-09-01,72.58,67.29,102.39,78.19,53,48.96,50.33, 
2018-10-01,82.46,68.23,94.67,81.84,71.36,55.74,67.18, 
2018-11-01,74.81,62.88,90.38,77.82,60.05,46.22,61.53, 
2018-12-01,77.14,62.75,83.45,76.46,63.71,44.22,75.66, 
2019-01-01,67.07,55.33,94.85,72.44,74.94,60.18,71.04, 
2019-02-01,54.52,47.04,68.86,62.35,58.23,41.52,54.07, 
2019-03-01,65.25,56.59,87.28,74.85,79.64,64.46,66.47, 
2019-04-01,78.49,55.78,79.02,74.6,77.05,62.66,70.99, 
2019-05-01,68.53,57.44,80.33,79.96,80.92,74.88,72.21, 
2019-06-01,70.26,62.01,79.6,77.16,76.44,67.38,66.05, 
2019-07-01,65.35,63.39,80.64,86.07,85.93,67.87,81.2, 
2019-08-01,65.27,72.31,74.56,88.3,81.07,66.19,80.56, 
2019-09-01,55.4,72.9,83.2,86.27,78.5,69.07,75.77, 
2019-10-01,60.19,70.82,82.58,88.34,92.72,73.57,85.65, 
2019-11-01,63.27,73.5,78.97,85.03,90,68.06,93.34, 
2019-12-01,76.38,74.38,84.67,88.96,93.78,75.88,97.3, 
2020-01-01,59.09,71.07,72.71,86.5,81.36,68.34,77.02, 
2020-02-01,68.63,68.1,74.76,80.88,84.87,64.35,67.81, 
2020-03-01,77.88,78.06,87.37,87.76,103.03,83.76,86.41, 
2020-04-01,70.76,71.4,82.38,85.93,85.62,85.31,89.03, 
2020-05-01,66.91,76.23,76.8,81.65,91.32,80.73,100.74, 
2020-06-01,84.76,81.87,79.83,81.6,99.81,82.21,104.56, 
2020-07-01,77.91,77.82,85.3,88.07,119.85,84.17,109.51, 
2020-08-01,77.54,88.21,77.5,89.96,100.84,89.98,101.8, 
2020-09-01,77.79,91.36,94.54,88.51,109.64,93.38,120.05, 
2020-10-01,64.76,87.65,89.88,90.77,86.86,85.86,104.02, 
