Date,China,HK,Total
2016-01-01,1098729291.00,1572508313.00,2671237604.00
2016-02-01,883356515.00,1178166502.00,2061523017.00
2016-03-01,1165842388.00,1683182885.00,2849025273.00
2016-04-01,1121209059.00,1672327902.00,2793536961.00
2016-05-01,1136299690.00,1795052924.00,2931352614.00
2016-06-01,1150769006.00,1744946822.00,2895715828.00
2016-07-01,1293849698.00,1890198847.00,3184048545.00
2016-08-01,1685099309.00,1929911591.00,3615010900.00
2016-09-01,1997550854.00,1966062818.00,3963613672.00
2016-10-01,2332645613.00,1924210462.00,4256856075.00
2016-11-01,2075779177.00,1981355407.00,4057134584.00
2016-12-01,1804556143.00,2073742326.00,3878298469.00
2017-01-01,1648918879.00,1646023608.00,3294942487.00
2017-02-01,1468005339.00,1551978575.00,3019983914.00
2017-03-01,1872617179.00,1877740840.00,3750358019.00
2017-04-01,1295519532.00,1731836726.00,3027356258.00
2017-05-01,1590081055.00,1636932715.00,3227013770.00
2017-06-01,1979076533.00,1847281364.00,3826357897.00
2017-07-01,1600684883.00,1855944146.00,3456629029.00
2017-08-01,2109606597.00,1947442751.00,4057049348.00
2017-09-01,2510386144.00,2103645678.00,4614031822.00
2017-10-01,2519788377.00,2105474239.00,4625262616.00
2017-11-01,2613265717.00,2230533788.00,4843799505.00
2017-12-01,2793973467.00,2130813499.00,4924786966.00
2018-01-01,1871045435.00,1894751378.00,3765796813.00
2018-02-01,1574998977.00,1374264908.00,2949263885.00
2018-03-01,3638521230.00,1918359725.00,5556880955.00
2018-04-01,1632922718.00,2021914920.00,3654837638.00
2018-05-01,1857715282.00,2045209379.00,3902924661.00
2018-06-01,1753049729.00,1976211265.00,3729260994.00
2018-07-01,1844988659.00,1988986989.00,3833975648.00
2018-08-01,2438391350.00,2115842672.00,4554234022.00
2018-09-01,2879039870.00,1984807045.00,4863846915.00
2018-10-01,2821229884.00,1941156882.00,4762386766.00
2018-11-01,2694904056.00,1775835396.00,4470739452.00
2018-12-01,2707534293.00,1757428721.00,4464963014.00
2019-01-01,1990532258.00,1859805342.00,3850337600.00
2019-02-01,1319264480.00,1294297615.00,2613562095.00
2019-03-01,2255823804.00,2114359513.00,4370183317.00
2019-04-01,1811433423.00,1866682893.00,3678116316.00
2019-05-01,2180160052.00,2190571895.00,4370731947.00
2019-06-01,2175123592.00,2137635357.00,4312758949.00
2019-07-01,2461553814.00,2125927786.00,4587481600.00
2019-08-01,3027646650.00,2271269431.00,5298916081.00
2019-09-01,3219212415.00,2154063490.00,5373275905.00
2019-10-01,3332763363.00,2131905647.00,5464669010.00
2019-11-01,3330456758.00,2244646312.00,5575103070.00
2019-12-01,2862529061.00,2358475941.00,5221005002.00
2020-01-01,2457118221.00,1881458154.00,4338576375.00
2020-02-01,2507785566.00,1869510600.00,4377296166.00
2020-03-01,3211560400.00,2285382418.00,5496942818.00
2020-04-01,2475146934.00,2496880984.00,4972027918.00
2020-05-01,2777075362.00,2437403093.00,5214478455.00
2020-06-01,3187555150.00,3013979226.00,6201534376.00
2020-07-01,2792319398.00,2719035322.00,5511354720.00
2020-08-01,4119234177.00,2719695448.00,6838929625.00
2020-09-01,3984888118.00,3168316410.00,7153204528.00
2020-10-01,3902153286.00,2669029264.00,6571182550.00
2020-11-01,4090950089.00,2636256400.00,6727206489.00
2020-12-01,3730660951.00,2955372153.00,6686033104.00
2021-01-01,3504842605.00,3110056448.00,6614899053.00
2021-02-01,2636554357.00,2498046626.00,5134600983.00
2021-03-01,3941762623.00,3167880669.00,7109643292.00
2021-04-01,2908218771.00,3777517107.00,6685735878.00
2021-05-01,3042950832.00,3380036667.00,6422987499.00
2021-06-01,4573265019.00,3159290186.00,7732555205.00
2021-07-01,3142162160.00,3883378698.00,7025540858.00
2021-08-01,3749766647.00,3844571148.00,7594337795.00
2021-09-01,4823173561.00,3977519604.00,8800693165.00
2021-10-01,3430013696.00,3446447774.00,6876461470.00
2021-11-01,4421449955.00,3699498856.00,8120948811.00
2021-12-01,4345840571.00,3928594735.00,8274435306.00
2022-01-01,4286199168.00,3570009561.00,7856208729.00
2022-02-01,4288825619.00,4124349242.00,8413174861.00
2022-03-01,4769837087.00,4694660844.00,9464497931.00
2022-04-01,4561714797.00,4191758889.00,8753473686.00
2022-05-01,4104043623.00,4142864135.00,8246907758.00
2022-06-01,3895439005.00,4451952982.00,8347391987.00
2022-07-01,4505804325.00,3594563488.00,8100367813.00
2022-08-01,5094039105.00,3194748831.00,8288787936.00
2022-09-01,4435000064.00,4579377441.00,9014377505.00
2022-10-01,5370125958.00,2834731183.00,8204857141.00
2022-11-01,3848057095.00,3318040245.00,7166097340.00
2022-12-01,4559939599.00,3548893825.00,8108833424.00
2023-01-01,3433347013.00,2413014155.00,5846361168.00
2023-02-01,2969036157.00,2778270080.00,5747306237.00
2023-03-01,3332547785.00,4071795677.00,7404343462.00
2023-04-01,3383119053.00,3867599279.00,7250718332.00
2023-05-01,3423001984.00,3722754070.00,7145756054.00
