year,emissions
2022-01-01,36.8
2021-01-01,36.5
2020-01-01,34.3
2019-01-01,36.2
2018-01-01,36.3
2017-01-01,35.4
2016-01-01,34.8
2015-01-01,34.7
2014-01-01,34.9
2013-01-01,34.7
2012-01-01,34
2011-01-01,33.6
2010-01-01,32.6
2009-01-01,30.7
2008-01-01,31.1
2007-01-01,30.9
2006-01-01,29.7
2005-01-01,28.7
2004-01-01,27.7
2003-01-01,26.4
2002-01-01,25.3
2001-01-01,24.9
2000-01-01,24.6
1999-01-01,23.6
1998-01-01,23.4
1997-01-01,23.3
1996-01-01,22.8
1995-01-01,22.4
1994-01-01,21.8
1993-01-01,21.6
1992-01-01,21.5
1991-01-01,21.5
1990-01-01,21.3
1989-01-01,20.5
1988-01-01,20.2
1987-01-01,19.5
1986-01-01,18.8
1985-01-01,18.5
1984-01-01,18.2
1983-01-01,17.7
1982-01-01,17.5
1981-01-01,17.7
1980-01-01,18
1979-01-01,18.2
1978-01-01,17.6
1977-01-01,17.1
1976-01-01,16.5
1975-01-01,15.7
1974-01-01,15.6
1973-01-01,15.7
1972-01-01,14.8
1971-01-01,14.1
1970-01-01,13.9
1969-01-01,12.8
1968-01-01,12
1967-01-01,11.4
1966-01-01,11.1
1965-01-01,10.7
1964-01-01,10.2
1963-01-01,9.7
1962-01-01,9.2
1961-01-01,8.9
1960-01-01,8.8
1959-01-01,8.4
1958-01-01,7.9
1957-01-01,7.7
1956-01-01,7.5
1955-01-01,7.1
1954-01-01,6.4
1953-01-01,6.3
1952-01-01,6.2
1951-01-01,6.1
1950-01-01,5.7
