Year,World
1/1/1980,0.45
1/1/1981,0.44
1/1/1982,0.43
1/1/1983,0.42
1/1/1984,0.42
1/1/1985,0.41
1/1/1986,0.41
1/1/1987,0.41
1/1/1988,0.4
1/1/1989,0.4
1/1/1990,0.4
1/1/1991,0.39
1/1/1992,0.39
1/1/1993,0.38
1/1/1994,0.37
1/1/1995,0.37
1/1/1996,0.37
1/1/1997,0.36
1/1/1998,0.35
1/1/1999,0.35
1/1/2000,0.34
1/1/2001,0.34
1/1/2002,0.33
1/1/2003,0.34
1/1/2004,0.34
1/1/2005,0.33
1/1/2006,0.33
1/1/2007,0.32
1/1/2008,0.32
1/1/2009,0.32
1/1/2010,0.32
1/1/2011,0.32
1/1/2012,0.31
1/1/2013,0.31
1/1/2014,0.3
1/1/2015,0.29
1/1/2016,0.28
1/1/2017,0.27
1/1/2018,0.27
1/1/2019,0.26
1/1/2020,0.26
1/1/2021,0.26
