Year,Wind,Solar
2024-01-01,4.292,2.988
2023-01-01,4.142,2.312
2022-01-01,3.842,1.755
2021-01-01,3.342,1.416
2020-01-01,2.956,1.124
2019-01-01,2.631,0.939
2018-01-01,2.478,0.844
2017-01-01,2.34,0.718
2016-01-01,2.093,0.522
2015-01-01,1.775,0.384
2014-01-01,1.726,0.299
2013-01-01,1.6,0.195
2012-01-01,1.339,0.135
2011-01-01,1.167,0.098
2010-01-01,0.923,0.082
2009-01-01,0.721,0.078
2008-01-01,0.546,0.074
2007-01-01,0.341,0.076
2006-01-01,0.264,0.068
2005-01-01,0.178,0.063
2004-01-01,0.142,0.063
2003-01-01,0.115,0.062
2002-01-01,0.105,0.063
2001-01-01,0.07,0.064
2000-01-01,0.057,0.066
1999-01-01,0.046,0.068
1998-01-01,0.031,0.069
1997-01-01,0.034,0.07
1996-01-01,0.033,0.07
1995-01-01,0.033,0.069
1994-01-01,0.036,0.068
1993-01-01,0.031,0.066
1992-01-01,0.03,0.064
1991-01-01,0.031,0.062
1990-01-01,0.029,0.059
