Year,Liquid
2024-01-01,102.72
2023-01-01,100.87
2022-01-01,99.43
2021-01-01,97.12
2020-01-01,91.58
2019-01-01,100.9
2018-01-01,100.05
2017-01-01,99.06
2016-01-01,96.96
2015-01-01,95.5
2014-01-01,93.7
2013-01-01,92.14
2012-01-01,90.65
2011-01-01,89.39
2010-01-01,88.79
2009-01-01,86.02
2008-01-01,86.85
2007-01-01,87.44
2006-01-01,85.77
2005-01-01,84.66
2004-01-01,83.44
2003-01-01,80.28
2002-01-01,78.64
2001-01-01,77.76
2000-01-01,77.05
1999-01-01,75.52
1998-01-01,73.91
1997-01-01,73.09
1996-01-01,71.87
1995-01-01,69.8
1994-01-01,68.39
1993-01-01,67
1992-01-01,67.19
1991-01-01,66.94
1990-01-01,66.67
