Date,Total employees,Not eligible,Eligible but not in bargaining unit,In a bargaining unit
Jan-23,2179108,649915,302803,1225467
Feb-23,2183992,650772,303120,1229132
Mar-23,2191361,653950,304424,1232004
Apr-23,2202913,655999,307368,1238562
May-23,2218699,658614,312536,1245221
Jun-23,2232092,663247,317352,1249154
Jul-23,2244245,666015,318241,1257700
Aug-23,2250661,668095,316175,1264016
Sep-23,2261016,671396,315744,1267016
Oct-23,2262474,673561,313398,1274338
Nov-23,2265644,676303,312356,1265904
Dec-23,2261282,676112,319930,1263748
Jan-24,2264960,676483,310516,1276384
Feb-24,2271498,679126,310326,1279979
Mar-24,2278730,680555,310885,1281815
Apr-24,2280603,681523,311778,1287037
May-24,2290825,683472,315835,1291248
Jun-24,2300688,687500,320366,1292552
Jul-24,2306875,689419,319421,1297770
Aug-24,2310761,689508,318694,1302290
Sep-24,2313216,691058,317990,1303273
Oct-24,2313562,691941,317313,1303126
Nov-24,2311322,693487,316009,1300073
Dec-24,2312301,694801,315675,1300065
Jan-25,2304585,690513,314622,1294304
Feb-25,2272018,683617,304223,1281663
Mar-25,2289192,729741,309825,1245092
Apr-25,2271969,719889,307319,1238134
May-25,2255056,712717,307255,1228660
Jun-25,2241780,663949,305637,1265695
Jul-25,2224444,659694,301049,1257833
Aug-25,2218561,1058896,269375,883667
Sep-25,2190219,1078986,264500,839795
Oct-25,2097534,1043404,247206,800120
Nov-25,2084618,1043923,244390,789459
