Pharma_Contrib,Total,Ex_Pharma
0.076536408,1.393656029,1.317119621
0.031954921,1.957011566,1.925056645
-0.019830324,0.010659428,0.030489752
0.208000345,5.332448645,5.1244483
0.093121861,3.027634073,2.934512212
-0.003226431,2.900068335,2.903294765
0.294437151,3.260879794,2.966442643
0.198713156,2.218161888,2.019448732
0.295490815,2.948007099,2.652516284
0.203462751,3.746900212,3.543437461
0.245697165,0.8231493,0.577452135
-0.209200501,0.466344928,0.67554543
0.192857753,0.390073865,0.197216112
-0.016767467,2.668193459,2.684960926
0.149920951,2.336664491,2.18674354
-0.052394296,3.912980152,3.965374447
-0.015476948,0.909252996,0.924729944
0.106302121,-0.512025222,-0.618327343
0.092109518,-4.906525558,-4.998635076
0.324075213,1.870992639,1.546917425
0.217733911,1.336774667,1.119040756
0.4445537,0.226468476,-0.218085224
0.092412628,0.933349282,0.840936654
-0.01014487,1.619374971,1.629519841
0.102201077,2.342620274,2.240419197
0.370883175,3.245949426,2.875066251
0.500693703,2.821734297,2.321040594
0.493903211,1.989527876,1.495624666
0.288126917,1.493486924,1.205360007
0.075074572,-2.424503801,-2.499578373
0.666247695,6.844537533,6.178289838
1.846049211,2.731153414,0.885104203
