date_monthly,SF,LA,USA,date_semi,NYC,Houston,Chicago,Seattle,Atlanta,date_yearly,Boston
1999-12-01,0.99146,0.99350,0.99546,1999-07-01,0.99835,0.98837,0.99888,1.00073,0.99270,1999-01-01,0.98451
2000-01-01,1.00000,1.00000,1.00000,2000-01-01,1.00000,1.00000,1.00000,1.00000,1.00000,2000-01-01,1.00000
2000-02-01,0.99988,1.00045,0.99544,2000-07-01,0.99681,0.99742,1.00355,1.00766,0.99192,2001-01-01,1.03765
2000-03-01,0.99673,0.99352,0.99000,2001-01-01,0.99971,1.00543,0.99978,1.01101,1.00231,2002-01-01,1.10853
2000-04-01,1.00116,0.99400,0.99095,2001-07-01,1.02420,1.01006,1.02864,1.04086,1.01240,2003-01-01,1.12585
2000-05-01,1.00268,0.99226,0.99232,2002-01-01,1.06006,1.02909,1.05879,1.04511,1.02826,2004-01-01,1.13130
2000-06-01,0.99816,0.99065,0.99053,2002-07-01,1.06479,1.04107,1.06105,1.04560,1.01849,2005-01-01,1.10104
2000-07-01,1.00421,0.99215,0.99190,2003-01-01,1.07530,1.04432,1.05643,1.02225,1.01242,2006-01-01,1.08940
2000-08-01,1.01269,1.00198,0.99566,2003-07-01,1.08640,1.04780,1.06616,1.02662,0.99711,2007-01-01,1.08427
2000-09-01,1.00828,0.99146,0.99039,2004-01-01,1.09950,1.07446,1.04992,0.99912,0.98068,2008-01-01,1.04042
2000-10-01,1.02434,0.99621,0.99285,2004-07-01,1.10177,1.04446,1.04936,0.98619,0.95369,2009-01-01,1.05924
2000-11-01,1.02761,0.99609,0.99420,2005-01-01,1.11629,1.06519,1.03819,0.98292,0.94600,2010-01-01,1.02118
2000-12-01,1.03109,0.99888,0.99692,2005-07-01,1.09051,1.02686,1.02689,0.96762,0.91490,2011-01-01,0.98600
2001-01-01,1.03510,0.99874,0.99395,2006-01-01,1.11237,1.02666,1.02170,0.98461,0.92047,2012-01-01,0.98717
2001-02-01,1.05523,0.99790,0.99453,2006-07-01,1.13841,1.01803,1.03407,1.00417,0.93010,2013-01-01,0.99256
2001-03-01,1.06129,1.00313,0.99797,2007-01-01,1.13924,1.01798,1.03711,1.01685,0.94337,2014-01-01,1.01246
2001-04-01,1.06898,0.99993,0.99519,2007-07-01,1.13891,0.99906,1.03998,1.02651,0.94763,2015-01-01,1.06125
