date_monthly,SF,LA,USA,date_semi,NYC,Houston,Chicago,Seattle,Atlanta,date_yearly,Boston
1984-10-01,0.99726,0.97787,0.98969,1984-07-01,0.99355,1.02008,0.98189,1.00022,0.97700,1984-01-01,0.96253
1984-11-01,#N/A,0.98619,0.99345,1985-01-01,1.00000,1.00000,1.00000,1.00000,1.00000,1985-01-01,1.00000
1984-12-01,1.00190,0.98804,0.99909,1985-07-01,1.02300,0.99130,1.01287,1.01082,1.03192,1986-01-01,1.05753
1985-01-01,#N/A,1.00000,1.00000,1986-01-01,1.05992,0.99955,1.03522,1.03462,1.06792,1987-01-01,1.09520
1985-02-01,1.00636,0.99900,1.00370,1986-07-01,1.09234,0.98773,1.05590,1.04286,1.09135,1988-01-01,1.13658
1985-03-01,#N/A,0.98787,1.00175,1987-01-01,1.10383,0.96608,1.05739,1.03039,1.08709,1989-01-01,1.16087
1985-04-01,1.01059,0.98507,1.00077,1987-07-01,1.12810,0.94029,1.06775,1.03528,1.09199,1990-01-01,1.14879
1985-05-01,#N/A,1.00233,1.00906,1988-01-01,1.16300,0.93382,1.08041,1.03950,1.08853,1991-01-01,1.13314
1985-06-01,1.01762,0.99587,1.00897,1988-07-01,1.16835,0.91499,1.08586,1.03595,1.06939,1992-01-01,1.12091
1985-07-01,#N/A,1.00946,1.01358,1989-01-01,1.17069,0.91707,1.07965,1.02564,1.05018,1993-01-01,1.10698
1985-08-01,1.05016,1.03477,1.01907,1989-07-01,1.18622,0.90408,1.08641,1.04517,1.04830,1994-01-01,1.09281
1985-09-01,#N/A,1.03279,1.01806,1990-01-01,1.18869,0.90593,1.08068,1.06153,1.03085,1995-01-01,1.09751
1985-10-01,1.05153,1.03622,1.01981,1990-07-01,1.19303,0.91530,1.08855,1.10311,0.99824,1996-01-01,1.11083
1985-11-01,#N/A,1.02976,1.02427,1991-01-01,1.19589,0.92920,1.08376,1.11906,0.98657,1997-01-01,1.13107
1985-12-01,1.05116,1.03144,1.02603,1991-07-01,1.20750,0.94135,1.09158,1.13923,0.99587,1998-01-01,1.15751
1986-01-01,#N/A,1.02681,1.02773,1992-01-01,1.21973,0.95545,1.09110,1.14354,0.98624,1999-01-01,1.17609
1986-02-01,1.08273,1.04143,1.03522,1992-07-01,1.21655,0.95852,1.09186,1.14317,0.98114,2000-01-01,1.19459
1986-03-01,#N/A,1.07442,1.04930,1993-01-01,1.21527,0.96182,1.08074,1.14105,0.98548,2001-01-01,1.23956
1986-04-01,1.09135,1.07499,1.06166,1993-07-01,1.21207,0.97272,1.08969,1.14998,0.98820,2002-01-01,1.32423
1986-05-01,#N/A,1.06374,1.05954,1994-01-01,1.22451,0.98064,1.09727,1.14754,1.00115,2003-01-01,1.34492
1986-06-01,1.09294,1.06503,1.05731,1994-07-01,1.22292,0.98235,1.10259,1.15002,0.99744,2004-01-01,1.35143
1986-07-01,#N/A,1.07413,1.06103,1995-01-01,1.22165,0.98275,1.11900,1.14028,1.02473,2005-01-01,1.31528
1986-08-01,1.12355,1.07583,1.06371,1995-07-01,1.22674,0.98355,1.13260,1.14503,1.03752,2006-01-01,1.30138
1986-09-01,#N/A,1.10403,1.06426,1996-01-01,1.22286,0.98349,1.12692,1.14199,1.05066,2007-01-01,1.29526
1986-10-01,1.13002,1.10403,1.06973,1996-07-01,1.21912,0.97889,1.12870,1.15062,1.05172,2008-01-01,1.24287
1986-11-01,#N/A,1.10212,1.07147,1997-01-01,1.22829,0.98093,1.13555,1.15454,1.05896,2009-01-01,1.26536
1986-12-01,1.11362,1.09037,1.07321,1997-07-01,1.24386,0.98746,1.16302,1.17433,1.06308,2010-01-01,1.21989
1987-01-01,1.11005,1.08161,1.07085,1998-01-01,1.26261,1.00769,1.18116,1.19968,1.08970,2011-01-01,1.17786
1987-02-01,1.11751,1.09714,1.07144,1998-07-01,1.27603,1.01818,1.19421,1.22877,1.10097,2012-01-01,1.17926
1987-03-01,1.10891,1.10274,1.07016,1999-01-01,1.27890,1.02922,1.20608,1.24243,1.10960,2013-01-01,1.18570
1987-04-01,1.11781,1.10992,1.07149,1999-07-01,1.27618,1.02079,1.20783,1.24555,1.10518,2014-01-01,1.20948
1987-05-01,1.12092,1.10868,1.07215,2000-01-01,1.27829,1.03279,1.20919,1.24464,1.11331,2015-01-01,1.26776
1987-06-01,1.11489,1.09576,1.06905,2000-07-01,1.27421,1.03013,1.21349,1.25417,1.10431,2016-01-01,1.30616
1987-07-01,1.12432,1.09304,1.06897,2001-01-01,1.27791,1.03841,1.20893,1.25834,1.11588,2017-01-01,1.32209
1987-08-01,1.12624,1.09769,1.07124,2001-07-01,1.30923,1.04318,1.24383,1.29549,1.12711,2018-01-01,1.35503
1987-09-01,1.12098,1.10207,1.06897,2002-01-01,1.35507,1.06284,1.28028,1.30078,1.14477,2019-01-01,1.38997
1987-10-01,1.12243,1.10956,1.07319,2002-07-01,1.36112,1.07521,1.28302,1.30139,1.13389,2020-01-01,1.42011
1987-11-01,1.11801,1.10772,1.07485,2003-01-01,1.37454,1.07857,1.27742,1.27233,1.12713,2021-01-01,#N/A
1987-12-01,1.11986,1.11299,1.08191,2003-07-01,1.38874,1.08217,1.28919,1.27777,1.11009,,
1988-01-01,1.12830,1.11287,1.08531,2004-01-01,1.40548,1.10970,1.26956,1.24354,1.09180,,
1988-02-01,1.12460,1.12717,1.08774,2004-07-01,1.40838,1.07872,1.26888,1.22745,1.06174,,
1988-03-01,1.13842,1.12563,1.08643,2005-01-01,1.42694,1.10012,1.25537,1.22337,1.05319,,
1988-04-01,1.11284,1.11961,1.08410,2005-07-01,1.39399,1.06054,1.24171,1.20434,1.01857,,
1988-05-01,1.11391,1.12234,1.08197,2006-01-01,1.42193,1.06033,1.23543,1.22548,1.02476,,
1988-06-01,1.11329,1.11665,1.08156,2006-07-01,1.45522,1.05141,1.25039,1.24983,1.03549,,
1988-07-01,1.12786,1.10778,1.08123,2007-01-01,1.45629,1.05136,1.25407,1.26561,1.05025,,
1988-08-01,1.14984,1.11732,1.08260,2007-07-01,1.45585,1.03183,1.25753,1.27763,1.05500,,
1988-09-01,1.11939,1.11195,1.07759,2008-01-01,1.42763,1.02892,1.22860,1.28001,1.03009,,
1988-10-01,1.11971,1.10900,1.07644,2008-07-01,1.44366,1.03280,1.20787,1.30171,1.01737,,
1988-11-01,1.12205,1.12205,1.08055,2009-01-01,1.49295,1.09581,1.23601,1.35320,1.03750,,
1988-12-01,1.12768,1.12275,1.08298,2009-07-01,1.46663,1.08083,1.22356,1.31305,1.00758,,
1989-01-01,1.13589,1.11462,1.07917,2010-01-01,1.45042,1.06918,1.20054,1.26966,0.98957,,
