Date,Shelter Weights,All Items Excluding Housing Weights,Housing Weights,All Items Less Housing Weights,CPI,Shelter,Housing
12/1/1999,,,,,100,100,100
12/1/2000,30.25,69.75,39.98,60.02,103.1,102.9,103.6
12/1/2001,31.04,68.96,40.52,59.48,104.8,107.2,106.6
12/1/2002,31.72,68.28,40.85,59.15,107.4,110.6,109.1
12/1/2003,32.88,67.12,42.09,57.91,109.6,113.1,111.5
12/1/2004,32.69,67.31,41.99,58.01,113.2,116.1,114.9
12/1/2005,32.26,67.74,42.38,57.62,117.0,119.2,119.5
12/1/2006,32.78,67.22,42.69,57.31,120.0,124.1,123.4
12/1/2007,32.6,67.4,42.47,57.53,124.9,128.0,127.1
12/1/2008,33.2,66.8,43.42,56.58,124.9,130.4,130.2
12/1/2009,32.29,67.71,41.96,58.04,128.4,130.8,129.8
12/1/2010,31.96,68.04,41.46,58.54,130.2,130.8,130.2
12/1/2011,31.54,68.46,41.02,58.98,134.2,133.3,132.6
12/1/2012,31.68,68.32,41.02,58.98,136.6,136.2,135.0
12/1/2013,32.03,67.97,41.45,58.55,138.6,139.7,137.9
12/1/2014,32.71,67.29,42.17,57.83,139.5,143.8,141.4
12/1/2015,33.15,66.85,42.24,57.76,140.4,148.4,144.3
12/1/2016,33.65,66.35,42.63,57.37,143.3,153.8,148.7
12/1/2017,32.84,67.16,41.77,58.23,146.3,158.7,152.9
12/1/2018,33.26,66.74,42.2,57.8,149.1,163.8,157.4
12/1/2019,33.16,66.84,42.11,57.89,152.5,169.1,161.6
12/1/2020,33.32,66.68,42.38,57.62,154.5,172.2,164.9
