observation_date,PRFI_GDP
1947-01-01,0.04335
1947-04-01,0.04299
1947-07-01,0.04995
1947-10-01,0.05873
1948-01-01,0.05774
1948-04-01,0.06027
1948-07-01,0.05832
1948-10-01,0.05413
1949-01-01,0.05152
1949-04-01,0.05127
1949-07-01,0.05403
1949-10-01,0.06111
1950-01-01,0.06530
1950-04-01,0.07095
1950-07-01,0.07319
1950-10-01,0.06713
1951-01-01,0.06267
1951-04-01,0.05367
1951-07-01,0.04951
1951-10-01,0.04976
1952-01-01,0.05077
1952-04-01,0.05197
1952-07-01,0.05100
1952-10-01,0.05159
1953-01-01,0.05150
1953-04-01,0.05124
1953-07-01,0.04982
1953-10-01,0.04988
1954-01-01,0.05022
1954-04-01,0.05353
1954-07-01,0.05673
1954-10-01,0.05895
1955-01-01,0.06154
1955-04-01,0.06169
1955-07-01,0.05956
1955-10-01,0.05620
1956-01-01,0.05488
1956-04-01,0.05465
1956-07-01,0.05309
1956-10-01,0.05102
1957-01-01,0.04917
1957-04-01,0.04790
1957-07-01,0.04685
1957-10-01,0.04706
1958-01-01,0.04571
1958-04-01,0.04549
1958-07-01,0.04738
1958-10-01,0.05091
1959-01-01,0.05555
1959-04-01,0.05617
1959-07-01,0.05486
1959-10-01,0.05298
1960-01-01,0.05336
1960-04-01,0.04932
1960-07-01,0.04746
1960-10-01,0.04793
1961-01-01,0.04755
1961-04-01,0.04701
1961-07-01,0.04853
1961-10-01,0.04902
1962-01-01,0.04884
1962-04-01,0.04981
1962-07-01,0.04905
1962-10-01,0.04865
1963-01-01,0.04962
1963-04-01,0.05229
1963-07-01,0.05149
1963-10-01,0.05269
1964-01-01,0.05410
1964-04-01,0.05155
1964-07-01,0.04990
1964-10-01,0.04968
1965-01-01,0.04844
1965-04-01,0.04807
1965-07-01,0.04705
1965-10-01,0.04602
1966-01-01,0.04517
1966-04-01,0.04269
1966-07-01,0.04028
1966-10-01,0.03623
1967-01-01,0.03481
1967-04-01,0.03870
1967-07-01,0.04020
1967-10-01,0.04252
1968-01-01,0.04208
1968-04-01,0.04234
1968-07-01,0.04248
1968-10-01,0.04398
1969-01-01,0.04521
1969-04-01,0.04473
1969-07-01,0.04365
1969-10-01,0.04094
1970-01-01,0.04042
1970-04-01,0.03875
1970-07-01,0.03919
1970-10-01,0.04337
1971-01-01,0.04489
1971-04-01,0.04927
1971-07-01,0.05153
1971-10-01,0.05376
1972-01-01,0.05620
1972-04-01,0.05593
1972-07-01,0.05607
1972-10-01,0.05814
1973-01-01,0.05875
1973-04-01,0.05567
1973-07-01,0.05435
1973-10-01,0.05129
1974-01-01,0.04858
1974-04-01,0.04651
1974-07-01,0.04548
1974-10-01,0.03959
1975-01-01,0.03787
1975-04-01,0.03872
1975-07-01,0.04022
1975-10-01,0.04144
1976-01-01,0.04419
1976-04-01,0.04581
1976-07-01,0.04499
1976-10-01,0.05009
1977-01-01,0.05140
1977-04-01,0.05666
1977-07-01,0.05664
1977-10-01,0.05648
1978-01-01,0.05762
1978-04-01,0.05875
1978-07-01,0.05941
1978-10-01,0.05888
1979-01-01,0.05749
1979-04-01,0.05697
1979-07-01,0.05641
1979-10-01,0.05433
1980-01-01,0.05024
1980-04-01,0.04178
1980-07-01,0.04313
1980-10-01,0.04617
1981-01-01,0.04404
1981-04-01,0.04277
1981-07-01,0.03871
1981-10-01,0.03500
1982-01-01,0.03350
1982-04-01,0.03233
1982-07-01,0.03221
1982-10-01,0.03454
1983-01-01,0.03987
1983-04-01,0.04331
1983-07-01,0.04638
1983-10-01,0.04740
1984-01-01,0.04770
1984-04-01,0.04771
1984-07-01,0.04673
1984-10-01,0.04649
1985-01-01,0.04591
1985-04-01,0.04571
1985-07-01,0.04592
1985-10-01,0.04688
1986-01-01,0.04870
1986-04-01,0.05160
1986-07-01,0.05228
1986-10-01,0.05244
1987-01-01,0.05224
1987-04-01,0.05195
1987-07-01,0.05118
1987-10-01,0.05048
1988-01-01,0.04930
1988-04-01,0.04923
1988-07-01,0.04874
1988-10-01,0.04846
1989-01-01,0.04734
1989-04-01,0.04558
1989-07-01,0.04486
1989-10-01,0.04383
1990-01-01,0.04359
1990-04-01,0.04143
1990-07-01,0.03899
1990-10-01,0.03685
1991-01-01,0.03484
1991-04-01,0.03555
1991-07-01,0.03649
1991-10-01,0.03672
1992-01-01,0.03809
1992-04-01,0.03912
1992-07-01,0.03885
1992-10-01,0.04016
1993-01-01,0.04033
1993-04-01,0.04083
1993-07-01,0.04227
1993-10-01,0.04376
1994-01-01,0.04435
1994-04-01,0.04525
1994-07-01,0.04453
1994-10-01,0.04365
1995-01-01,0.04278
1995-04-01,0.04135
1995-07-01,0.04248
1995-10-01,0.04305
1996-01-01,0.04381
1996-04-01,0.04499
1996-07-01,0.04480
1996-10-01,0.04380
1997-01-01,0.04369
1997-04-01,0.04370
1997-07-01,0.04374
1997-10-01,0.04401
1998-01-01,0.04453
1998-04-01,0.04586
1998-07-01,0.04687
1998-10-01,0.04750
1999-01-01,0.04750
1999-04-01,0.04822
1999-07-01,0.04820
1999-10-01,0.04786
2000-01-01,0.04841
2000-04-01,0.04749
2000-07-01,0.04681
2000-10-01,0.04673
2001-01-01,0.04743
2001-04-01,0.04822
2001-07-01,0.04930
2001-10-01,0.04897
2002-01-01,0.04990
2002-04-01,0.05094
