DATE,RHVRUSQ156N,RRVRUSQ156N
1/1/2000,1.6,7.9
4/1/2000,1.5,8
7/1/2000,1.6,8.2
10/1/2000,1.6,7.8
1/1/2001,1.5,8.2
4/1/2001,1.8,8.3
7/1/2001,1.9,8.4
10/1/2001,1.8,8.8
1/1/2002,1.7,9.1
4/1/2002,1.7,8.4
7/1/2002,1.7,9
10/1/2002,1.7,9.3
1/1/2003,1.7,9.4
4/1/2003,1.7,9.6
7/1/2003,1.9,9.9
10/1/2003,1.8,10.2
1/1/2004,1.7,10.4
4/1/2004,1.7,10.2
7/1/2004,1.7,10.1
10/1/2004,1.8,10
1/1/2005,1.8,10.1
4/1/2005,1.8,9.8
7/1/2005,1.9,9.9
10/1/2005,2,9.6
1/1/2006,2.1,9.5
4/1/2006,2.2,9.6
7/1/2006,2.5,9.9
10/1/2006,2.7,9.8
1/1/2007,2.8,10.1
4/1/2007,2.6,9.5
7/1/2007,2.7,9.8
10/1/2007,2.8,9.6
1/1/2008,2.9,10.1
4/1/2008,2.8,10
7/1/2008,2.8,9.9
10/1/2008,2.9,10.1
1/1/2009,2.7,10.1
4/1/2009,2.5,10.6
7/1/2009,2.6,11.1
10/1/2009,2.7,10.7
1/1/2010,2.6,10.6
4/1/2010,2.5,10.6
7/1/2010,2.5,10.3
10/1/2010,2.7,9.4
1/1/2011,2.6,9.7
4/1/2011,2.5,9.2
7/1/2011,2.4,9.8
10/1/2011,2.3,9.4
1/1/2012,2.2,8.8
4/1/2012,2.1,8.6
7/1/2012,1.9,8.6
10/1/2012,1.9,8.7
1/1/2013,2.1,8.6
4/1/2013,1.9,8.2
7/1/2013,1.9,8.3
10/1/2013,2.1,8.2
1/1/2014,2,8.3
4/1/2014,1.9,7.5
7/1/2014,1.8,7.4
10/1/2014,1.9,7
1/1/2015,1.9,7.1
4/1/2015,1.8,6.8
7/1/2015,1.9,7.3
10/1/2015,1.9,7
1/1/2016,1.7,7
4/1/2016,1.7,6.7
7/1/2016,1.8,6.8
10/1/2016,1.8,6.9
1/1/2017,1.7,7
4/1/2017,1.5,7.3
7/1/2017,1.6,7.5
10/1/2017,1.6,6.9
1/1/2018,1.5,7
4/1/2018,1.5,6.8
7/1/2018,1.6,7.1
10/1/2018,1.5,6.6
1/1/2019,1.4,7
4/1/2019,1.3,6.8
7/1/2019,1.4,6.8
10/1/2019,1.4,6.4
1/1/2020,1.1,6.6
4/1/2020,0.9,5.7
7/1/2020,0.9,6.4
10/1/2020,1,6.5
1/1/2021,0.9,6.8
