"Tag";"shortage indicator"
"2014-12-31 19:00:00";1.7
"2015-01-31 19:00:00";
"2015-02-28 19:00:00";
"2015-03-31 20:00:00";3.3
"2015-04-30 20:00:00";
"2015-05-31 20:00:00";
"2015-06-30 20:00:00";3.3
"2015-07-31 20:00:00";
"2015-08-31 20:00:00";
"2015-09-30 20:00:00";2.5
"2015-10-31 20:00:00";
"2015-11-30 19:00:00";
"2015-12-31 19:00:00";1.6
"2016-01-31 19:00:00";
"2016-02-29 19:00:00";
"2016-03-31 20:00:00";1.9
"2016-04-30 20:00:00";
"2016-05-31 20:00:00";
"2016-06-30 20:00:00";2.1
"2016-07-31 20:00:00";
"2016-08-31 20:00:00";
"2016-09-30 20:00:00";3.8
"2016-10-31 20:00:00";
"2016-11-30 19:00:00";
"2016-12-31 19:00:00";2.8
"2017-01-31 19:00:00";
"2017-02-28 19:00:00";
"2017-03-31 20:00:00";5.1
"2017-04-30 20:00:00";
"2017-05-31 20:00:00";
"2017-06-30 20:00:00";8.4
"2017-07-31 20:00:00";
"2017-08-31 20:00:00";
"2017-09-30 20:00:00";10.3
"2017-10-31 20:00:00";
"2017-11-30 19:00:00";
"2017-12-31 19:00:00";13.1
"2018-01-31 19:00:00";
"2018-02-28 19:00:00";
"2018-03-31 20:00:00";16.6
"2018-04-30 20:00:00";
"2018-05-31 20:00:00";
"2018-06-30 20:00:00";20.2
"2018-07-31 20:00:00";
"2018-08-31 20:00:00";
"2018-09-30 20:00:00";16.4
"2018-10-31 20:00:00";
"2018-11-30 19:00:00";
"2018-12-31 19:00:00";13.2
"2019-01-31 19:00:00";
"2019-02-28 19:00:00";
"2019-03-31 20:00:00";9.6
"2019-04-30 20:00:00";
"2019-05-31 20:00:00";
"2019-06-30 20:00:00";8.4
"2019-07-31 20:00:00";
"2019-08-31 20:00:00";
"2019-09-30 20:00:00";5.6
"2019-10-31 20:00:00";
"2019-11-30 19:00:00";
"2019-12-31 19:00:00";5.4
"2020-01-31 19:00:00";
"2020-02-29 19:00:00";
"2020-03-31 20:00:00";26
"2020-04-30 20:00:00";
"2020-05-31 20:00:00";
"2020-06-30 20:00:00";7.9
"2020-07-31 20:00:00";
"2020-08-31 20:00:00";
"2020-09-30 20:00:00";7.5
"2020-10-31 20:00:00";
"2020-11-30 19:00:00";
"2020-12-31 19:00:00";18.1
"2021-01-31 19:00:00";
"2021-02-28 19:00:00";
"2021-03-31 20:00:00";45
"2021-04-30 20:00:00";
"2021-05-31 20:00:00";
"2021-06-30 20:00:00";63.8
"2021-07-31 20:00:00";69.2
"2021-08-31 20:00:00";77.4
"2021-09-30 20:00:00";70.4
"2021-10-31 20:00:00";74.4
"2021-11-30 19:00:00";81.9
"2021-12-31 19:00:00";67.3
"2022-01-31 19:00:00";74.6
"2022-02-28 19:00:00";80.2
"2022-03-31 20:00:00";75
"2022-04-30 20:00:00";77.2
"2022-05-31 20:00:00";74.1
"2022-06-30 20:00:00";73.3
"2022-07-31 20:00:00";62
"2022-08-31 20:00:00";65.8
"2022-09-30 20:00:00";63.8
"2022-10-31 20:00:00";59.3
"2022-11-30 19:00:00";50.7
"2022-12-31 19:00:00";48.4
"2023-01-31 19:00:00";45.4
"2023-02-28 19:00:00";41.6
