Date,Machinery,Motor_Vehicles,Computer,Electrical,Other_Trans
1990-01-01,NA,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA,NA
1990-10-01,NA,NA,NA,NA,NA
1991-01-01,5.2,2.9,2.4,4.6,NA
1991-04-01,2.8,3.9,1.5,4.2,NA
1991-07-01,2.5,3.0,1.4,3.6,NA
1991-10-01,1.7,1.9,0.6,2.4,NA
1992-01-01,1.5,3.5,5.9,1.9,NA
1992-04-01,1.0,2.2,1.5,1.1,NA
1992-07-01,0.5,0.1,0.8,1.4,NA
1992-10-01,0.7,0.0,1.3,0.4,NA
1993-01-01,1.1,0.7,0.4,0.4,NA
1993-04-01,0.1,-0.7,0.4,0.2,NA
1993-07-01,0.2,0.6,2.5,0.6,NA
1993-10-01,0.7,0.0,2.0,1.5,NA
1994-01-01,1.1,0.6,1.4,2.0,NA
1994-04-01,4.0,2.4,0.8,2.6,NA
1994-07-01,5.8,6.5,0.8,3.4,NA
1994-10-01,10.9,7.9,5.7,4.4,NA
1995-01-01,20.0,19.6,5.9,7.1,NA
1995-04-01,17.2,17.4,3.2,8.2,NA
1995-07-01,15.3,3.5,4.3,7.0,NA
1995-10-01,12.9,6.4,4.3,4.8,NA
1996-01-01,6.6,5.3,3.5,4.3,NA
1996-04-01,3.1,2.7,1.1,1.7,NA
1996-07-01,2.6,0.0,2.4,1.8,NA
1996-10-01,2.4,1.4,2.4,1.3,NA
1997-01-01,3.3,4.1,2.1,1.8,NA
1997-04-01,3.8,3.2,0.9,2.2,NA
1997-07-01,3.4,1.3,0.7,1.4,NA
1997-10-01,5.9,2.3,1.5,3.3,NA
1998-01-01,6.5,1.6,5.1,4.3,NA
1998-04-01,6.8,5.1,3.6,3.5,NA
1998-07-01,8.0,4.2,1.5,1.4,NA
1998-10-01,4.5,4.0,1.4,0.8,NA
1999-01-01,2.0,0.2,0.0,0.6,NA
1999-04-01,1.9,1.8,0.0,0.2,NA
1999-07-01,1.5,0.0,1.4,2.0,NA
1999-10-01,1.5,0.0,1.0,2.4,NA
2000-01-01,3.6,4.1,5.6,2.7,NA
2000-04-01,5.4,4.2,8.7,9.8,NA
2000-07-01,10.4,7.6,13.8,13.9,NA
2000-10-01,12.8,5.5,15.7,15.7,NA
2001-01-01,7.6,8.8,12.8,10.9,NA
2001-04-01,6.9,2.3,4.1,8.4,NA
2001-07-01,4.3,6.1,5.8,2.9,NA
2001-10-01,1.4,0.8,2.8,3.0,NA
2002-01-01,0.4,1.8,1.6,3.1,NA
2002-04-01,1.7,1.1,1.9,1.4,NA
2002-07-01,1.0,1.1,4.0,2.0,NA
2002-10-01,1.1,2.6,3.6,2.4,NA
2003-01-01,1.7,4.4,2.0,2.8,NA
2003-04-01,1.9,0.0,3.9,1.7,NA
2003-07-01,1.6,2.4,1.4,1.1,NA
2003-10-01,0.6,2.6,0.5,0.8,NA
2004-01-01,1.0,0.7,0.7,1.8,NA
2004-04-01,7.0,3.3,1.5,3.6,NA
2004-07-01,9.6,6.9,4.6,6.6,NA
2004-10-01,11.4,6.2,1.7,10.7,NA
2005-01-01,14.4,8.0,1.5,4.7,NA
2005-04-01,11.4,10.1,1.1,4.2,NA
2005-07-01,7.9,4.8,3.6,5.0,NA
2005-10-01,6.3,0.4,1.8,6.9,NA
2006-01-01,8.3,1.0,3.6,7.1,NA
2006-04-01,9.0,-0.5,4.5,10.3,NA
2006-07-01,15.5,3.8,3.5,11.2,NA
2006-10-01,26.6,4.7,3.8,18.1,NA
2007-01-01,33.0,8.9,7.2,13.9,NA
2007-04-01,26.1,11.6,10.8,14.4,NA
2007-07-01,30.8,6.9,8.6,12.6,NA
2007-10-01,32.2,5.2,4.0,10.3,NA
2008-01-01,30.0,9.4,2.7,8.0,NA
2008-04-01,21.6,5.4,7.1,10.4,NA
2008-07-01,22.1,6.8,6.6,12.2,NA
2008-10-01,13.1,1.1,5.3,6.2,NA
2009-01-01,4.4,1.2,0.0,0.6,NA
2009-04-01,2.0,0.0,4.8,1.4,NA
2009-07-01,3.0,1.3,3.2,1.8,NA
2009-10-01,4.0,2.3,8.7,5.5,NA
2010-01-01,3.8,0.5,11.7,7.3,NA
2010-04-01,8.2,5.4,19.9,23.2,NA
2010-07-01,14.7,7.8,30.1,27.8,NA
2010-10-01,26.7,13.3,22.8,33.0,NA
2011-01-01,23.4,11.2,26.2,32.7,NA
2011-04-01,27.6,18.1,29.0,25.6,NA
2011-07-01,24.9,12.4,16.2,13.6,NA
2011-10-01,21.1,8.6,8.5,12.6,NA
2012-01-01,14.7,3.5,9.2,8.6,NA
2012-04-01,10.4,3.7,11.7,4.4,NA
2012-07-01,5.2,2.0,5.4,4.4,NA
2012-10-01,2.7,1.3,3.3,4.9,NA
2013-01-01,1.7,-0.7,5.7,3.0,NA
2013-04-01,3.0,1.9,2.4,2.8,NA
2013-07-01,2.7,2.3,4.5,1.9,NA
2013-10-01,3.5,1.1,2.7,1.4,NA
2014-01-01,3.9,3.8,2.8,2.7,NA
2014-04-01,3.3,5.5,7.0,2.7,NA
2014-07-01,4.6,4.5,5.9,2.8,NA
2014-10-01,3.1,3.2,4.0,2.1,NA
2015-01-01,1.6,1.7,4.2,0.9,NA
2015-04-01,1.1,1.3,5.4,1.6,NA
2015-07-01,1.0,1.4,4.5,3.1,NA
2015-10-01,2.0,3.1,5.2,1.9,NA
2016-01-01,1.1,-0.2,5.3,2.0,NA
2016-04-01,1.5,0.7,3.8,2.0,NA
2016-07-01,1.0,1.9,4.0,3.5,NA
2016-10-01,1.1,1.5,7.5,6.1,NA
2017-01-01,3.3,1.4,3.2,4.4,NA
2017-04-01,5.6,0.8,8.6,6.3,NA
2017-07-01,12.2,4.2,15.5,14.7,NA
2017-10-01,16.2,8.9,17.2,21.6,NA
2018-01-01,25.5,10.5,19.7,29.1,NA
2018-04-01,26.8,15.6,35.2,36.4,NA
2018-07-01,39.5,34.3,50.6,38.0,NA
2018-10-01,39.3,28.0,37.1,31.9,NA
2019-01-01,41.6,13.9,31.0,40.3,NA
2019-04-01,21.0,15.6,15.3,25.3,NA
2019-07-01,14.4,14.3,18.2,14.0,NA
2019-10-01,10.1,2.5,13.7,9.5,19.5
2020-01-01,9.4,8.2,9.1,7.4,21.3
2020-04-01,32.2,45.3,40.6,38.4,100.0
2020-07-01,11.8,8.3,15.3,11.8,57.6
2020-10-01,11.3,5.9,15.0,13.8,60.3
2021-01-01,17.2,32.6,30.5,32.4,69.5
2021-04-01,43.2,68.0,78.3,76.5,62.5
2021-07-01,68.7,91.4,89.7,78.7,72.7
2021-10-01,95.0,94.2,96.3,99.8,100.0
2022-01-01,100.0,82.0,96.6,100.0,100.0
2022-04-01,84.7,93.4,100.0,100.0,100.0
2022-07-01,83.5,89.9,100.0,83.5,100.0
2022-10-01,97.7,83.3,99.3,88.1,93.0
2023-01-01,97.4,88.5,89.5,90.2,68.0
,,,,,
