GP19A9,German,English,Unit
0510 10 300,"Kokskohle (Steinkohle mit einem oberen Heizwert von mehr als 23.865 kJ/kg auf Nassprobe, aschefrei, geeignet zur Herstellung von Hochofenkoks)","Coky coal (hard coal with an upper heating value of more than 23,865 kJ/kg on wet sample, ash -free, suitable for the production of Hochofenkoks)",t + TJ
0510 10 500,"Kesselkohle (Steinkohle mit einem oberen Heizwert von mehr als 23.865 kJ/kg auf Nassprobe, aschefrei, zur Dampferzeugung und Raumheizung, einschl. Hartbraunkohle)","Kessel coal (hard coal with an upper heating value of more than 23,865 kJ/kg on wet sample, ash -free, for steam generation and room heating, including hardbraunkael)",t + TJ
0520 10 000,"Braunkohle (Kohle mit einem oberen Heizwert von weniger als 23.865 kJ/kg auf Nassprobe, aschefrei)","Brown coal (coal with an upper heating value of less than 23,865 kJ/kg on wet sample, ash -free)",t + TJ
0599 99 000,Veredlung von Erzeugnissen dieser Güterabteilung,Finishing products of this goods department,EUR
0610 10 300,"Rohöl (natürlich vorkommendes Mineralöl, bestehend aus zahlreichen Kohlenwasserstoffen, einschl. Öl aus Ölschiefer, Asphaltsand usw.)","Crude oil (naturally occurring mineral oil, consisting of numerous hydrocarbons, including oil from oil slate, asphalt, etc.)",t + TJ
0610 10 500,"Erdgaskondensate (Flüssigerdgas, die Erdgasanteile, die in Separatoren, Vor-Ort-Einrichtungen oder Gasaufbereitungsanlagen verflüssigt werden (LPG, Naturbenzin, Gasöl))","Natural gas condensates (liquid gas, the natural gas components that are liquefied in separators, on-site facilities or gas treatment plants (LPG, natural gasoline, gas oil)))",t + TJ
0610 20 000,Bituminöse oder ölhaltige Schiefer und Sande (organische Stoffe oder bituminöse o.a. hochviskoses Erdöl enthaltendes Sedimentgestein),Bituminous or oil -containing slate and sands (organic fabrics or bituminous or similar to high viscosic petroleum stones),t + TJ
0620 10 000,"Erdgas (methanreiches Verbrennungsgas aus Lagerstätten), verflüssigt oder gasförmig","Natural gas (methane -rich combustion gas from deposits), liquefied or gaseous",MWh
0710 10 000,Eisenerze und ihre Konzentrate (ohne Schwefelkiesabbrände),Iron ore and their concentrates (without sulfur gravel bractions),t-eff.
0721 10 000,Uran- und Thoriumerze und deren Konzentrate,Uranium and thorium ores and their concentrates,t
0729 11 000,Kupfererze und ihre Konzentrate,Copper ores and their concentrate,t-eff.
0729 12 000,Nickelerze und ihre Konzentrate,Nickel ore and their concentrates,t-eff.
0729 13 000,Aluminiumerze und ihre Konzentrate,Aluminum ores and their concentrates,t-eff.
0729 14 000,Edelmetallerze und ihre Konzentrate,Edel metal and their concentrates,t-eff.
0729 15 000,"Zinn-, Blei- und Zinkerze und ihre Konzentrate","Tin, lead and zinc ores and their concentrates",t-eff.
0729 19 000,Andere NE-Metallerze und ihre Konzentrate,Other ne metal and their concentrate,t-eff.
0799 99 000,Veredlung von Erzeugnissen dieser Güterabteilung,Finishing products of this goods department,EUR
0811 11 330,roh oder grob behauen,rough or rough,t
0811 11 360,"lediglich zerteilt, in Blöcken oder in Platten","Only divided, in blocks or plates",t
0811 11 500,"Ecaussine u.a. Werksteine aus Kalkstein; Alabaster, roh, auch grob behauen oder lediglich zerteilt","Ecaussine and others, including workshops made of limestone; Alabaster, raw, also roughly hewn or only cut",t
0811 12 330,roh oder grob behauen,rough or rough,t
0811 12 360,"lediglich zerteilt, in Blöcken oder in Platten","Only divided, in blocks or plates",t
0811 12 503,roh oder grob behauen,rough or rough,t
0811 12 506,"lediglich zerteilt, in Blöcken oder in Platten","Only divided, in blocks or plates",t
0811 12 900,"Porphyr, Basalt, Quarzite u.a. Werksteine, roh, grob behauen oder lediglich zerteilt, in Blöcken oder in Platten","Porphyr, basalt, quartzite, etc. Workstones, raw, roughly hewn or only divided, in blocks or in plates",t
0811 20 300,Gipsstein; Anhydrit,Plasterstone; Anhydrite,t
0811 20 503,Kalkstein für die Herstellung von Zement; Branntkalk und Kalkstein für Industrie und Umwelttechnik,Limestone for the production of cement; Burnt limestone and limestone for industry and environmental technology,t
0811 20 506,"Kalkstein, gemahlen","Lime stone, ground",t
0811 30 100,Kreide,chalk,t
0811 30 300,"Dolomit, weder gebrannt noch gesintert","Dolomite, neither burned nor sintered",t
0811 40 000,"Tonschiefer, auch grob behauen oder lediglich zerteilt, in Blöcken oder in Platten","Tonal slate, also roughly hewn or only divided, in blocks or in plates",t
0812 11 500,Kieselsaure Sande und Quarzsande (Industriesand),Kish acid Sande and QuartzSande (industrialand),t
0812 11 900,Bausand (z.B. als Betonzuschlag) u.a. natürliche Sande (ohne metallhaltige Sande),"Building sand (e.g. as a concrete surcharge), among other things, natural sands (without metal -containing sandes)",t
0812 12 103,Baukies (z.B. als Betonzuschlag) u.a. Kies,Baukies (e.g. as a concrete surcharge),t
0812 12 108,"Feldsteine, Feuerstein (Flintstein) und Kiesel","Field stones, flint (flint stone) and pebbles",t
0812 12 301,Gebrochener Kalkstein und Dolomit,Broken limestone and dolomite,t
0812 12 303,Brechsande und Körnungen,Breaklands and grains,t
0812 12 305,Wasserbausteine,Water modules,t
0812 12 307,"Schrotten, Korngröße 35 bis 60 mm","Scrap, grain size 35 to 60 mm",t
0812 12 309,"Andere gebrochene Natursteine, a.n.g.","Other broken natural stones, A.N.G.",t
0812 12 500,"Körnungen, Splitt und Mehl von Marmor","Grains, grit and flour from marble",t
0812 12 903,"Körnungen, Splitt von anderen Natursteinen (ohne Marmor)","Grains, grit of other natural stones (without marble)",t
0812 12 905,Mehl von anderen Natursteinen (ohne Marmor- und Kalksteinmehl),Flour from other natural stones (without marble and limestone flour),t
0812 13 000,"Mischgut aus Schlacken u.ä. Industrieabfällen, auch in Verbindung mit zerkleinerten Natursteinen und unter Zusatz von bitumenhaltigen Bindemitteln","Mixed material of slag, etc. Industrial waste, also in conjunction with shredded natural stones and with the addition of binding -containing binders",t
0812 21 400,"Kaolin, nicht kalziniert","Kaolin, not calculated",t
0812 21 600,"Anderer kaolinhaltiger Ton und Lehm, auch gebrannt","Other tone containing kaolin and clay, also burned",t
0812 22 100,"Bentonit, Bleich- und Walkerden","Bentonite, bleach and walker",t
0812 22 300,Feuerfester Ton und Lehm,Fire -proof tone and clay,t
0812 22 501,Keramischer Ton,Ceramic tone,t
0812 22 504,Anderer Ton und Lehm,Other tone and clay,t
0812 22 508,"Andalusit, Cyanit, Sillimanit und Mullit sowie Schamotte-Körnungen und Ton-Dinasmassen","Andalusite, cyanite, sillimanite and mullit as well as chamotte grain and sound dinas masses",t
0891 11 000,"Natürliche Calciumphosphate, natürliche Aluminiumcalciumphosphate und Phosphatkreiden","Natural calcium phosphates, natural aluminum calcium phosphates and phosphate chalks",t
0891 12 000,"Schwefelkies, nicht geröstet; Schwefel, roh oder nicht raffiniert, einschl. Schwefel als Nebenprodukt","Sulfur gravel, not roasted; Sulfur, raw or not refined, including sulfur as a by -product",t
0891 19 000,Andere chemische Minerale,Other chemical minerals,t
