Date,reserves
2022-09-21,942048
2022-09-14,945813
2022-09-07,946838
2022-08-31,947325
2022-08-24,949767
2022-08-17,953902
2022-08-10,955377
2022-08-03,946852
2022-07-27,945539
2022-07-20,935247
2022-07-13,948888
2022-07-06,953650
2022-06-29,952300
2022-06-22,953333
2022-06-15,952158
2022-06-08,950270
2022-06-01,950054
2022-05-25,953699
2022-05-18,952648
2022-05-11,951128
2022-05-04,953619
2022-04-27,951702
2022-04-20,951838
2022-04-13,951984
2022-04-06,953292
2022-03-30,951799
2022-03-23,950477
2022-03-16,947846
2022-03-09,947325
2022-03-02,963162
2022-02-23,971413
2022-02-16,977699
2022-02-09,977779
2022-02-02,975061
2022-01-26,977626
2022-01-19,977863
2022-01-12,978927
2022-01-05,973889
2021-12-29,964688
2021-12-22,969749
2021-12-15,972517
2021-12-08,973535
2021-12-01,971828
2021-11-24,967271
2021-11-17,967635
2021-11-10,964762
2021-11-03,961365
2021-10-27,936391
2021-10-20,905287
2021-10-13,885043
2021-10-06,870620
2021-09-29,859539
2021-09-22,851363
2021-09-15,850975
2021-09-08,849568
2021-09-01,856787
2021-08-25,854410
2021-08-18,854771
2021-08-11,850208
2021-08-04,847781
2021-07-28,845801
2021-07-21,845644
2021-07-14,843402
2021-07-07,839382
2021-06-30,827659
2021-06-23,829727
2021-06-16,831147
2021-06-09,823889
2021-06-02,829441
2021-05-26,831499
2021-05-19,827305
2021-05-12,827491
2021-05-05,825973
2021-04-28,816480
2021-04-21,812487
2021-04-14,807331
2021-04-07,798915
2021-03-31,790041
2021-03-24,799930
2021-03-17,803668
2021-03-10,800148
2021-03-03,800586
2021-02-24,796625
2021-02-17,794321
2021-02-10,790165
2021-02-03,787616
2021-01-27,778484
2021-01-20,762656
2021-01-13,775003
2021-01-06,770506
2020-12-30,767807
2020-12-23,770976
2020-12-16,772815
2020-12-09,767734
2020-12-02,769745
2020-11-25,770091
2020-11-18,768196
2020-11-11,766661
2020-11-04,761947
2020-10-28,754166
2020-10-21,747633
2020-10-14,745080
2020-10-07,740507
2020-09-30,731618
2020-09-23,722703
2020-09-16,720704
2020-09-09,720979
2020-09-02,732945
2020-08-26,735560
2020-08-19,729045
2020-08-12,723510
2020-08-05,721079
2020-07-29,710964
2020-07-22,705387
2020-07-15,708984
2020-07-08,706027
2020-07-01,695052
2020-06-24,694623
2020-06-17,686007
2020-06-10,675541
2020-06-03,666056
2020-05-27,657680
2020-05-20,643792
2020-05-13,627404
2020-05-06,614755
2020-04-29,594210
2020-04-22,570640
2020-04-15,552079
2020-04-08,532371
2020-04-01,512834
2020-03-25,481339
2020-03-18,465635
2020-03-11,460129
2020-03-04,469040
2020-02-26,474973
2020-02-19,477016
2020-02-12,476201
2020-02-05,475770
2020-01-29,475796
2020-01-22,473473
2020-01-15,474291
2020-01-08,475642
2020-01-01,473150
2019-12-25,475579
2019-12-18,476327
2019-12-11,479192
2019-12-04,484171
2019-11-27,483356
2019-11-20,483761
2019-11-13,485724
2019-11-06,487077
2019-10-30,485886
2019-10-23,484366
2019-10-16,484528
2019-10-09,484757
2019-10-02,480443
2019-09-25,476654
2019-09-18,472920
2019-09-11,468687
2019-09-04,466583
2019-08-28,477604
2019-08-21,486850
2019-08-14,487144
2019-08-07,487676
2019-07-31,486936
2019-07-24,487025
2019-07-17,480773
2019-07-10,487373
2019-07-03,489015
2019-06-26,489961
