date,implied_real_spot_yield
2016-01-31,-1.29
2016-02-29,-1.29
2016-03-31,-1.51
2016-04-30,-1.38
2016-05-31,-1.39
2016-06-30,-2.01
2016-07-31,-2.15
2016-08-31,-2.50
2016-09-30,-2.42
2016-10-31,-2.51
2016-11-30,-2.32
2016-12-31,-2.54
2017-01-31,-2.56
2017-02-28,-2.54
2017-03-31,-2.68
2017-04-30,-2.60
2017-05-31,-2.55
2017-06-30,-2.28
2017-07-31,-2.26
2017-08-31,-2.48
2017-09-30,-2.17
2017-10-31,-2.13
2017-11-30,-2.05
2017-12-31,-2.12
2018-01-31,-1.89
2018-02-28,-1.78
2018-03-31,-1.97
2018-04-30,-1.89
2018-05-31,-2.11
2018-06-30,-1.99
2018-07-31,-1.94
2018-08-31,-1.98
2018-09-30,-2.03
2018-10-31,-2.05
2018-11-30,-2.23
2018-12-31,-2.19
2019-01-31,-2.21
2019-02-28,-2.06
2019-03-31,-2.58
2019-04-30,-2.38
2019-05-31,-2.70
2019-06-30,-2.63
2019-07-31,-3.04
2019-08-31,-3.12
2019-09-30,-3.19
2019-10-31,-2.63
2019-11-30,-2.51
2019-12-31,-2.46
2020-01-31,-2.62
2020-02-29,-2.63
2020-03-31,-2.63
2020-04-30,-2.55
2020-05-31,-2.93
2020-06-30,-2.88
2020-07-31,-3.08
2020-08-31,-3.15
2020-09-30,-3.13
2020-10-31,-3.16
2020-11-30,-3.08
2020-12-31,-3.08
2021-01-31,-3.16
2021-02-28,-2.92
2021-03-31,-3.13
2021-04-30,-3.00
2021-05-31,-3.17
2021-06-30,-2.97
2021-07-31,-3.25
2021-08-31,-3.26
2021-09-30,-3.31
2021-10-31,-3.41
2021-11-30,-3.89
2021-12-31,-3.26
2022-01-31,-3.20
2022-02-28,-3.44
2022-03-31,-3.27
2022-04-30,-2.98
2022-05-31,-2.64
2022-06-30,-1.52
2022-07-31,-2.03
2022-08-31,-1.61
2022-09-30,0.21
