Date,origin
2004-04-01,112.0
2004-07-01,117.5
2004-10-01,116.0
2005-01-01,109.8
2005-04-01,100.4
2005-07-01,150.7
2005-10-01,159.7
2006-01-01,108.6
2006-04-01,101.3
2006-07-01,114.3
2006-10-01,129.1
2007-01-01,104.5
2007-04-01,93.6
2007-07-01,108.1
2007-10-01,114.6
2008-01-01,98.9
2008-04-01,88.9
2008-07-01,98.0
2008-10-01,93.5
2009-01-01,72.8
2009-04-01,65.0
2009-07-01,69.4
2009-10-01,81.0
2010-01-01,66.5
2010-04-01,65.3
2010-07-01,83.8
2010-10-01,89.8
2011-01-01,82.0
2011-04-01,79.2
2011-07-01,92.4
2011-10-01,99.4
2012-01-01,88.2
2012-04-01,89.6
2012-07-01,102.0
2012-10-01,107.6
2013-01-01,110.0
2013-04-01,99.2
2013-07-01,116.0
2013-10-01,127.6
2014-01-01,110.1
2014-04-01,108.9
2014-07-01,125.9
2014-10-01,132.6
2015-01-01,125.5
2015-04-01,117.0
2015-07-01,148.3
2015-10-01,150.8
2016-01-01,131.5
2016-04-01,123.9
2016-07-01,148.9
2016-10-01,149.8
2017-01-01,142
2017-04-01,132.4
2017-07-01,148.4
2017-10-01,150.6
2018-01-01,137.2
2018-04-01,130.9
2018-07-01,151.2
2018-10-01,157.6
2019-01-01,144.3
2019-04-01,139.1
2019-07-01,155.6
2019-10-01,159.1
2020-01-01,158.6
2020-04-01,150.3
2020-07-01,135.9
2020-10-01,168.2
2021-01-01,161.6
2021-04-01,152.7
2021-07-01,201.9
2021-10-01,198.8
2022-01-01,180.5
2022-04-01,176.6
2022-07-01,198.8
2022-10-01,185.4
2023-01-01,186.2
2023-04-01,161.7
