date,None,Demand,Labor,Materials,Other,Financial
1990-01-01,NA,NA,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA,NA,NA
1990-10-01,NA,NA,NA,NA,NA,NA
1991-01-01,54.2,21.4,15.7,7.9,NA,NA
1991-04-01,59.6,34.6,0.8,3.1,NA,NA
1991-07-01,61.9,24.8,3.7,3.3,NA,NA
1991-10-01,59.2,35.3,3.3,1.8,NA,NA
1992-01-01,63.7,33.7,2.3,2.9,NA,NA
1992-04-01,60.1,31.2,1.3,2.1,NA,NA
1992-07-01,62.6,33.1,0.1,2.3,NA,NA
1992-10-01,61.1,38.7,0.0,0.2,NA,NA
1993-01-01,24.5,67.4,0.1,0.3,NA,NA
1993-04-01,29.5,64.9,0.7,0.2,NA,NA
1993-07-01,20.7,78.5,0.1,0.4,NA,NA
1993-10-01,34.3,67.2,0.2,0.2,NA,NA
1994-01-01,35.9,58.3,0.1,0.8,NA,NA
1994-04-01,49.9,40.7,0.8,2.8,NA,NA
1994-07-01,49.0,34.1,9.5,15.0,NA,NA
1994-10-01,60.9,25.4,3.3,7.6,NA,NA
1995-01-01,69.3,15.6,2.4,15.4,NA,NA
1995-04-01,61.4,16.9,3.7,12.1,NA,NA
1995-07-01,63.3,24.3,1.1,6.9,NA,NA
1995-10-01,66.0,15.6,0.6,13.2,NA,NA
1996-01-01,68.0,25.8,1.2,5.3,4.1,NA
1996-04-01,62.7,27.3,1.2,3.8,4.1,NA
1996-07-01,57.1,29.7,1.1,7.1,5.8,NA
1996-10-01,59.5,28.1,0.5,1.3,6.8,NA
1997-01-01,61.2,28.1,2.5,5.7,3.8,NA
1997-04-01,67.7,24.8,1.5,3.0,3.3,NA
1997-07-01,71.0,22.6,0.6,4.0,2.2,NA
1997-10-01,62.5,20.2,2.9,11.5,11.8,NA
1998-01-01,69.9,14.6,2.1,4.4,8.2,NA
1998-04-01,69.5,8.4,2.0,12.9,5.9,NA
1998-07-01,67.2,9.1,4.5,13.1,2.5,NA
1998-10-01,66.2,9.9,3.9,10.6,5.5,NA
1999-01-01,63.4,15.4,1.6,10.2,7.1,NA
1999-04-01,71.5,13.1,2.2,7.5,6.0,NA
1999-07-01,73.6,14.0,2.2,9.8,3.5,NA
1999-10-01,67.9,13.6,2.4,11.7,4.2,NA
2000-01-01,62.1,18.9,3.4,15.8,7.1,NA
2000-04-01,60.9,12.7,7.8,13.9,6.4,NA
2000-07-01,57.5,11.7,7.0,19.1,7.4,NA
2000-10-01,53.4,10.4,9.0,18.7,10.1,NA
2001-01-01,62.9,13.9,5.3,17.2,9.1,NA
2001-04-01,63.6,18.6,3.3,11.6,10.1,NA
2001-07-01,58.8,20.2,2.6,13.0,11.2,NA
2001-10-01,51.7,33.3,3.1,7.1,13.8,NA
2002-01-01,52.7,31.7,4.6,8.6,7.0,2.8
2002-04-01,58.0,22.4,3.1,8.2,12.0,1.1
2002-07-01,57.8,29.1,3.5,8.9,11.7,1.9
2002-10-01,56.6,27.9,4.1,9.7,11.8,3.4
2003-01-01,52.7,35.5,1.5,8.9,7.9,3.1
2003-04-01,57.8,25.3,2.6,4.8,9.1,4.0
2003-07-01,53.3,29.8,2.1,6.6,12.9,3.5
2003-10-01,62.0,23.5,2.5,6.2,9.9,2.3
2004-01-01,57.9,30.8,2.7,7.1,7.2,3.6
2004-04-01,57.6,24.5,2.3,8.7,7.9,7.2
2004-07-01,62.7,21.6,2.4,8.4,8.3,3.0
2004-10-01,58.3,26.4,2.5,7.8,8.2,3.2
2005-01-01,56.8,27.5,2.0,7.0,7.8,2.8
2005-04-01,55.7,30.3,2.7,9.7,7.2,2.6
2005-07-01,61.6,28.3,2.3,6.5,8.1,2.7
2005-10-01,57.6,25.0,2.1,3.4,12.7,2.9
2006-01-01,66.2,26.3,3.0,1.7,7.8,3.4
2006-04-01,62.3,23.0,2.8,2.2,12.8,3.4
2006-07-01,65.5,20.7,3.2,4.1,11.5,1.9
2006-10-01,64.6,18.5,6.7,5.7,7.5,1.4
2007-01-01,57.9,22.5,7.0,11.4,10.3,2.6
2007-04-01,60.3,20.3,6.9,10.6,5.2,1.4
2007-07-01,55.7,22.3,9.0,11.3,6.7,2.6
2007-10-01,66.3,15.8,8.2,7.7,7.4,2.2
2008-01-01,61.4,13.5,9.0,12.1,9.9,1.3
2008-04-01,66.8,14.4,6.5,9.9,7.5,0.6
2008-07-01,60.0,22.0,6.1,8.4,9.7,1.7
2008-10-01,46.0,47.7,2.9,3.0,6.6,1.4
2009-01-01,18.7,71.3,1.3,1.1,7.1,5.7
2009-04-01,17.7,74.4,0.5,1.8,8.3,8.0
2009-07-01,24.9,72.5,1.2,2.4,7.4,10.8
2009-10-01,29.5,67.4,1.2,2.0,6.1,6.0
2010-01-01,30.4,62.6,0.6,0.8,5.3,3.0
2010-04-01,38.5,43.9,1.9,8.8,9.1,8.2
2010-07-01,48.9,34.2,3.1,11.8,6.7,6.2
2010-10-01,43.2,40.0,7.0,11.9,6.1,4.5
2011-01-01,51.5,28.0,5.6,15.5,6.2,3.8
2011-04-01,53.0,18.7,6.9,15.0,9.5,1.9
2011-07-01,53.1,20.8,9.0,19.9,7.8,1.1
2011-10-01,53.9,24.6,6.0,15.4,6.4,3.1
2012-01-01,59.5,29.5,4.3,6.0,6.1,3.3
2012-04-01,54.0,33.8,4.5,5.9,5.6,2.8
2012-07-01,43.3,41.9,3.5,5.0,4.9,4.2
2012-10-01,44.6,46.9,1.8,4.3,5.7,4.2
2013-01-01,45.4,45.1,2.8,0.9,8.3,3.1
2013-04-01,52.0,39.7,3.8,2.8,6.7,2.3
2013-07-01,55.3,36.5,4.6,3.2,6.2,3.6
2013-10-01,50.7,38.9,5.4,2.7,4.6,3.6
2014-01-01,53.9,33.7,3.8,3.7,5.3,3.3
2014-04-01,52.7,32.0,6.3,6.9,5.2,3.3
2014-07-01,64.6,25.1,5.3,4.1,5.3,3.0
2014-10-01,54.4,34.4,6.7,4.2,4.2,4.0
2015-01-01,62.3,26.7,5.9,2.9,3.9,4.3
2015-04-01,67.3,21.9,5.4,3.6,4.1,3.4
2015-07-01,64.7,22.7,5.6,3.2,4.2,4.3
2015-10-01,58.9,26.1,6.4,7.3,7.1,2.8
2016-01-01,61.9,26.3,4.1,2.9,4.2,6.6
2016-04-01,60.9,21.2,11.1,4.8,5.2,4.0
2016-07-01,64.5,19.4,8.6,4.3,7.4,1.6
2016-10-01,67.0,15.7,11.5,3.3,4.7,2.3
2017-01-01,71.2,14.1,9.9,2.8,4.8,1.8
2017-04-01,70.0,13.1,13.2,3.7,4.4,1.5
2017-07-01,66.0,10.9,14.9,6.8,4.5,2.1
2017-10-01,52.4,12.8,12.0,17.7,7.7,1.2
2018-01-01,54.6,8.3,18.3,14.1,7.7,1.5
2018-04-01,53.4,10.6,22.1,20.1,7.1,0.9
2018-07-01,49.4,10.3,20.8,28.6,7.2,1.4
2018-10-01,41.0,18.3,19.3,32.5,7.1,2.6
2019-01-01,46.6,19.1,13.2,25.8,12.0,1.0
2019-04-01,51.9,18.5,16.2,15.5,8.6,2.7
2019-07-01,47.5,29.2,16.9,14.7,10.0,3.1
2019-10-01,55.7,31.0,15.2,3.7,7.8,3.2
2020-01-01,53.1,29.5,11.0,9.5,8.2,4.2
2020-04-01,6.4,53.4,3.9,25.1,53.8,2.9
2020-07-01,33.7,51.7,5.8,6.1,17.4,6.2
2020-10-01,50.6,26.7,6.4,4.5,19.7,4.5
2021-01-01,35.6,26.6,12.1,32.4,18.1,7.6
2021-04-01,25.4,23.4,12.5,53.2,18.7,1.5
2021-07-01,15.0,16.1,17.8,70.0,13.2,0.7
2021-10-01,8.0,19.5,23.5,77.2,15.5,3.3
2022-01-01,14.3,15.7,17.8,81.8,11.1,3.0
2022-04-01,11.8,18.3,22.2,69.0,13.8,2.3
2022-07-01,8.9,18.1,21.6,75.6,15.2,3.5
2022-10-01,11.9,14.1,24.1,70.7,13.9,3.9
2023-01-01,12.7,13.9,28.1,81.7,14.5,5.0
2023-04-01,16.3,10.7,22.7,54.4,17.6,4.8
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
