"","Year","Quarter","Sector","Measure","Value","SE","Lower.CI","Upper.CI","date"
"1",2024,2,"311","Insufficient supply of materials",10.8,"",NA,NA,2024-04-01
"2",2024,2,"312","Insufficient supply of materials",0,"",NA,NA,2024-04-01
"3",2024,2,"313","Insufficient supply of materials",6.6,"",NA,NA,2024-04-01
"4",2024,2,"314","Insufficient supply of materials",NA,"",NA,NA,2024-04-01
"5",2024,2,"315","Insufficient supply of materials",33.6,"",NA,NA,2024-04-01
"6",2024,2,"316","Insufficient supply of materials",NA,"",NA,NA,2024-04-01
"7",2024,2,"321","Insufficient supply of materials",18.3,"",NA,NA,2024-04-01
"8",2024,2,"322","Insufficient supply of materials",NA,"",NA,NA,2024-04-01
"9",2024,2,"323","Insufficient supply of materials",0,"",NA,NA,2024-04-01
"10",2024,2,"324","Insufficient supply of materials",12.3,"",NA,NA,2024-04-01
"11",2024,2,"325","Insufficient supply of materials",15.9,"",NA,NA,2024-04-01
"12",2024,2,"326","Insufficient supply of materials",9,"",NA,NA,2024-04-01
"13",2024,2,"327","Insufficient supply of materials",2.8,"",NA,NA,2024-04-01
"14",2024,2,"331","Insufficient supply of materials",4.5,"",NA,NA,2024-04-01
"15",2024,2,"332","Insufficient supply of materials",8.9,"",NA,NA,2024-04-01
"16",2024,2,"333","Insufficient supply of materials",16.3,"",NA,NA,2024-04-01
"17",2024,2,"334","Insufficient supply of materials",37.9,"",NA,NA,2024-04-01
"18",2024,2,"335","Insufficient supply of materials",25.4,"",NA,NA,2024-04-01
"19",2024,2,"336","Insufficient supply of materials",18,"",NA,NA,2024-04-01
"20",2024,2,"337","Insufficient supply of materials",8.3,"",NA,NA,2024-04-01
"21",2024,2,"339","Insufficient supply of materials",11,"",NA,NA,2024-04-01
"22",2024,2,"All","Logistics/transportation constraints",4,"",NA,NA,2024-04-01
"23",2024,2,"All","Insufficient supply of materials",11.7,"",NA,NA,2024-04-01
"24",2024,2,"All","Insufficient orders",73.6,"",NA,NA,2024-04-01
"25",2024,2,"All","Insufficient supply of labor",21.1,"",NA,NA,2024-04-01
"26",2024,1,"311","Insufficient supply of materials",6.3,"",NA,NA,2024-01-01
"27",2024,1,"312","Insufficient supply of materials",0,"",NA,NA,2024-01-01
"28",2024,1,"313","Insufficient supply of materials",17,"",NA,NA,2024-01-01
"29",2024,1,"314","Insufficient supply of materials",NA,"",NA,NA,2024-01-01
"30",2024,1,"315","Insufficient supply of materials",19.1,"",NA,NA,2024-01-01
"31",2024,1,"316","Insufficient supply of materials",3,"",NA,NA,2024-01-01
"32",2024,1,"321","Insufficient supply of materials",19.2,"",NA,NA,2024-01-01
"33",2024,1,"322","Insufficient supply of materials",NA,"",NA,NA,2024-01-01
"34",2024,1,"323","Insufficient supply of materials",0,"",NA,NA,2024-01-01
"35",2024,1,"324","Insufficient supply of materials",11.4,"",NA,NA,2024-01-01
"36",2024,1,"325","Insufficient supply of materials",7.6,"",NA,NA,2024-01-01
"37",2024,1,"326","Insufficient supply of materials",8.9,"",NA,NA,2024-01-01
"38",2024,1,"327","Insufficient supply of materials",2.6,"",NA,NA,2024-01-01
"39",2024,1,"331","Insufficient supply of materials",4.9,"",NA,NA,2024-01-01
