date,srs_delinq
03:Q1,2.18
03:Q2,2.19
03:Q3,2.14
03:Q4,2.04
04:Q1,1.97
04:Q2,1.82
04:Q3,1.77
04:Q4,1.78
05:Q1,1.69
05:Q2,1.68
05:Q3,1.66
05:Q4,1.67
06:Q1,1.66
06:Q2,1.79
06:Q3,2.02
06:Q4,2.22
07:Q1,2.34
07:Q2,2.36
07:Q3,2.34
07:Q4,2.44
08:Q1,2.71
08:Q2,2.85
08:Q3,3.15
08:Q4,3.29
09:Q1,3.36
09:Q2,3.48
09:Q3,3.34
09:Q4,3.24
10:Q1,3.10
10:Q2,2.85
10:Q3,2.55
10:Q4,2.31
11:Q1,2.03
11:Q2,1.86
11:Q3,1.81
11:Q4,1.69
12:Q1,1.63
12:Q2,1.60
12:Q3,1.52
12:Q4,1.52
13:Q1,1.57
13:Q2,1.63
13:Q3,1.63
13:Q4,1.58
14:Q1,1.56
14:Q2,1.61
14:Q3,1.73
14:Q4,1.88
15:Q1,1.96
15:Q2,2.00
15:Q3,2.04
15:Q4,2.09
16:Q1,2.18
16:Q2,2.18
16:Q3,2.21
16:Q4,2.25
17:Q1,2.30
17:Q2,2.31
17:Q3,2.36
17:Q4,2.33
18:Q1,2.29
18:Q2,2.34
18:Q3,2.30
18:Q4,2.36
19:Q1,2.36
19:Q2,2.34
19:Q3,2.34
19:Q4,2.36
20:Q1,2.37
20:Q2,2.26
20:Q3,2.09
20:Q4,1.84
21:Q1,1.72
21:Q2,1.61
21:Q3,1.57
21:Q4,1.56
22:Q1,1.61
22:Q2,1.81
22:Q3,2.02
22:Q4,2.22
23:Q1,2.33
