date,inventories,weapon_systems,grants_foreign
2018-01-01,-135,4702,46507
2018-04-01,-1385,4109,61859
2018-07-01,124,6575,53450
2018-10-01,-2864,13549,61548
2019-01-01,-19,24426,60347
2019-04-01,-1162,7410,47251
2019-07-01,-206,17394,51964
2019-10-01,-2450,16491,57528
2020-01-01,-81,9919,62574
2020-04-01,-245,14072,50506
2020-07-01,-189,12343,57755
2020-10-01,-99,21370,53946
2021-01-01,-12,12551,68535
2021-04-01,-4316,10511,50964
2021-07-01,-1099,10662,79242
2021-10-01,-6659,9979,61703
2022-01-01,-11127,3072,72644
2022-04-01,-32674,731,91581
2022-07-01,-30212,-1788,123702
2022-10-01,-15494,-1870,107706
2023-01-01,-544,-9705,115775
2023-04-01,-7964,-7215,101166
