date,Weapon_PCT_PREV_MONTH,Vehicles_PCT_PREV_MONTH,Weapons and Ammo,Military_Fighting_Vehicles
2021-12-01,0,0,100,100
2022-01-01,79.7,67.1,79.7,67.1
2022-02-01,99.9,107.7,79.6203,72.2667
2022-03-01,44.6,53.5,35.5106538,38.6626845
2022-04-01,166.5,144.5,59.12523858,55.8675791
2022-05-01,134.3,114.7,79.40519541,64.08011323
2022-06-01,109.8,116.1,87.18690456,74.39701146
2022-07-01,112.2,113.3,97.82370692,84.29181398
2022-08-01,110.3,111.2,107.8995487,93.73249715
2022-09-01,98.0,101.2,105.7415578,94.85728712
2022-10-01,94.6,97.5,100.0315136,92.48585494
2022-11-01,123.1,106.3,123.1387933,98.3124638
2022-12-01,99.3,99.5,122.2768217,97.82090148
2023-01-01,111.3,120.1,136.0941026,117.4829027
2023-02-01,92.0,101.5,125.2065744,119.2451462
2023-03-01,114.5,113.9,143.3615277,135.8202215
