Contract,Last,Change,Open,High,Low,Previous,Volume,Open Int,Time
ZQU22 (Sep '22),97.4325,0.005,97.43,97.435,97.425,97.4275,22710,192890,9/16/2022
ZQV22 (Oct '22),96.88,0.02,96.865,96.885,96.85,96.86,148189,443157,9/16/2022
ZQX22 (Nov '22),96.25,0.025,96.23,96.25,96.205,96.225,100572,300443,9/16/2022
ZQZ22 (Dec '22),95.985,0.035,95.955,95.985,95.925,95.95,30906,114869,9/16/2022
ZQF23 (Jan '23),95.815,0.05,95.775,95.815,95.74,95.765,49243,217804,9/16/2022
ZQG23 (Feb '23),95.67,0.055,95.615,95.68,95.575,95.615,25966,135198,9/16/2022
ZQH23 (Mar '23),95.65,0.06,95.595,95.655,95.555,95.59,5936,35830,9/16/2022
ZQJ23 (Apr '23),95.605,0.065,95.54,95.61,95.505,95.54,17117,68523,9/16/2022
ZQK23 (May '23),95.625,0.055,95.57,95.635,95.525,95.57,6563,33202,9/16/2022
ZQM23 (Jun '23),95.65,0.05,95.6,95.665,95.555,95.6,5643,14922,9/16/2022
ZQN23 (Jul '23),95.685,0.05,95.615,95.695,95.585,95.635,4198,31728,9/16/2022
ZQQ23 (Aug '23),95.74,0.05,95.67,95.75,95.645,95.69,2791,17512,9/16/2022
ZQU23 (Sep '23),95.775,0.05,95.71,95.785,95.68,95.725,1054,3704,9/16/2022
ZQV23 (Oct '23),95.845,0.045,95.805,95.85,95.75,95.8,2082,5989,9/16/2022
ZQX23 (Nov '23),95.94,0.045,95.9,95.94,95.85,95.895,922,5152,9/16/2022
ZQZ23 (Dec '23),96.005,0.045,95.92,96.005,95.915,95.96,161,3523,9/16/2022
ZQF24 (Jan '24),96.055,0.045,95.99,96.055,95.96,96.01,239,2892,9/16/2022
ZQG24 (Feb '24),96.135,0.045,96.07,96.135,96.055,96.09,88,1201,9/16/2022
ZQH24 (Mar '24),96.175,0.045,96.135,96.175,96.135,96.13,2,19,9/16/2022
ZQJ24 (Apr '24),96.225,0.045,96.205,96.23,96.205,96.18,1,30,9/16/2022
