Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ZQX22 (Nov '22)",96.215,0,96.2175,96.2175,96.215,96.215,32722,381872,"07:15 CT"
"ZQZ22 (Dec '22)",95.825,-0.0049999999999955,95.83,95.835,95.825,95.83,5582,174450,"07:15 CT"
"ZQF23 (Jan '23)",95.555,-0.0049999999999955,95.56,95.57,95.555,95.56,31928,281931,"07:15 CT"
"ZQG23 (Feb '23)",95.205,0.010000000000005,95.2,95.21,95.195,95.195,19824,145186,"07:15 CT"
"ZQH23 (Mar '23)",95.135,0.010000000000005,95.125,95.145,95.125,95.125,4207,43893,"07:15 CT"
"ZQJ23 (Apr '23)",95.02,0.0099999999999909,95,95.03,95,95.01,7905,81886,"07:15 CT"
"ZQK23 (May '23)",94.96,0.0049999999999955,94.945,94.98,94.94,94.955,8335,74276,"07:15 CT"
"ZQM23 (Jun '23)",94.97,0,94.96,94.995,94.95,94.97,4051,18934,"07:15 CT"
"ZQN23 (Jul '23)",94.99,0,94.965,95.015,94.965,94.99,9591,49933,"07:15 CT"
"ZQQ23 (Aug '23)",95.04,0,95.02,95.075,95.02,95.04,3167,39281,"07:15 CT"
"ZQU23 (Sep '23)",95.07,0.0049999999999955,95.06,95.1,95.06,95.065,1171,6943,"07:15 CT"
"ZQV23 (Oct '23)",95.115,-0.0050000000000097,95.105,95.15,95.105,95.12,1470,24859,"07:15 CT"
"ZQX23 (Nov '23)",95.245,0,95.24,95.28,95.24,95.245,504,24103,"07:15 CT"
"ZQZ23 (Dec '23)",95.325,0.0050000000000097,95.34,95.34,95.325,95.32,113,5660,"06:07 CT"
"ZQF24 (Jan '24)",95.365,0,95.39,95.4,95.365,95.365,343,8635,"07:15 CT"
"ZQG24 (Feb '24)",95.485,0.025,95.485,95.485,95.485,95.46,62,3734,"23:31 CT"
"ZQH24 (Mar '24)",95.51,-0.045,95.53,95.53,95.485,95.555,417,248,2022-11-01
"ZQJ24 (Apr '24)",95.595,-0.045,95.71,95.755,95.585,95.64,273,308,2022-11-01
"ZQK24 (May '24)",95.68,-0.04,95.8,95.8,95.68,95.72,2,54,2022-11-01
"ZQM24 (Jun '24)",95.75,-0.04,95.8,95.83,95.75,95.79,1,34,2022-11-01
"ZQN24 (Jul '24)",95.795,-0.04,95.86,95.9,95.795,95.835,13,58,2022-11-01
"ZQQ24 (Aug '24)",95.825,-0.04,0,95.825,95.825,95.865,0,10,2022-11-01
"ZQU24 (Sep '24)",95.825,-0.04,0,95.9,95.825,95.865,0,1,2022-11-01
"ZQV24 (Oct '24)",95.885,-0.04,0,95.885,95.885,95.925,0,0,2022-11-01
"ZQX24 (Nov '24)",95.885,-0.039999999999992,95.885,95.885,95.885,95.925,N/A,N/A,2022-11-01
"ZQZ24 (Dec '24)",95.855,-0.039999999999992,95.855,95.855,95.855,95.895,N/A,29,2022-11-01
"ZQF25 (Jan '25)",95.94,-0.040000000000006,95.94,95.94,95.94,95.98,N/A,1,2022-11-01
"ZQG25 (Feb '25)",95.94,-0.040000000000006,95.94,95.94,95.94,95.98,N/A,N/A,2022-11-01
"ZQH25 (Mar '25)",95.94,-0.040000000000006,95.94,95.94,95.94,95.98,N/A,N/A,2022-11-01
